etf_code,strategy_name,low_observations,high_observations,low_final_net_option_mean,high_final_net_option_mean,high_minus_low_mean,one_sided_mann_whitney_p_value
510050,ATM_Q100,15,15,-0.0006192361878810476,0.011434708540870994,0.012053944728752042,0.07328801715450034
510050,D50_Q100,15,15,-0.0015587763088468147,0.01061963579570888,0.012178412104555694,0.09220503461081825
510050,D40_Q100,15,15,-0.0021511534331790346,0.008386884211515,0.010538037644694034,0.10668685354655916
510050,D30_Q100,15,15,-0.0022363491592811086,0.006471828035680794,0.008708177194961902,0.14987918504435754
510050,D20_Q100,15,15,-0.001340243368373774,0.0049190484526619805,0.006259291821035754,0.5821474865023604
510050,D10_Q100,15,15,-0.00213904583248472,0.0026923979561233663,0.004831443788608086,0.07923230299910178
510300,ATM_Q100,14,15,-0.01618804163541724,0.0050097132585545535,0.02119775489397179,0.026060124149218208
510300,D50_Q100,15,15,-0.013813289345708924,0.006748357264894252,0.020561646610603175,0.012551446376796624
510300,D40_Q100,15,15,-0.011888975633970218,0.008068622823880713,0.01995759845785093,0.013962528676653705
510300,D30_Q100,15,15,-0.005922566218481748,0.003153960413406607,0.009076526631888356,0.35446161702688217
510300,D20_Q100,15,15,-0.008607917773454253,0.004216217577421073,0.012824135350875326,0.03399787521753456
510300,D10_Q100,15,15,-0.005802533500745366,0.0024899025809670666,0.008292436081712432,0.12274250060156211
510500,ATM_Q100,15,15,-0.01323607457730866,-0.003420652385696599,0.00981542219161206,0.3857755939077861
510500,D50_Q100,15,15,-0.013365287615202765,-0.005204168660695606,0.00816111895450716,0.5495142532917794
510500,D40_Q100,15,15,-0.010907779925019168,-0.005869295480982767,0.005038484444036402,0.8501208149556425
510500,D30_Q100,15,15,-0.010232766145011892,-0.005924291471784113,0.00430847467322778,0.8686234794261696
510500,D20_Q100,15,15,-0.008180187817533453,-0.0043740288486000265,0.003806158968933426,0.5982687128426144
510500,D10_Q100,15,15,0.0024588224630556,-0.0024448125678887067,-0.004903635030944307,0.6608487672013839
159915,ATM_Q100,15,15,-0.020917233873288293,-0.01812879308719973,0.002788440786088562,0.7051307033406964
159915,D50_Q100,15,15,-0.021406148204865843,-0.015454574510566699,0.005951573694299144,0.5165426114134031
159915,D40_Q100,15,15,-0.016071651901011137,-0.014548236931936446,0.001523414969074691,0.5982687128426144
159915,D30_Q100,15,15,-0.019485591160584646,-0.006541134294074675,0.012944456866509971,0.7465425330937521
159915,D20_Q100,15,15,-0.018224685089247284,-0.004332181377069713,0.013892503712177571,0.41785251349763963
159915,D10_Q100,15,15,-0.0159597714374688,-0.007075831864806533,0.008883939572662265,0.7723490517900724
588000,ATM_Q100,12,12,-0.037801779753026794,-0.022127178759999342,0.015674600993027452,0.8572618455740588
588000,D50_Q100,12,12,-0.037801779753026794,-0.018029412229869816,0.01977236752315698,0.8817079533390619
588000,D40_Q100,12,12,-0.043352255402952615,-0.019963920415631536,0.02338833498732108,0.9030345738587946
588000,D30_Q100,12,12,-0.0062835759540936995,-0.012217464980064083,-0.005933889025970383,0.7278149270716952
588000,D20_Q100,12,12,-0.006258296648251273,-0.006473286638480583,-0.00021498999022930964,0.7821346699841317
588000,D10_Q100,12,12,-0.003459527162373617,-0.0017855925857275176,0.0016739345766460995,0.35372698385103735
