etf_code,strategy_name,outcome,observations,pearson_r,pearson_p_value,spearman_rho,spearman_p_value,mean_iv_rv_spread,mean_outcome,same_direction,both_p_under_10pct
510050,ATM_Q100,final_net_option,44,0.006816985452292472,0.9649701967223087,0.10824524312896405,0.48429808381270767,0.005460403689743566,0.001689617901151514,True,False
510050,D50_Q100,final_net_option,44,0.03678855407943039,0.8125926421912955,0.1481324876673714,0.33724628315397676,0.005791148667174431,0.000645185459703278,True,False
510050,D40_Q100,final_net_option,44,0.03456017832362856,0.8237587968000755,0.10683579985905567,0.4900391067022888,0.007469040045143659,0.0013414575567223524,True,False
510050,D30_Q100,final_net_option,44,0.05969282758704059,0.7003100151638221,0.0854122621564482,0.5814557740348955,0.012487000541525935,0.0012303056260719268,True,False
510050,D20_Q100,final_net_option,44,0.12336231175399763,0.42499243822294785,0.019732205778717406,0.8988352467618099,0.01836227542731042,0.0017483381954814614,True,False
510050,D10_Q100,final_net_option,44,0.16932245118498732,0.2718633784138642,0.24270613107822409,0.1124172520652123,0.034586118507657665,0.0008345961741344636,True,False
510300,ATM_Q100,final_net_option,43,0.020205002533392954,0.8976726625986544,0.3187858652974932,0.0372034237958778,-0.002127680602326869,-0.0022867103048661366,True,False
510300,D50_Q100,final_net_option,44,0.01663555308846215,0.9146474727732727,0.3221987315010571,0.03292948322451675,-0.0022203669363294164,-0.0017838190391432196,True,False
510300,D40_Q100,final_net_option,44,0.05540933932073268,0.7209139080819255,0.3112050739957717,0.03975900175447441,-0.000656263968026775,0.00048577460271199377,True,False
510300,D30_Q100,final_net_option,44,3.5023656843667815e-06,0.9999819971462406,0.09978858350951374,0.519265126463438,0.0029863739501854196,-0.0008739815293869728,True,False
510300,D20_Q100,final_net_option,44,0.056615887546779486,0.7150897982183834,0.20422832980972516,0.18359629185743606,0.008727866177176203,1.0350608666472945e-05,True,False
510300,D10_Q100,final_net_option,44,0.09191492440619903,0.5529128871345848,0.23523608174770963,0.12426417491580778,0.023827154660275695,-0.0005070024968537999,True,False
510500,ATM_Q100,final_net_option,44,-0.07129122916809297,0.6456133897095654,-0.026638477801268497,0.8637180964672618,-0.022894839926821165,-0.008405011134067795,False,False
510500,D50_Q100,final_net_option,44,-0.09491287951554844,0.5399806532106218,-0.11120507399577165,0.4723572688744524,-0.022427169563091518,-0.009057077945281357,False,False
510500,D40_Q100,final_net_option,44,-0.1430320305658741,0.3543274010157177,-0.23749119097956306,0.12059296855002326,-0.018275518158970813,-0.008460154462494861,False,False
510500,D30_Q100,final_net_option,44,-0.1273408482182263,0.41009425030361396,-0.26328400281888653,0.08421007191488153,-0.015421325549834063,-0.007150592442766371,False,False
510500,D20_Q100,final_net_option,44,-0.02742611432998094,0.8597282536538557,-0.03861874559548978,0.8034490307483337,-0.006738457117919119,-0.002837906561460122,False,False
510500,D10_Q100,final_net_option,44,-0.04950306123333439,0.749644038273053,-0.10613107822410148,0.49292279127776206,0.00948354367389065,-0.0022688128692953157,False,False
159915,ATM_Q100,final_net_option,44,-0.0918366134955218,0.5532526469230545,-0.07751937984496124,0.6169652297525297,-0.029761136570026728,-0.012384893268358564,False,False
159915,D50_Q100,final_net_option,44,-0.09300958354227716,0.5481739501483972,-0.03058491895701198,0.8437626646729103,-0.02765680958059274,-0.012473877343186996,False,False
159915,D40_Q100,final_net_option,44,-0.11735921360152787,0.44803831856779036,-0.13051444679351654,0.39842787404085933,-0.02100994090735486,-0.01020512042740475,False,False
159915,D30_Q100,final_net_option,44,-0.06941690755094546,0.6543375301850503,-0.14094432699083861,0.3614681800045223,-0.014541015632852707,-0.009968454543914401,False,False
159915,D20_Q100,final_net_option,44,-0.055931362179585754,0.718392122217198,-0.14587737843551796,0.3447345782151958,-0.004545083138342395,-0.007418009763325442,False,False
159915,D10_Q100,final_net_option,44,-0.029948706654683372,0.8469735221455471,-0.15095137420718815,0.3280288253492485,0.012962184833129886,-0.007665278148389657,False,False
588000,ATM_Q100,final_net_option,35,-0.1227182900019367,0.4824884026764043,-0.26246498599439777,0.1277042247039941,-0.018234460971000142,-0.018276346105465933,False,False
588000,D50_Q100,final_net_option,35,-0.1215072390575299,0.48685291318770396,-0.3257703081232493,0.05616504918984466,-0.013573539089460662,-0.016676419464613554,False,False
588000,D40_Q100,final_net_option,35,-0.07507803912634343,0.6681833623518999,-0.26134453781512607,0.12939838418100916,-0.004122270686271139,-0.019936832637455656,False,False
588000,D30_Q100,final_net_option,35,-0.11542646851374155,0.5090712242137798,-0.17338935574229694,0.3192002963731845,0.01223046447346658,-0.016835898442818124,False,False
588000,D20_Q100,final_net_option,35,-0.044169688587807635,0.8010842509610214,-0.07338935574229692,0.6752344559172725,0.028779107667392723,-0.015018156718795124,False,False
588000,D10_Q100,final_net_option,35,-0.041559921131345635,0.8126221229552006,0.1131652661064426,0.517460559127039,0.06031185451100318,-0.01080992739051716,False,False
