option_code,trade_date,close,volume,amount,open_interest
10002743.SH,2021-01-04,0.9536,90.0,84.367,1092.0
10002744.SH,2021-01-04,0.8553,295.0,247.7933,1342.0
10002745.SH,2021-01-04,0.7651,400.0,297.3697,1330.0
10002746.SH,2021-01-04,0.6688,304.0,196.7596,1543.0
10002747.SH,2021-01-04,0.58,681.0,374.7516,2648.0
10002748.SH,2021-01-04,0.4965,2298.0,1107.7009,6613.0
10002749.SH,2021-01-04,0.4123,7541.0,3014.5987,10309.0
10002750.SH,2021-01-04,0.251,13786.0,3323.6639,27555.0
10002751.SH,2021-01-04,0.139,18566.0,2531.2927,28407.0
10002752.SH,2021-01-04,0.009,4284.0,43.3391,15496.0
10002753.SH,2021-01-04,0.0121,5608.0,73.7333,13858.0
10002754.SH,2021-01-04,0.0172,6067.0,113.0816,8468.0
10002755.SH,2021-01-04,0.024,8955.0,232.3683,9451.0
10002756.SH,2021-01-04,0.0343,8471.0,317.5495,11017.0
10002757.SH,2021-01-04,0.0487,11947.0,645.5601,11651.0
10002758.SH,2021-01-04,0.0684,10517.0,798.2707,13305.0
10002759.SH,2021-01-04,0.1536,9172.0,1492.4338,10396.0
10002760.SH,2021-01-04,0.2931,2357.0,717.3203,8728.0
10002763.SH,2021-01-04,1.1504,276.0,314.3918,5294.0
10002764.SH,2021-01-04,1.0493,219.0,228.0657,1521.0
10002765.SH,2021-01-04,0.0056,2892.0,17.8444,49491.0
10002766.SH,2021-01-04,0.0075,3909.0,31.0052,46503.0
10002769.SH,2021-01-04,0.0777,11008.0,816.0733,20594.0
10002770.SH,2021-01-04,0.4773,968.0,479.4078,3565.0
10002877.SH,2021-01-04,1.0005,199.0,188.8481,2391.0
10002878.SH,2021-01-04,0.905,75.0,63.7475,965.0
10002879.SH,2021-01-04,0.8148,31.0,24.4848,1019.0
10002880.SH,2021-01-04,0.7332,63.0,45.1188,1288.0
10002881.SH,2021-01-04,0.651,209.0,133.1054,2568.0
10002882.SH,2021-01-04,0.578,861.0,483.7587,3167.0
10002883.SH,2021-01-04,0.5068,2140.0,1055.7516,10200.0
10002884.SH,2021-01-04,0.3547,4153.0,1458.2801,7718.0
10002885.SH,2021-01-04,0.2405,7893.0,1870.9366,11394.0
10002886.SH,2021-01-04,0.036,6038.0,228.3074,8497.0
10002887.SH,2021-01-04,0.0458,4058.0,196.8384,5065.0
10002888.SH,2021-01-04,0.0586,5006.0,302.3117,7704.0
10002889.SH,2021-01-04,0.0743,2759.0,217.0562,5260.0
10002890.SH,2021-01-04,0.0931,2617.0,254.9192,6809.0
10002891.SH,2021-01-04,0.1175,3456.0,423.1198,5727.0
10002892.SH,2021-01-04,0.147,3502.0,536.6538,11061.0
10002893.SH,2021-01-04,0.2428,3156.0,793.1543,4777.0
10002894.SH,2021-01-04,0.3827,1074.0,415.7239,5707.0
10002897.SH,2021-01-04,0.1626,4393.0,717.1751,9266.0
10002898.SH,2021-01-04,0.5449,186.0,103.0871,2243.0
10002903.SH,2021-01-04,0.0435,13598.0,589.9062,16764.0
10002904.SH,2021-01-04,0.6924,155.0,110.2764,2561.0
10002905.SH,2021-01-04,0.111,3248.0,347.3263,10223.0
10002906.SH,2021-01-04,0.7393,235.0,173.7841,707.0
10002931.SH,2021-01-04,0.748,1900.0,1383.3558,3870.0
10002932.SH,2021-01-04,0.6455,3367.0,2108.2708,3753.0
10002933.SH,2021-01-04,0.5404,6900.0,3659.9915,7632.0
10002934.SH,2021-01-04,0.448,42754.0,18603.4121,35212.0
10002935.SH,2021-01-04,0.3481,135097.0,45864.695,77912.0
10002936.SH,2021-01-04,0.1497,363705.0,53548.5027,115772.0
10002937.SH,2021-01-04,0.0496,308978.0,15907.1435,136049.0
10002938.SH,2021-01-04,0.0164,99009.0,1868.6343,79261.0
10002939.SH,2021-01-04,0.0076,33350.0,290.4756,36325.0
10002940.SH,2021-01-04,0.0019,12420.0,27.3504,42457.0
10002941.SH,2021-01-04,0.0028,13459.0,40.5831,35326.0
10002942.SH,2021-01-04,0.0038,33291.0,145.2207,58814.0
10002943.SH,2021-01-04,0.007,50149.0,395.3907,83904.0
10002944.SH,2021-01-04,0.0128,132629.0,1946.8206,154653.0
10002945.SH,2021-01-04,0.0646,242100.0,17116.5434,120187.0
10002946.SH,2021-01-04,0.2112,96983.0,21515.7469,26450.0
10002947.SH,2021-01-04,0.4224,4946.0,2143.4687,1835.0
10002948.SH,2021-01-04,0.665,519.0,350.2549,1701.0
10003031.SH,2021-01-04,0.0043,21255.0,96.1344,33577.0
10003032.SH,2021-01-04,0.9065,202.0,189.5143,1125.0
10003033.SH,2021-01-04,0.0261,9653.0,251.4199,11608.0
10003034.SH,2021-01-04,0.9089,162.0,149.3946,393.0
10003035.SH,2021-01-04,0.0769,5787.0,439.2532,8781.0
10003036.SH,2021-01-04,0.9524,64.0,61.1089,397.0
10003063.SH,2021-01-04,0.7503,216.0,158.2024,450.0
10003064.SH,2021-01-04,0.6583,186.0,118.3037,260.0
10003065.SH,2021-01-04,0.5604,188.0,103.0491,741.0
10003066.SH,2021-01-04,0.4722,1635.0,742.217,2063.0
10003067.SH,2021-01-04,0.3799,12046.0,4489.9892,5467.0
10003068.SH,2021-01-04,0.2026,35469.0,7063.8613,13071.0
10003069.SH,2021-01-04,0.095,37855.0,3628.2527,18130.0
10003070.SH,2021-01-04,0.045,19637.0,908.4312,17996.0
10003071.SH,2021-01-04,0.0221,8564.0,192.1309,8270.0
10003072.SH,2021-01-04,0.0067,2312.0,17.8457,8198.0
10003073.SH,2021-01-04,0.0101,2527.0,28.4968,6396.0
10003074.SH,2021-01-04,0.0151,12537.0,209.2506,14178.0
10003075.SH,2021-01-04,0.0238,10820.0,291.8709,11055.0
10003076.SH,2021-01-04,0.0372,20483.0,847.7572,17009.0
10003077.SH,2021-01-04,0.1085,20410.0,2345.4881,13196.0
10003078.SH,2021-01-04,0.2473,6136.0,1615.2936,2865.0
10003079.SH,2021-01-04,0.4455,744.0,337.9799,511.0
10003080.SH,2021-01-04,0.6529,92.0,63.3702,183.0
10003081.SH,2021-01-04,0.0108,6682.0,80.7255,6755.0
10003082.SH,2021-01-04,0.9027,25.0,22.9286,182.0
10002743.SH,2021-01-05,1.0256,177.0,176.2022,1038.0
10002744.SH,2021-01-05,0.9287,320.0,286.1796,1247.0
10002745.SH,2021-01-05,0.8333,499.0,393.9028,1231.0
10002746.SH,2021-01-05,0.7393,238.0,167.1496,1497.0
10002747.SH,2021-01-05,0.6478,440.0,268.6206,2627.0
10002748.SH,2021-01-05,0.561,1875.0,994.3441,6570.0
10002749.SH,2021-01-05,0.4752,6524.0,2902.2139,9942.0
10002750.SH,2021-01-05,0.2974,12985.0,3515.1349,25565.0
10002751.SH,2021-01-05,0.1709,19330.0,2985.5859,29264.0
10002752.SH,2021-01-05,0.0079,4898.0,40.7898,17338.0
10002753.SH,2021-01-05,0.0093,4205.0,45.6595,13660.0
10002754.SH,2021-01-05,0.0133,5570.0,85.5813,7212.0
10002755.SH,2021-01-05,0.019,9565.0,205.1585,8975.0
10002756.SH,2021-01-05,0.0271,8782.0,268.8823,9886.0
10002757.SH,2021-01-05,0.0389,9939.0,424.7123,10495.0
