option_code,underlying_etf,option_type,strike,expiry
10002743.SH,510300,C,4.343,2021-03-24
10002744.SH,510300,C,4.441,2021-03-24
10002745.SH,510300,C,4.54,2021-03-24
10002746.SH,510300,C,4.639,2021-03-24
10002747.SH,510300,C,4.737,2021-03-24
10002748.SH,510300,C,4.836,2021-03-24
10002749.SH,510300,C,4.935,2021-03-24
10002750.SH,510300,C,5.182,2021-03-24
10002751.SH,510300,C,5.428,2021-03-24
10002752.SH,510300,P,4.343,2021-03-24
10002753.SH,510300,P,4.441,2021-03-24
10002754.SH,510300,P,4.54,2021-03-24
10002755.SH,510300,P,4.639,2021-03-24
10002756.SH,510300,P,4.737,2021-03-24
10002757.SH,510300,P,4.836,2021-03-24
10002758.SH,510300,P,4.935,2021-03-24
10002759.SH,510300,P,5.182,2021-03-24
10002760.SH,510300,P,5.428,2021-03-24
10002763.SH,510300,C,4.145,2021-03-24
10002764.SH,510300,C,4.244,2021-03-24
10002765.SH,510300,P,4.145,2021-03-24
10002766.SH,510300,P,4.244,2021-03-24
10002769.SH,510300,C,5.675,2021-03-24
10002770.SH,510300,P,5.675,2021-03-24
10002877.SH,510300,C,4.343,2021-06-23
10002878.SH,510300,C,4.441,2021-06-23
10002879.SH,510300,C,4.54,2021-06-23
10002880.SH,510300,C,4.639,2021-06-23
10002881.SH,510300,C,4.737,2021-06-23
10002882.SH,510300,C,4.836,2021-06-23
10002883.SH,510300,C,4.935,2021-06-23
10002884.SH,510300,C,5.182,2021-06-23
10002885.SH,510300,C,5.428,2021-06-23
10002886.SH,510300,P,4.343,2021-06-23
10002887.SH,510300,P,4.441,2021-06-23
10002888.SH,510300,P,4.54,2021-06-23
10002889.SH,510300,P,4.639,2021-06-23
10002890.SH,510300,P,4.737,2021-06-23
10002891.SH,510300,P,4.836,2021-06-23
10002892.SH,510300,P,4.935,2021-06-23
10002893.SH,510300,P,5.182,2021-06-23
10002894.SH,510300,P,5.428,2021-06-23
10002897.SH,510300,C,5.675,2021-06-23
10002898.SH,510300,P,5.675,2021-06-23
10002903.SH,510300,C,5.922,2021-03-24
10002904.SH,510300,P,5.922,2021-03-24
10002905.SH,510300,C,5.922,2021-06-23
10002906.SH,510300,P,5.922,2021-06-23
10002931.SH,510300,C,4.54,2021-01-27
10002932.SH,510300,C,4.639,2021-01-27
10002933.SH,510300,C,4.737,2021-01-27
10002934.SH,510300,C,4.836,2021-01-27
10002935.SH,510300,C,4.935,2021-01-27
10002936.SH,510300,C,5.182,2021-01-27
10002937.SH,510300,C,5.428,2021-01-27
10002938.SH,510300,C,5.675,2021-01-27
10002939.SH,510300,C,5.922,2021-01-27
10002940.SH,510300,P,4.54,2021-01-27
10002941.SH,510300,P,4.639,2021-01-27
10002942.SH,510300,P,4.737,2021-01-27
10002943.SH,510300,P,4.836,2021-01-27
10002944.SH,510300,P,4.935,2021-01-27
10002945.SH,510300,P,5.182,2021-01-27
10002946.SH,510300,P,5.428,2021-01-27
10002947.SH,510300,P,5.675,2021-01-27
10002948.SH,510300,P,5.922,2021-01-27
10003031.SH,510300,C,6.169,2021-01-27
10003032.SH,510300,P,6.169,2021-01-27
10003033.SH,510300,C,6.169,2021-03-24
10003034.SH,510300,P,6.169,2021-03-24
10003035.SH,510300,C,6.169,2021-06-23
10003036.SH,510300,P,6.169,2021-06-23
10003063.SH,510300,C,4.54,2021-02-24
10003064.SH,510300,C,4.639,2021-02-24
10003065.SH,510300,C,4.737,2021-02-24
10003066.SH,510300,C,4.836,2021-02-24
10003067.SH,510300,C,4.935,2021-02-24
10003068.SH,510300,C,5.182,2021-02-24
10003069.SH,510300,C,5.428,2021-02-24
10003070.SH,510300,C,5.675,2021-02-24
10003071.SH,510300,C,5.922,2021-02-24
10003072.SH,510300,P,4.54,2021-02-24
