option_code,underlying_etf,option_type,strike,expiry
90000335.SZ,159919,C,4.26,2021-03-24
90000336.SZ,159919,C,4.356,2021-03-24
90000337.SZ,159919,C,4.453,2021-03-24
90000338.SZ,159919,C,4.55,2021-03-24
90000339.SZ,159919,C,4.647,2021-03-24
90000340.SZ,159919,C,4.744,2021-03-24
90000341.SZ,159919,C,4.84,2021-03-24
90000342.SZ,159919,C,5.082,2021-03-24
90000343.SZ,159919,C,5.325,2021-03-24
90000344.SZ,159919,P,4.26,2021-03-24
90000345.SZ,159919,P,4.356,2021-03-24
90000346.SZ,159919,P,4.453,2021-03-24
90000347.SZ,159919,P,4.55,2021-03-24
90000348.SZ,159919,P,4.647,2021-03-24
90000349.SZ,159919,P,4.744,2021-03-24
90000350.SZ,159919,P,4.84,2021-03-24
90000351.SZ,159919,P,5.082,2021-03-24
90000352.SZ,159919,P,5.325,2021-03-24
90000353.SZ,159919,C,4.066,2021-03-24
90000354.SZ,159919,C,4.163,2021-03-24
90000355.SZ,159919,P,4.066,2021-03-24
90000356.SZ,159919,P,4.163,2021-03-24
90000357.SZ,159919,C,5.567,2021-03-24
90000358.SZ,159919,P,5.567,2021-03-24
90000359.SZ,159919,C,5.809,2021-03-24
90000360.SZ,159919,P,5.809,2021-03-24
90000439.SZ,159919,C,4.2,2021-03-24
90000440.SZ,159919,C,4.3,2021-03-24
90000441.SZ,159919,C,4.4,2021-03-24
90000442.SZ,159919,C,4.5,2021-03-24
90000443.SZ,159919,C,4.6,2021-03-24
90000444.SZ,159919,C,4.7,2021-03-24
90000445.SZ,159919,C,4.8,2021-03-24
90000446.SZ,159919,C,4.9,2021-03-24
90000447.SZ,159919,C,5.0,2021-03-24
90000448.SZ,159919,P,4.2,2021-03-24
90000449.SZ,159919,P,4.3,2021-03-24
90000450.SZ,159919,P,4.4,2021-03-24
90000451.SZ,159919,P,4.5,2021-03-24
90000452.SZ,159919,P,4.6,2021-03-24
90000453.SZ,159919,P,4.7,2021-03-24
90000454.SZ,159919,P,4.8,2021-03-24
90000455.SZ,159919,P,4.9,2021-03-24
90000456.SZ,159919,P,5.0,2021-03-24
90000463.SZ,159919,C,5.25,2021-03-24
90000464.SZ,159919,P,5.25,2021-03-24
90000491.SZ,159919,C,5.5,2021-03-24
90000492.SZ,159919,P,5.5,2021-03-24
90000493.SZ,159919,C,4.3,2021-06-23
90000494.SZ,159919,C,4.4,2021-06-23
90000495.SZ,159919,C,4.5,2021-06-23
90000496.SZ,159919,C,4.6,2021-06-23
90000497.SZ,159919,C,4.7,2021-06-23
90000498.SZ,159919,C,4.8,2021-06-23
90000499.SZ,159919,C,4.9,2021-06-23
90000500.SZ,159919,C,5.0,2021-06-23
90000501.SZ,159919,C,5.25,2021-06-23
90000502.SZ,159919,P,4.3,2021-06-23
90000503.SZ,159919,P,4.4,2021-06-23
90000504.SZ,159919,P,4.5,2021-06-23
90000505.SZ,159919,P,4.6,2021-06-23
90000506.SZ,159919,P,4.7,2021-06-23
90000507.SZ,159919,P,4.8,2021-06-23
90000508.SZ,159919,P,4.9,2021-06-23
90000509.SZ,159919,P,5.0,2021-06-23
90000510.SZ,159919,P,5.25,2021-06-23
90000511.SZ,159919,C,5.5,2021-06-23
90000512.SZ,159919,P,5.5,2021-06-23
90000517.SZ,159919,C,5.75,2021-03-24
90000518.SZ,159919,P,5.75,2021-03-24
90000519.SZ,159919,C,5.75,2021-06-23
90000520.SZ,159919,P,5.75,2021-06-23
90000525.SZ,159919,C,6.0,2021-03-24
90000526.SZ,159919,P,6.0,2021-03-24
90000527.SZ,159919,C,6.0,2021-06-23
90000528.SZ,159919,P,6.0,2021-06-23
90000529.SZ,159919,C,4.5,2021-01-27
90000530.SZ,159919,C,4.6,2021-01-27
90000531.SZ,159919,C,4.7,2021-01-27
90000532.SZ,159919,C,4.8,2021-01-27
90000533.SZ,159919,C,4.9,2021-01-27
90000534.SZ,159919,C,5.0,2021-01-27
90000535.SZ,159919,C,5.25,2021-01-27
90000536.SZ,159919,C,5.5,2021-01-27
90000537.SZ,159919,C,5.75,2021-01-27
90000538.SZ,159919,P,4.5,2021-01-27
90000539.SZ,159919,P,4.6,2021-01-27
90000540.SZ,159919,P,4.7,2021-01-27
90000541.SZ,159919,P,4.8,2021-01-27
90000542.SZ,159919,P,4.9,2021-01-27
90000543.SZ,159919,P,5.0,2021-01-27
90000544.SZ,159919,P,5.25,2021-01-27
90000545.SZ,159919,P,5.5,2021-01-27
90000546.SZ,159919,P,5.75,2021-01-27
90000547.SZ,159919,C,6.0,2021-01-27
90000548.SZ,159919,P,6.0,2021-01-27
90000549.SZ,159919,C,4.6,2021-02-24
90000550.SZ,159919,C,4.7,2021-02-24
90000551.SZ,159919,C,4.8,2021-02-24
90000552.SZ,159919,C,4.9,2021-02-24
90000553.SZ,159919,C,5.0,2021-02-24
90000554.SZ,159919,C,5.25,2021-02-24
90000555.SZ,159919,C,5.5,2021-02-24
90000556.SZ,159919,C,5.75,2021-02-24
90000557.SZ,159919,C,6.0,2021-02-24
90000558.SZ,159919,P,4.6,2021-02-24
90000559.SZ,159919,P,4.7,2021-02-24
90000560.SZ,159919,P,4.8,2021-02-24
90000561.SZ,159919,P,4.9,2021-02-24
90000562.SZ,159919,P,5.0,2021-02-24
90000563.SZ,159919,P,5.25,2021-02-24
90000564.SZ,159919,P,5.5,2021-02-24
90000565.SZ,159919,P,5.75,2021-02-24
90000566.SZ,159919,P,6.0,2021-02-24
90000567.SZ,159919,C,6.25,2021-01-27
90000568.SZ,159919,P,6.25,2021-01-27
90000569.SZ,159919,C,6.25,2021-02-24
90000570.SZ,159919,P,6.25,2021-02-24
90000571.SZ,159919,C,6.25,2021-03-24
90000572.SZ,159919,P,6.25,2021-03-24
90000573.SZ,159919,C,6.25,2021-06-23
90000574.SZ,159919,P,6.25,2021-06-23
90000575.SZ,159919,C,6.5,2021-01-27
90000576.SZ,159919,P,6.5,2021-01-27
90000577.SZ,159919,C,6.5,2021-02-24
90000578.SZ,159919,P,6.5,2021-02-24
90000579.SZ,159919,C,6.5,2021-03-24
90000580.SZ,159919,P,6.5,2021-03-24
90000581.SZ,159919,C,6.5,2021-06-23
90000582.SZ,159919,P,6.5,2021-06-23
90000583.SZ,159919,C,4.734,2021-09-22
90000584.SZ,159919,C,4.833,2021-09-22
90000585.SZ,159919,C,4.931,2021-09-22
90000586.SZ,159919,C,5.178,2021-09-22
90000587.SZ,159919,C,5.424,2021-09-22
90000588.SZ,159919,C,5.671,2021-09-22
90000589.SZ,159919,C,5.917,2021-09-22
90000590.SZ,159919,C,6.164,2021-09-22
90000591.SZ,159919,C,6.41,2021-09-22
90000592.SZ,159919,P,4.734,2021-09-22
90000593.SZ,159919,P,4.833,2021-09-22
90000594.SZ,159919,P,4.931,2021-09-22
90000595.SZ,159919,P,5.178,2021-09-22
90000596.SZ,159919,P,5.424,2021-09-22
90000597.SZ,159919,P,5.671,2021-09-22
90000598.SZ,159919,P,5.917,2021-09-22
90000599.SZ,159919,P,6.164,2021-09-22
90000600.SZ,159919,P,6.41,2021-09-22
90000601.SZ,159919,C,4.635,2021-09-22
90000602.SZ,159919,P,4.635,2021-09-22
90000603.SZ,159919,C,6.75,2021-02-24
90000604.SZ,159919,P,6.75,2021-02-24
90000605.SZ,159919,C,6.75,2021-03-24
90000606.SZ,159919,P,6.75,2021-03-24
90000607.SZ,159919,C,6.75,2021-06-23
90000608.SZ,159919,P,6.75,2021-06-23
90000609.SZ,159919,C,6.657,2021-09-22
90000610.SZ,159919,P,6.657,2021-09-22
90000611.SZ,159919,C,4.8,2021-04-28
90000612.SZ,159919,C,4.9,2021-04-28
90000613.SZ,159919,C,5.0,2021-04-28
90000614.SZ,159919,C,5.25,2021-04-28
90000615.SZ,159919,C,5.5,2021-04-28
90000616.SZ,159919,C,5.75,2021-04-28
90000617.SZ,159919,C,6.0,2021-04-28
90000618.SZ,159919,C,6.25,2021-04-28
90000619.SZ,159919,C,6.5,2021-04-28
90000620.SZ,159919,P,4.8,2021-04-28
90000621.SZ,159919,P,4.9,2021-04-28
90000622.SZ,159919,P,5.0,2021-04-28
90000623.SZ,159919,P,5.25,2021-04-28
90000624.SZ,159919,P,5.5,2021-04-28
90000625.SZ,159919,P,5.75,2021-04-28
90000626.SZ,159919,P,6.0,2021-04-28
90000627.SZ,159919,P,6.25,2021-04-28
90000628.SZ,159919,P,6.5,2021-04-28
90000629.SZ,159919,C,4.7,2021-04-28
90000630.SZ,159919,P,4.7,2021-04-28
90000631.SZ,159919,C,4.6,2021-04-28
90000632.SZ,159919,P,4.6,2021-04-28
90000633.SZ,159919,C,4.537,2021-09-22
90000634.SZ,159919,P,4.537,2021-09-22
90000635.SZ,159919,C,4.5,2021-05-26
90000636.SZ,159919,C,4.6,2021-05-26
90000637.SZ,159919,C,4.7,2021-05-26
90000638.SZ,159919,C,4.8,2021-05-26
90000639.SZ,159919,C,4.9,2021-05-26
90000640.SZ,159919,C,5.0,2021-05-26
90000641.SZ,159919,C,5.25,2021-05-26
90000642.SZ,159919,C,5.5,2021-05-26
90000643.SZ,159919,C,5.75,2021-05-26
90000644.SZ,159919,P,4.5,2021-05-26
90000645.SZ,159919,P,4.6,2021-05-26
90000646.SZ,159919,P,4.7,2021-05-26
90000647.SZ,159919,P,4.8,2021-05-26
90000648.SZ,159919,P,4.9,2021-05-26
90000649.SZ,159919,P,5.0,2021-05-26
90000650.SZ,159919,P,5.25,2021-05-26
90000651.SZ,159919,P,5.5,2021-05-26
90000652.SZ,159919,P,5.75,2021-05-26
90000653.SZ,159919,C,4.5,2021-04-28
90000654.SZ,159919,P,4.5,2021-04-28
90000655.SZ,159919,C,4.438,2021-09-22
90000656.SZ,159919,P,4.438,2021-09-22
90000657.SZ,159919,C,6.0,2021-05-26
90000658.SZ,159919,P,6.0,2021-05-26
90000659.SZ,159919,C,6.25,2021-05-26
90000660.SZ,159919,P,6.25,2021-05-26
90000661.SZ,159919,C,4.537,2021-12-22
90000662.SZ,159919,C,4.635,2021-12-22
90000663.SZ,159919,C,4.734,2021-12-22
90000664.SZ,159919,C,4.833,2021-12-22
90000665.SZ,159919,C,4.931,2021-12-22
90000666.SZ,159919,C,5.178,2021-12-22
90000667.SZ,159919,C,5.424,2021-12-22
90000668.SZ,159919,C,5.671,2021-12-22
90000669.SZ,159919,C,5.917,2021-12-22
90000670.SZ,159919,P,4.537,2021-12-22
90000671.SZ,159919,P,4.635,2021-12-22
90000672.SZ,159919,P,4.734,2021-12-22
90000673.SZ,159919,P,4.833,2021-12-22
90000674.SZ,159919,P,4.931,2021-12-22
90000675.SZ,159919,P,5.178,2021-12-22
90000676.SZ,159919,P,5.424,2021-12-22
90000677.SZ,159919,P,5.671,2021-12-22
90000678.SZ,159919,P,5.917,2021-12-22
90000679.SZ,159919,C,6.164,2021-12-22
90000680.SZ,159919,P,6.164,2021-12-22
90000681.SZ,159919,C,4.7,2021-07-28
90000682.SZ,159919,C,4.8,2021-07-28
90000683.SZ,159919,C,4.9,2021-07-28
90000684.SZ,159919,C,5.0,2021-07-28
90000685.SZ,159919,C,5.25,2021-07-28
90000686.SZ,159919,C,5.5,2021-07-28
90000687.SZ,159919,C,5.75,2021-07-28
90000688.SZ,159919,C,6.0,2021-07-28
90000689.SZ,159919,C,6.25,2021-07-28
90000690.SZ,159919,P,4.7,2021-07-28
90000691.SZ,159919,P,4.8,2021-07-28
90000692.SZ,159919,P,4.9,2021-07-28
90000693.SZ,159919,P,5.0,2021-07-28
90000694.SZ,159919,P,5.25,2021-07-28
90000695.SZ,159919,P,5.5,2021-07-28
90000696.SZ,159919,P,5.75,2021-07-28
90000697.SZ,159919,P,6.0,2021-07-28
90000698.SZ,159919,P,6.25,2021-07-28
90000699.SZ,159919,C,4.6,2021-07-28
90000700.SZ,159919,P,4.6,2021-07-28
90000701.SZ,159919,C,4.7,2021-08-25
90000702.SZ,159919,C,4.8,2021-08-25
90000703.SZ,159919,C,4.9,2021-08-25
90000704.SZ,159919,C,5.0,2021-08-25
90000705.SZ,159919,C,5.25,2021-08-25
90000706.SZ,159919,C,5.5,2021-08-25
90000707.SZ,159919,C,5.75,2021-08-25
90000708.SZ,159919,C,6.0,2021-08-25
90000709.SZ,159919,C,6.25,2021-08-25
90000710.SZ,159919,P,4.7,2021-08-25
90000711.SZ,159919,P,4.8,2021-08-25
90000712.SZ,159919,P,4.9,2021-08-25
90000713.SZ,159919,P,5.0,2021-08-25
90000714.SZ,159919,P,5.25,2021-08-25
90000715.SZ,159919,P,5.5,2021-08-25
90000716.SZ,159919,P,5.75,2021-08-25
90000717.SZ,159919,P,6.0,2021-08-25
90000718.SZ,159919,P,6.25,2021-08-25
90000719.SZ,159919,C,4.6,2021-08-25
90000720.SZ,159919,P,4.6,2021-08-25
90000721.SZ,159919,C,4.4,2021-07-28
90000722.SZ,159919,C,4.5,2021-07-28
90000723.SZ,159919,P,4.4,2021-07-28
90000724.SZ,159919,P,4.5,2021-07-28
90000725.SZ,159919,C,4.4,2021-08-25
90000726.SZ,159919,C,4.5,2021-08-25
90000727.SZ,159919,P,4.4,2021-08-25
90000728.SZ,159919,P,4.5,2021-08-25
90000729.SZ,159919,C,4.339,2021-09-22
90000730.SZ,159919,P,4.339,2021-09-22
90000731.SZ,159919,C,4.339,2021-12-22
90000732.SZ,159919,C,4.438,2021-12-22
90000733.SZ,159919,P,4.339,2021-12-22
90000734.SZ,159919,P,4.438,2021-12-22
90000735.SZ,159919,C,4.339,2022-03-23
90000736.SZ,159919,C,4.438,2022-03-23
90000737.SZ,159919,C,4.537,2022-03-23
90000738.SZ,159919,C,4.635,2022-03-23
90000739.SZ,159919,C,4.734,2022-03-23
90000740.SZ,159919,C,4.833,2022-03-23
90000741.SZ,159919,C,4.931,2022-03-23
90000742.SZ,159919,C,5.178,2022-03-23
90000743.SZ,159919,C,5.424,2022-03-23
90000744.SZ,159919,P,4.339,2022-03-23
90000745.SZ,159919,P,4.438,2022-03-23
90000746.SZ,159919,P,4.537,2022-03-23
90000747.SZ,159919,P,4.635,2022-03-23
90000748.SZ,159919,P,4.734,2022-03-23
