portfolio_name,universe_name,universe_short,portfolio_type,weight_scheme,sample_start,sample_end,n_trading_days,annualized_return_cagr,sharpe_daily_mean,annualized_volatility,max_drawdown,calmar_ratio,sortino_ratio,option_leg_annualized_pnl_contribution,final_nav,initial_nav,cumulative_return,arithmetic_annualized_return,cagr_vol_ratio,max_drawdown_start,max_drawdown_trough,max_drawdown_recovery,drawdown_duration,monthly_win_rate,worst_month_return,best_month_return
A_Pure_ETF_40_40_20,Main Growth-Diversified Universe,A,Pure_ETF,40_40_20,2022-09-30,2026-05-27,881,0.11969440458722747,0.6442481119475417,0.20930170270650825,0.2903070959929751,0.4123027174992782,1.1520608344284236,0.0,1.48408439694676,1.0,0.4840843969467601,0.1348422267960736,0.5718749682369668,2023-02-01,2024-02-05,2024-10-08,406,0.45454545454545453,-0.11891231224558196,0.29499749517925644
A_Pure_ETF_50_30_20,Main Growth-Diversified Universe,A,Pure_ETF,50_30_20,2022-09-30,2026-05-27,881,0.11430135705369415,0.6292652989490186,0.2053033143301239,0.28509682462966435,0.40092118599416027,1.1256379318291643,0.0,1.4592720724047958,1.0,0.45927207240479584,0.12919025146716973,0.5567438471543606,2023-02-01,2024-02-05,2024-10-08,406,0.4772727272727273,-0.11355843916773722,0.2925089999321191
A_Pure_ETF_70_20_10,Main Growth-Diversified Universe,A,Pure_ETF,70_20_10,2022-09-30,2026-05-27,881,0.0963230938650832,0.579271336841894,0.18967528077981272,0.2635656850447704,0.36546143648677687,1.0273403663910778,0.0,1.3786943511896121,1.0,0.37869435118961214,0.1098734534631837,0.5078315607024262,2023-02-01,2024-02-02,2024-10-08,406,0.4772727272727273,-0.09918866594011999,0.2713721816840484
A_Selected_40_40_20,Main Growth-Diversified Universe,A,Selected,40_40_20,2022-09-30,2026-05-27,881,0.11556502690570647,0.7105792924655173,0.17561454744587457,0.2543537458735734,0.4543476507837557,1.2183639145109613,-0.01004275370521376,1.465059198740428,1.0,0.465059198740428,0.12478806087074155,0.65806067086398,2023-02-01,2024-02-05,2025-07-22,599,0.5,-0.1108570940735415,0.19730481488590423
A_Selected_50_30_20,Main Growth-Diversified Universe,A,Selected,50_30_20,2022-09-30,2026-05-27,881,0.11137487653523337,0.7192775996483279,0.16598692978399882,0.2412952298505684,0.46157098341399727,1.22457259146134,-0.009788447803000463,1.4459325676008792,1.0,0.4459325676008792,0.11939068042803021,0.6709858220774798,2023-02-01,2024-02-05,2025-07-21,598,0.5,-0.1041268941260527,0.1795782804283632
A_Selected_70_20_10,Main Growth-Diversified Universe,A,Selected,70_20_10,2022-09-30,2026-05-27,881,0.10013154193386775,0.7266233760255285,0.146044496272514,0.20594521166521085,0.4862047586551506,1.2132484790821068,-0.003749847341540431,1.395491618368371,1.0,0.395491618368371,0.10611934493148184,0.6856235222108318,2023-02-01,2024-02-02,2024-10-08,406,0.5681818181818182,-0.08834086520330553,0.145783353435623
B_Pure_ETF_40_40_20,Alternative Defensive-Income Universe,B,Pure_ETF,40_40_20,2022-09-30,2026-05-27,881,0.08410571362233199,0.5247696370529165,0.18709028650053283,0.26226243838222485,0.3206929445983232,0.9344066372852958,0.0,1.325782769130643,1.0,0.32578276913064297,0.09817930174301076,0.44954612660819493,2023-01-30,2024-02-02,2024-10-08,408,0.5,-0.08156028377185487,0.26454557100830645
B_Pure_ETF_50_30_20,Alternative Defensive-Income Universe,B,Pure_ETF,50_30_20,2022-09-30,2026-05-27,881,0.08747610048366128,0.5372359474501414,0.1892893767813446,0.2659145092474836,0.3289632473655218,0.9574650408062082,0.0,1.3402319868044017,1.0,0.3402319868044017,0.10169305767737247,0.46212894759914747,2023-01-30,2024-02-02,2024-10-08,408,0.5,-0.08220509963164246,0.26965409143393426
B_Pure_ETF_70_20_10,Alternative Defensive-Income Universe,B,Pure_ETF,70_20_10,2022-09-30,2026-05-27,881,0.07818830085776907,0.5066606313360774,0.18067713430832782,0.25206730711233305,0.31018818645499585,0.8956109945846424,0.0,1.30068362220823,1.0,0.3006836222082301,0.09154199093665062,0.43275149983472583,2023-01-30,2024-02-02,2024-10-08,408,0.5227272727272727,-0.07994294620051534,0.25623828159388773
B_Selected_40_40_20,Alternative Defensive-Income Universe,B,Selected,40_40_20,2022-09-30,2026-05-27,881,0.08663977951000668,0.6836933716135654,0.1348610570893146,0.19647827415475394,0.4409636631975188,1.1379713274056074,-0.0059689080721675135,1.3366361566415375,1.0,0.33663615664153745,0.092203610820763,0.6424373453681862,2023-01-30,2024-02-02,2024-10-08,408,0.5681818181818182,-0.06847849466949785,0.11826519366955401
B_Selected_50_30_20,Alternative Defensive-Income Universe,B,Selected,50_30_20,2022-09-30,2026-05-27,881,0.08942830751265496,0.6970978261748006,0.13621092954998848,0.19934221145959585,0.4486170132148902,1.1592779778036335,-0.006733063578215779,1.348652518014925,1.0,0.3486525180149249,0.09495234289054588,0.6565428178789088,2023-01-30,2024-02-02,2025-07-03,588,0.5681818181818182,-0.06888807688296705,0.12055277761721728
B_Selected_70_20_10,Alternative Defensive-Income Universe,B,Selected,70_20_10,2022-09-30,2026-05-27,881,0.08501291128251198,0.7009274325964185,0.12815466441903844,0.1786789816502884,0.4757857387440218,1.1485660693659407,-0.0017129245250173176,1.3296610350249096,1.0,0.3296610350249096,0.0898271199064922,0.6633618188452187,2023-01-30,2024-02-02,2024-10-08,408,0.5681818181818182,-0.06557142646383074,0.1069542015532623
