etf_code,coverage,coverage_label,selector_type,rule_count,median_sharpe_range,min_sharpe_range,max_sharpe_range,median_option_leg_range,min_option_leg_range,max_option_leg_range,median_cagr_range,median_mdd_range
510050,0.7,Q70,moneyness,7,0.029344680628647923,0.005553684956599914,0.04796737331357137,0.006003603665174247,0.0009549302616516809,0.008506421686777883,0.0050464741971474325,6.661338147750939e-16
510050,0.7,Q70,target_delta,1,0.03100537046436469,0.03100537046436469,0.03100537046436469,0.0059858218617732896,0.0059858218617732896,0.0059858218617732896,0.005012085938356892,7.771561172376096e-16
510300,0.7,Q70,moneyness,7,0.012099797562919234,0.005616502118015454,0.02315240787015993,0.0017421124263402596,0.0004126486631205054,0.005002446644978835,0.0012890650438424078,5.551115123125783e-16
510300,0.7,Q70,target_delta,1,0.013506393318028276,0.013506393318028276,0.013506393318028276,0.0017251208614229427,0.0017251208614229427,0.0017251208614229427,0.0008444440143524634,6.661338147750939e-16
