etf_code,sleeve_name,sleeve_key,selector_type,rule_label,coverage,coverage_label,target_delta,target_moneyness,phase_count,sharpe_daily_mean_min,sharpe_daily_mean_median,sharpe_daily_mean_max,sharpe_daily_mean_range,sharpe_daily_mean_std,annualized_return_cagr_min,annualized_return_cagr_median,annualized_return_cagr_max,annualized_return_cagr_range,annualized_return_cagr_std,max_drawdown_min,max_drawdown_median,max_drawdown_max,max_drawdown_range,max_drawdown_std,option_leg_annualized_pnl_contribution_min,option_leg_annualized_pnl_contribution_median,option_leg_annualized_pnl_contribution_max,option_leg_annualized_pnl_contribution_range,option_leg_annualized_pnl_contribution_std,final_nav_min,final_nav_median,final_nav_max,final_nav_range,final_nav_std,selected_periods_min,selected_periods_median,selected_periods_max,selected_periods_range,selected_periods_std,phase_fragility_sharpe_cv,positive_option_leg_phase_rate,cycle_count,avg_realized_moneyness,median_realized_moneyness,std_realized_moneyness,avg_selected_delta,median_selected_delta,std_selected_delta
510050,510050_DTE30_ATM_Q70_Hold,510050__510050_DTE30_ATM_Q70_Hold,moneyness,ATM,0.7,Q70,,0.0,21,0.7910597164409053,0.8013118171855377,0.8376641598415964,0.04660444340069103,0.022426186274363335,0.08084564734047994,0.08199449585039709,0.08837581878336498,0.007530171442885036,0.0035570786819600006,0.12069672695894906,0.1206967269589494,0.12069672695894973,6.661338147750939e-16,1.5553031891404222e-16,0.009418806119907483,0.010328513471513073,0.01782326410316908,0.008404457983261596,0.004101010330228613,1.3074680824866456,1.312266681470019,1.3391485989010643,0.03168051641441871,0.01495978034008853,43.0,43.0,44.0,1.0,0.511766315719159,0.027591621873914434,1.0,913.0,-0.00045219053851655025,-0.0010921004732433,0.006193979899234497,0.528274220752955,0.5351478498616952,0.05636053419477068
510050,510050_DTE30_OTM1_Q70_Hold,510050__510050_DTE30_OTM1_Q70_Hold,moneyness,OTM1,0.7,Q70,,0.01,21,0.666520772337366,0.6760004985832794,0.7144881456509373,0.04796737331357137,0.022434638299500546,0.07160198082822755,0.07274088015532265,0.07916820880225561,0.007566227974028061,0.0035903555437302287,0.14800695248537998,0.14800695248538032,0.14800695248538065,6.661338147750939e-16,2.1328493919268306e-16,0.0016732783725506809,0.0026323530426096155,0.010179700059328564,0.008506421686777883,0.0040751613364417225,1.2693106658799096,1.273968714003976,1.3004840222662957,0.031173356386386075,0.014786675260091775,43.0,43.0,44.0,1.0,0.511766315719159,0.03260566310222928,1.0,913.0,0.011024920257050031,0.0104920405209842,0.00567699770260629,0.42705557550270973,0.4418583278880441,0.053693550353210585
510050,510050_DTE30_OTM2_Q70_Hold,510050__510050_DTE30_OTM2_Q70_Hold,moneyness,OTM2,0.7,Q70,,0.02,21,0.7361776500015841,0.7425793035294623,0.7659377876641424,0.02976013766255836,0.012708421669146869,0.08519052594258403,0.08602078656390466,0.09023700013973146,0.0050464741971474325,0.002323905515373426,0.1502147509217442,0.1502147509217444,0.15021475092174474,5.551115123125783e-16,1.6326319374041212e-16,0.015127210187434013,0.01580766184700851,0.02113081385260826,0.006003603665174247,0.0026793698197306154,1.325681876725014,1.3291827285516187,1.3470620658487633,0.021380189123749282,0.009841781058427023,43.0,43.0,44.0,1.0,0.511766315719159,0.016986389539469182,1.0,913.0,0.02032532210796831,0.0192937750273025,0.006022561981351141,0.3470948113542604,0.3596643005673929,0.06778656908554416
510050,510050_DTE30_OTM3_Q70_Hold,510050__510050_DTE30_OTM3_Q70_Hold,moneyness,OTM3,0.7,Q70,,0.03,21,0.697110985674667,0.703266757417145,0.7264556663033149,0.029344680628647923,0.011785843055322317,0.08380550372785289,0.08464350125107911,0.08885436784910827,0.005048864121255381,0.0022533124335265024,0.16580823338533623,0.1658082333853368,0.165808233385337,7.771561172376096e-16,2.0955000055363631e-16,0.01456639464812846,0.015280635057264617,0.020603864092031136,0.006037469443902675,0.002563038135893248,1.3198564113367703,1.3233788898096008,1.341180157486777,0.02132374615000665,0.009511672825009006,43.0,43.0,44.0,1.0,0.511766315719159,0.016638266845569242,1.0,913.0,0.02976514675373289,0.0302702702702704,0.005871479998981399,0.27927305288209414,0.2840439149678358,0.06304636125016143
510050,510050_DTE30_OTM4_Q70_Hold,510050__510050_DTE30_OTM4_Q70_Hold,moneyness,OTM4,0.7,Q70,,0.04,21,0.6669748342448991,0.6671115155663402,0.672528519201499,0.005553684956599914,0.0022505756899456617,0.08283675110895183,0.08361567494844446,0.08431322653154028,0.0014764754225884413,0.0006071454825237268,0.17217007142613783,0.17217007142613794,0.17217007142613827,4.440892098500626e-16,1.3597399555105182e-16,0.014367586212197503,0.015033598406608353,0.016527229318333468,0.0021596431061359656,0.0008780259320476039,1.3157926127185506,1.3190594018300748,1.321989801510191,0.006197188791640329,0.0025478723177895794,43.0,43.0,44.0,1.0,0.511766315719159,0.0033659818835751133,1.0,913.0,0.03931078770142197,0.0378510378510379,0.006694155288899852,0.22372555938618066,0.2235314931728925,0.04892873349436093
510050,510050_DTE30_OTM5_Q70_Hold,510050__510050_DTE30_OTM5_Q70_Hold,moneyness,OTM5,0.7,Q70,,0.05,21,0.6231802703684658,0.6239141155532273,0.629080995951934,0.005900725583468214,0.0019816816624525,0.07912688853776162,0.07990314373824203,0.08059830546847513,0.0014714169307135094,0.0005665416069904223,0.18755608273444668,0.18755608273444702,0.18755608273444746,7.771561172376096e-16,1.8452761694870049e-16,0.01156562266723191,0.012252422515271316,0.013746066903438967,0.0021804442362070575,0.0008017974250622283,1.300312319279726,1.303540674633864,1.3064365981765529,0.0061242788968269846,0.0023573306241326942,43.0,43.0,44.0,1.0,0.511766315719159,0.00317236849967014,1.0,913.0,0.05109505475575161,0.0516252390057361,0.006028715705305513,0.16714503097643504,0.1712078548313532,0.053814441419053755
510050,510050_DTE30_OTM7_Q70_Hold,510050__510050_DTE30_OTM7_Q70_Hold,moneyness,OTM7,0.7,Q70,,0.07,21,0.5716148997153537,0.5794098050675764,0.5827836058709496,0.011168706155595842,0.00371382057007679,0.07440949970734057,0.07519079354088798,0.07569979518053338,0.0012902954731928151,0.00037692095069086516,0.19904998683821906,0.19904998683821928,0.19904998683821962,5.551115123125783e-16,1.6467268631127714e-16,0.008139387569673957,0.00863991319512945,0.009094317831325638,0.0009549302616516809,0.0002486190554838306,1.280815193648866,1.2840298669724042,1.2861272593439443,0.00531206569507825,0.0015513106101525875,43.0,43.0,44.0,1.0,0.511766315719159,0.006442975004754805,1.0,913.0,0.07018643623123619,0.0709010339734119,0.006711100239610214,0.10604299087209026,0.0962656667865042,0.04267795071615085
510050,510050_DTE30_D40_Q70_Hold,510050__510050_DTE30_D40_Q70_Hold,target_delta,D40,0.7,Q70,0.4,,21,0.7025289536247018,0.7091895555084273,0.7335343240890665,0.03100537046436469,0.013386285479138083,0.07779569716010859,0.0786203001250152,0.08280778309846548,0.005012085938356892,0.0023207104947928947,0.1470513256640279,0.14705132566402823,0.14705132566402868,7.771561172376096e-16,1.9229626863835638e-16,0.0077553546435774,0.00841802449974994,0.01374117650535069,0.0059858218617732896,0.002697292384713973,1.2947892697669425,1.2982085406038721,1.3156712324376596,0.02088196267071707,0.009665253308590215,43.0,43.0,44.0,1.0,0.511766315719159,0.018716386126103785,1.0,913.0,0.013834601321291688,0.0148514851485148,0.006646960554593057,0.40793025473465083,0.4006947944635053,0.05069760622346559
510300,510300_DTE30_ATM_Q70_Hold,510300__510300_DTE30_ATM_Q70_Hold,moneyness,ATM,0.7,Q70,,0.0,21,0.6257988600772169,0.6278370215483721,0.6489512679473768,0.02315240787015993,0.011232671057694774,0.06629447271649047,0.06653312387915311,0.07004880668463853,0.0037543339681480603,0.001772312760877597,0.1562219387282554,0.15622193872825552,0.15622193872825585,4.440892098500626e-16,1.0892074392614739e-16,-0.02747177525758213,-0.02714470716190699,-0.022469328612603295,0.005002446644978835,0.002404409864566377,1.2477625468575915,1.2487258357852917,1.2629777594526734,0.015215212595081962,0.00718112333640507,43.0,43.0,44.0,1.0,0.511766315719159,0.017644183150075474,0.0,913.0,0.0022673199043200757,0.0032605969400552,0.005821402717068675,0.5007546565619425,0.4997499882411414,0.05321674191353275
510300,510300_DTE30_OTM1_Q70_Hold,510300__510300_DTE30_OTM1_Q70_Hold,moneyness,OTM1,0.7,Q70,,0.01,21,0.714457463542809,0.7315881110473421,0.7342159761180547,0.019758512575245635,0.003935704460957522,0.07986847984122769,0.08284509491692371,0.08350189095831584,0.003633411117088148,0.0007574851832061517,0.1562219387282554,0.15622193872825574,0.15622193872825596,5.551115123125783e-16,1.7422013638940486e-16,-0.014467201262135711,-0.01118253749298854,-0.009542641065520273,0.004924560196615439,0.0011786848095221164,1.3033963902474248,1.315827575992218,1.3185818355635164,0.015185445316091561,0.0031661120395886735,43.0,43.0,44.0,1.0,0.511766315719159,0.005383006593059366,0.0,913.0,0.007870870626854168,0.0068965517241379,0.005967686242005835,0.45025552451013157,0.4597851692437651,0.06221811856129584
510300,510300_DTE30_OTM2_Q70_Hold,510300__510300_DTE30_OTM2_Q70_Hold,moneyness,OTM2,0.7,Q70,,0.02,21,0.7114546584321503,0.7203527077265909,0.7230984385999623,0.011643780167811979,0.0033435779389589335,0.08666017144972038,0.08679605752452679,0.08749882012036725,0.0008386486706468688,0.0003429440249624196,0.17880852258278268,0.1788085225827829,0.17880852258278312,4.440892098500626e-16,1.2974061705550982e-16,-0.00685607366467746,-0.006519270882847852,-0.005130952803254928,0.0017251208614225315,0.0007609106556371445,1.3318832096569266,1.3324576343057877,1.3354311962869774,0.0035479866300507368,0.0014509585321475936,43.0,43.0,44.0,1.0,0.511766315719159,0.004648032388479358,0.0,913.0,0.020909940727563858,0.022592152199762,0.00789675023467602,0.3432737196828885,0.3463284077903185,0.06920748695684682
510300,510300_DTE30_OTM3_Q70_Hold,510300__510300_DTE30_OTM3_Q70_Hold,moneyness,OTM3,0.7,Q70,,0.03,21,0.6921779896182648,0.6998842128837877,0.7025017034685629,0.010323713850298066,0.003564639777749461,0.08819186566267034,0.0883245435140243,0.08903169644466069,0.0008398307819903472,0.00032250563147940295,0.19581032470826032,0.19581032470826054,0.19581032470826087,5.551115123125783e-16,1.8041124150158794e-16,-0.004564830153220772,-0.00427542767089871,-0.002822717726880512,0.0017421124263402596,0.0006967975463905714,1.3383682543170743,1.3389310524387965,1.3419335163745658,0.003565262057491525,0.0013691780405160618,43.0,43.0,44.0,1.0,0.511766315719159,0.0051040990058102646,0.0,913.0,0.03100628981541943,0.0313227513227514,0.0057549881839163725,0.2685542001272768,0.2647774149959205,0.06482498384797185
