portfolio_name,universe_short,constraint_set,D_star,etf_code,sleeve_name,weight,portfolio_volatility,risk_contribution_to_variance,risk_contribution_pct
B_relaxed_D18_51030080_51005011_15991509,B,relaxed,0.18,159915,159915_DTE30_OTM5up_Q50_Hold,0.09,0.12858931225057468,0.002461441867822421,0.14886062441643458
B_relaxed_D20_51030079_51005004_15991517,B,relaxed,0.2,510300,510300_DTE30_D40_Q70_Hold,0.79,0.13754607867127316,0.013156403480031912,0.6954097203640915
B_relaxed_D20_51030079_51005004_15991517,B,relaxed,0.2,510050,510050_DTE30_D40_Q70_Hold,0.04,0.13754607867127316,0.0005587460980234024,0.02953371477020398
B_relaxed_D20_51030079_51005004_15991517,B,relaxed,0.2,159915,159915_DTE30_OTM5up_Q50_Hold,0.17,0.13754607867127316,0.005203774179788756,0.27505656486570457
B_relaxed_D22_51030077_51005000_15991523,B,relaxed,0.22,510300,510300_DTE30_D40_Q70_Hold,0.77,0.1446559661942164,0.01334042242264932,0.637524502266438
B_relaxed_D22_51030077_51005000_15991523,B,relaxed,0.22,510050,510050_DTE30_D40_Q70_Hold,0.0,0.1446559661942164,0.0,0.0
B_relaxed_D22_51030077_51005000_15991523,B,relaxed,0.22,159915,159915_DTE30_OTM5up_Q50_Hold,0.23,0.1446559661942164,0.00758492613293296,0.3624754977335621
B_relaxed_D25_51030077_51005000_15991523,B,relaxed,0.25,510300,510300_DTE30_D40_Q70_Hold,0.77,0.1446559661942164,0.01334042242264932,0.637524502266438
B_relaxed_D25_51030077_51005000_15991523,B,relaxed,0.25,510050,510050_DTE30_D40_Q70_Hold,0.0,0.1446559661942164,0.0,0.0
B_relaxed_D25_51030077_51005000_15991523,B,relaxed,0.25,159915,159915_DTE30_OTM5up_Q50_Hold,0.23,0.1446559661942164,0.00758492613293296,0.3624754977335621
B_relaxed_D30_51030077_51005000_15991523,B,relaxed,0.3,510300,510300_DTE30_D40_Q70_Hold,0.77,0.1446559661942164,0.01334042242264932,0.637524502266438
B_relaxed_D30_51030077_51005000_15991523,B,relaxed,0.3,510050,510050_DTE30_D40_Q70_Hold,0.0,0.1446559661942164,0.0,0.0
B_relaxed_D30_51030077_51005000_15991523,B,relaxed,0.3,159915,159915_DTE30_OTM5up_Q50_Hold,0.23,0.1446559661942164,0.00758492613293296,0.3624754977335621
