comparison_name,left_sleeve,right_sleeve,sample_start,sample_end,n_obs,daily_return_correlation,rolling_window_days,rolling_corr_mean,rolling_corr_median,rolling_corr_p05,rolling_corr_p95,rolling_corr_min,rolling_corr_max,interpretation
ETF_BuyHold_pair,510050__510050_ETF_BuyHold,510300__510300_ETF_BuyHold,2022-09-30,2026-05-27,881,0.9208710655983848,63,0.9095107873394325,0.9210387687932889,0.7915530970545945,0.9673508385930586,0.7237102866625258,0.9777964736857995,very high overlap; mainly repeated large-cap exposure
D40_Q70_pair,510050__510050_DTE30_D40_Q70_Hold,510300__510300_DTE30_D40_Q70_Hold,2022-09-30,2026-05-27,881,0.89170214621515,63,0.887664292473377,0.9078830166052029,0.7196832287867666,0.9632199164791934,0.6422796834596449,0.9743799130683709,high overlap; limited diversification but usable as second core
