etf_code,sleeve_name,sample_scope,sample_start,sample_end,n_trading_days,annualized_return_cagr,arithmetic_annualized_return,annualized_volatility,sharpe_daily_mean,cagr_vol_ratio,sortino_ratio,calmar_ratio,max_drawdown,monthly_win_rate,option_leg_annualized_pnl_contribution,premium_capture_ratio_agg,payoff_burden_agg,premium_capture_ratio_period_mean,payoff_burden_period_mean,positive_option_leg_period_rate,assignment_rate,p95_short_call_mtm_loss,p99_short_call_mtm_loss,max_short_call_mtm_loss,avg_actual_dte,avg_entry_delta,median_entry_delta,avg_realized_moneyness,median_realized_moneyness,gap_periods,early_close_rate,avg_active_coverage,notes
159915,159915_DTE30_D40_Q100_Hold,full_available_sample_by_etf,2022-09-30,2026-05-27,881,0.07760727651190313,0.090588382356451,0.17709585061743624,0.5115217665496902,0.43822187951512737,0.7914483341081334,0.26986645672825493,0.287576594189513,0.5227272727272727,-0.13081587012678944,-0.5658357960301041,1.5403357960301038,-0.7416277184792068,1.7161277184792068,0.6818181818181818,0.38636363636363635,0.05129476584022038,0.23306832298136715,0.6083850931677018,30.34090909090909,0.3848985215039465,0.3739195259985191,0.024861526022159793,0.02481511525321356,0,0.0,1.0,near-delta diagnostic stress test
159915,159915_DTE30_D40_Q100_Hold,common_portfolio_sample,2022-09-30,2026-05-27,881,0.07760727651190313,0.090588382356451,0.17709585061743624,0.5115217665496902,0.43822187951512737,0.7914483341081334,0.26986645672825493,0.287576594189513,0.5227272727272727,-0.13081587012678944,-0.5658357960301041,1.5403357960301038,-0.7416277184792068,1.7161277184792068,0.6818181818181818,0.38636363636363635,0.05129476584022038,0.23306832298136715,0.6083850931677018,30.34090909090909,0.3848985215039465,0.3739195259985191,0.024861526022159793,0.02481511525321356,0,0.0,1.0,near-delta diagnostic stress test
159915,159915_DTE30_OTM5up_Q100_Hold,full_available_sample_by_etf,2022-09-30,2026-05-27,881,0.09490796837785953,0.11082745218005977,0.2000771776901876,0.5539235082157753,0.47435679308122364,0.8997675665640283,0.2735374313983355,0.3469651955591079,0.5454545454545454,-0.11059977314066484,-0.7750622143676487,1.7495622143676488,-1.1627578657885005,2.1372578657885004,0.75,0.2727272727272727,0.03438016528925619,0.20908074534161547,0.5877639751552795,30.34090909090909,0.24948873634173604,0.2374064302324134,0.05212806928834041,0.05339092807965806,0,0.0,1.0,high-coverage stress test
159915,159915_DTE30_OTM5up_Q100_Hold,common_portfolio_sample,2022-09-30,2026-05-27,881,0.09490796837785953,0.11082745218005977,0.2000771776901876,0.5539235082157753,0.47435679308122364,0.8997675665640283,0.2735374313983355,0.3469651955591079,0.5454545454545454,-0.11059977314066484,-0.7750622143676487,1.7495622143676488,-1.1627578657885005,2.1372578657885004,0.75,0.2727272727272727,0.03438016528925619,0.20908074534161547,0.5877639751552795,30.34090909090909,0.24948873634173604,0.2374064302324134,0.05212806928834041,0.05339092807965806,0,0.0,1.0,high-coverage stress test
159915,159915_DTE30_OTM5up_Q50_Hold,full_available_sample_by_etf,2022-09-30,2026-05-27,881,0.1458405830155729,0.16619017953058596,0.2453840596327016,0.6772655883978141,0.5943360103906976,1.198574066352632,0.38705700027896073,0.3767935547231087,0.4772727272727273,-0.05529988657033242,-0.7750622143676487,1.7495622143676488,-1.1627578657885005,2.1372578657885004,0.75,0.2727272727272727,0.017190082644628096,0.10454037267080774,0.2938819875776397,30.34090909090909,0.24948873634173604,0.2374064302324134,0.05212806928834041,0.05339092807965806,0,0.0,0.5,high-beta OTM candidate
159915,159915_DTE30_OTM5up_Q50_Hold,common_portfolio_sample,2022-09-30,2026-05-27,881,0.1458405830155729,0.16619017953058596,0.2453840596327016,0.6772655883978141,0.5943360103906976,1.198574066352632,0.38705700027896073,0.3767935547231087,0.4772727272727273,-0.05529988657033242,-0.7750622143676487,1.7495622143676488,-1.1627578657885005,2.1372578657885004,0.75,0.2727272727272727,0.017190082644628096,0.10454037267080774,0.2938819875776397,30.34090909090909,0.24948873634173604,0.2374064302324134,0.05212806928834041,0.05339092807965806,0,0.0,0.5,high-beta OTM candidate
159915,159915_ETF_BuyHold,full_available_sample_by_etf,2022-09-30,2026-05-27,881,0.18822376380574712,0.221552906881112,0.3162937652591533,0.7004656152472182,0.5950916030593495,1.3216530708175347,0.4604857172373982,0.4087504927079215,0.4772727272727273,0.0,,,,,,,0.0,0.0,0.0,,,,,,0,0.0,0.0,pure ETF baseline
159915,159915_ETF_BuyHold,common_portfolio_sample,2022-09-30,2026-05-27,881,0.18822376380574712,0.221552906881112,0.3162937652591533,0.7004656152472182,0.5950916030593495,1.3216530708175347,0.4604857172373982,0.4087504927079215,0.4772727272727273,0.0,,,,,,,0.0,0.0,0.0,,,,,,0,0.0,0.0,pure ETF baseline
510300,510300_DTE30_ATM_Q100_Hold,full_available_sample_by_etf,2022-09-30,2026-05-27,881,0.04691337881248048,0.050441392187841536,0.0956099470460007,0.5275747319844527,0.4906746657846081,0.7720416179625663,0.36443941547065506,0.12872751085909362,0.6136363636363636,-0.03442416956793843,-0.14788333856072913,1.1223833385607294,-0.18409363448578572,1.158593634485786,0.6363636363636364,0.5227272727272727,0.026864893062076164,0.11354058721934411,0.23834196891191708,30.34090909090909,0.499425197324977,0.4968362186037464,0.002406318689871976,0.0034316366069292448,0,0.0,1.0,ATM defensive baseline; Q100 stress-style reference
510300,510300_DTE30_ATM_Q100_Hold,common_portfolio_sample,2022-09-30,2026-05-27,881,0.04691337881248048,0.050441392187841536,0.0956099470460007,0.5275747319844527,0.4906746657846081,0.7720416179625663,0.36443941547065506,0.12872751085909362,0.6136363636363636,-0.03442416956793843,-0.14788333856072913,1.1223833385607294,-0.18409363448578572,1.158593634485786,0.6363636363636364,0.5227272727272727,0.026864893062076164,0.11354058721934411,0.23834196891191708,30.34090909090909,0.499425197324977,0.4968362186037464,0.002406318689871976,0.0034316366069292448,0,0.0,1.0,ATM defensive baseline; Q100 stress-style reference
510300,510300_DTE30_D40_Q100_Hold,full_available_sample_by_etf,2022-09-30,2026-05-27,881,0.08620899906691326,0.08854174993305125,0.10782203080855532,0.8211842168903551,0.7995490199955765,1.2522901829173185,0.6199476376526405,0.13905851693109694,0.6136363636363636,0.0036329414601938867,0.038207508654258704,0.9362924913457412,-0.017588443359675368,0.9920884433596752,0.75,0.4090909090909091,0.017130345182895412,0.11354058721934411,0.23834196891191708,30.34090909090909,0.40490627812137975,0.4145580573326966,0.013995443048928495,0.012129797466689074,0,0.0,1.0,full coverage stress test
510300,510300_DTE30_D40_Q100_Hold,common_portfolio_sample,2022-09-30,2026-05-27,881,0.08620899906691326,0.08854174993305125,0.10782203080855532,0.8211842168903551,0.7995490199955765,1.2522901829173185,0.6199476376526405,0.13905851693109694,0.6136363636363636,0.0036329414601938867,0.038207508654258704,0.9362924913457412,-0.017588443359675368,0.9920884433596752,0.75,0.4090909090909091,0.017130345182895412,0.11354058721934411,0.23834196891191708,30.34090909090909,0.40490627812137975,0.4145580573326966,0.013995443048928495,0.012129797466689074,0,0.0,1.0,full coverage stress test
510300,510300_DTE30_D40_Q50_Hold,full_available_sample_by_etf,2022-09-30,2026-05-27,881,0.08054876584824222,0.08672321503167033,0.13594414114525608,0.6379327148715201,0.5925136984180583,1.0606617930867372,0.43644024631663947,0.18455851981580018,0.5454545454545454,0.0018164707300969433,0.038207508654258704,0.9362924913457412,-0.017588443359675368,0.9920884433596752,0.75,0.4090909090909091,0.008565172591447706,0.056770293609672055,0.11917098445595854,30.34090909090909,0.40490627812137975,0.4145580573326966,0.013995443048928495,0.012129797466689074,0,0.0,0.5,medium coverage candidate
510300,510300_DTE30_D40_Q50_Hold,common_portfolio_sample,2022-09-30,2026-05-27,881,0.08054876584824222,0.08672321503167033,0.13594414114525608,0.6379327148715201,0.5925136984180583,1.0606617930867372,0.43644024631663947,0.18455851981580018,0.5454545454545454,0.0018164707300969433,0.038207508654258704,0.9362924913457412,-0.017588443359675368,0.9920884433596752,0.75,0.4090909090909091,0.008565172591447706,0.056770293609672055,0.11917098445595854,30.34090909090909,0.40490627812137975,0.4145580573326966,0.013995443048928495,0.012129797466689074,0,0.0,0.5,medium coverage candidate
510300,510300_DTE30_D40_Q70_Hold,full_available_sample_by_etf,2022-09-30,2026-05-27,881,0.0831563478544819,0.08745062899222364,0.12284448275932933,0.7118808026857215,0.6769237493343319,1.1458413220232322,0.5053899986574696,0.1645389660962434,0.5909090909090909,0.0025430590221357085,0.03820750865425882,0.9362924913457412,-0.01758844335967538,0.9920884433596754,0.75,0.4090909090909091,0.011991241628026788,0.07947841105354088,0.16683937823834194,30.34090909090909,0.40490627812137975,0.4145580573326966,0.013995443048928495,0.012129797466689074,0,0.0,0.7000000000000001,high coverage candidate
510300,510300_DTE30_D40_Q70_Hold,common_portfolio_sample,2022-09-30,2026-05-27,881,0.0831563478544819,0.08745062899222364,0.12284448275932933,0.7118808026857215,0.6769237493343319,1.1458413220232322,0.5053899986574696,0.1645389660962434,0.5909090909090909,0.0025430590221357085,0.03820750865425882,0.9362924913457412,-0.01758844335967538,0.9920884433596754,0.75,0.4090909090909091,0.011991241628026788,0.07947841105354088,0.16683937823834194,30.34090909090909,0.40490627812137975,0.4145580573326966,0.013995443048928495,0.012129797466689074,0,0.0,0.7000000000000001,high coverage candidate
510300,510300_ETF_BuyHold,full_available_sample_by_etf,2022-09-30,2026-05-27,881,0.07206679597968213,0.08490468013028896,0.175315865824836,0.4842954728074646,0.41106830600081856,0.8499387898839146,0.2979752970448018,0.24185493460166463,0.5227272727272727,0.0,,,,,,,0.0,0.0,0.0,,,,,,0,0.0,0.0,pure ETF baseline
510300,510300_ETF_BuyHold,common_portfolio_sample,2022-09-30,2026-05-27,881,0.07206679597968213,0.08490468013028896,0.175315865824836,0.4842954728074646,0.41106830600081856,0.8499387898839146,0.2979752970448018,0.24185493460166463,0.5227272727272727,0.0,,,,,,,0.0,0.0,0.0,,,,,,0,0.0,0.0,pure ETF baseline
510500,510500_DTE30_D40_Q100_Hold,full_available_sample_by_etf,2022-09-30,2026-05-27,881,0.028163305795789517,0.037965627915777546,0.14224841625714463,0.2668966651069528,0.19798677930359718,0.38461603920868753,0.11996855291348296,0.23475573483077594,0.6363636363636364,-0.10334137212614634,-0.5992959238593072,1.5737959238593073,-0.7997625764048116,1.7742625764048119,0.6590909090909091,0.4318181818181818,0.03136546184738956,0.12783448775363254,0.2690421774361106,30.34090909090909,0.38899361635525553,0.3844640321601509,0.017710582749058887,0.017506344117146688,0,0.0,1.0,near-delta diagnostic stress test
510500,510500_DTE30_D40_Q100_Hold,common_portfolio_sample,2022-09-30,2026-05-27,881,0.028163305795789517,0.037965627915777546,0.14224841625714463,0.2668966651069528,0.19798677930359718,0.38461603920868753,0.11996855291348296,0.23475573483077594,0.6363636363636364,-0.10334137212614634,-0.5992959238593072,1.5737959238593073,-0.7997625764048116,1.7742625764048119,0.6590909090909091,0.4318181818181818,0.03136546184738956,0.12783448775363254,0.2690421774361106,30.34090909090909,0.38899361635525553,0.3844640321601509,0.017710582749058887,0.017506344117146688,0,0.0,1.0,near-delta diagnostic stress test
510500,510500_DTE30_OTM5up_Q100_Hold,full_available_sample_by_etf,2022-09-30,2026-05-27,881,0.07959913962858578,0.09136576152584917,0.17156627459948995,0.5325391702951904,0.46395563355563135,0.8319141885481433,0.29635045141145827,0.2685980036455855,0.5681818181818182,-0.05000185160757238,-0.6692513705718167,1.6437513705718168,-0.6631082680727077,1.6376082680727075,0.8409090909090909,0.25,0.016118589197478276,0.11000207770621252,0.2561603989195928,30.34090909090909,0.1965250243126298,0.1965023923583566,0.05017238396082407,0.050604129567764056,0,0.0,1.0,high-coverage stress test
