window_name,start_date,end_date,n_trading_days,source,note
main_stepA_sample,2022-09-30,2026-05-27,,ver3 Step A common sample,588000 should not shorten this main sample.
588000_etf_price_available,2021-01-04,2026-06-03,1310.0,data\raw\etf_prices.csv,ETF price history is longer than option history.
588000_option_available,2023-06-05,2026-06-03,725.0,data\source\delta_enriched_options.csv,Call option chains start after the main Step A sample begins.
covered_call_backtest,2023-06-30,2026-05-27,703.0,generated by this script,Short-sample extension; 35 continuous DTE30 option cycles.
