surface_point_id,etf_code,sleeve_name,parameter_grid_role,sample_scope,sample_start,sample_end,n_trading_days,moneyness_label,target_moneyness,coverage,coverage_label,annualized_return_cagr,arithmetic_annualized_return,annualized_volatility,sharpe_daily_mean,sortino_ratio,calmar_ratio,max_drawdown,monthly_win_rate,worst_month_return,best_month_return,option_leg_annualized_pnl_contribution,premium_capture_ratio_agg,payoff_burden_agg,positive_option_leg_period_rate,assignment_rate,p95_short_call_mtm_loss,p99_short_call_mtm_loss,max_short_call_mtm_loss,avg_actual_dte,avg_realized_moneyness,median_realized_moneyness,selected_periods,skipped_periods,avg_active_coverage,annualized_return_cagr_vs_buyhold,sharpe_diff_vs_buyhold,mdd_improvement_vs_buyhold,option_leg_verdict,recommendation_read,source_engine
159915_buyhold,159915,159915_ETF_BuyHold,buyhold,main_stepA_common_sample,2022-09-30,2026-05-27,881,BuyHold,,0.0,Q0,0.1882237638057449,0.22155290688111068,0.31629376525915337,0.7004656152472138,1.3216530708175265,0.46048571723739024,0.40875049270792374,0.4772727272727273,-0.16775244299674286,0.438144329896907,0.0,,,,,0.0,0.0,0.0,,,,0,0,0.0,0.0,0.0,0.0,pure ETF baseline,baseline,continuous_30d_daily_mtm
mny_daily_0001,159915,159915_DTE30_ATM_Q10_Hold,surface,main_stepA_common_sample,2022-09-30,2026-05-27,881,ATM,0.0,0.1,Q10,0.17671849033372333,0.20564282579539897,0.2952240943024427,0.6965651847668232,1.2986788576901989,0.45130611236118534,0.39157123179464837,0.4772727272727273,-0.16081492156569732,0.3927949726367703,-0.015892021969837116,-0.43563284450921985,1.41013284450922,0.6136363636363636,0.5454545454545454,0.006512396694214876,0.025173913043478307,0.06342857142857143,30.34090909090909,-0.001639326780093292,-0.0024498267294932874,44,0,0.09999999999999999,-0.011505273472021571,-0.003900430480390682,0.017179260913275374,negative option leg,drawdown cushion with visible return cost,continuous_30d_daily_mtm
mny_daily_0002,159915,159915_DTE30_ATM_Q20_Hold,surface,main_stepA_common_sample,2022-09-30,2026-05-27,881,ATM,0.0,0.2,Q20,0.1647168528069336,0.18973274470968768,0.2745935203511927,0.6909585647433635,1.2701114167988279,0.4394074029779169,0.37486135119851793,0.4772727272727273,-0.15382826734567612,0.34832400482532244,-0.03178404393967423,-0.43563284450921985,1.41013284450922,0.6136363636363636,0.5454545454545454,0.013024793388429752,0.050347826086956614,0.12685714285714286,30.34090909090909,-0.001639326780093292,-0.0024498267294932874,44,0,0.19999999999999998,-0.023506910998811303,-0.009507050503850367,0.03388914150940581,negative option leg,drawdown cushion with visible return cost,continuous_30d_daily_mtm
mny_daily_0003,159915,159915_DTE30_ATM_Q30_Hold,surface,main_stepA_common_sample,2022-09-30,2026-05-27,881,ATM,0.0,0.3,Q30,0.15223357552964334,0.17382266362397594,0.2545088458743672,0.6829729749738435,1.2343794414312919,0.42406847996773445,0.3589834725307246,0.4772727272727273,-0.1467921956416126,0.3047241474770215,-0.04767606590951134,-0.43563284450922,1.41013284450922,0.6136363636363636,0.5454545454545454,0.019537190082644627,0.07552173913043492,0.1902857142857143,30.34090909090909,-0.001639326780093292,-0.0024498267294932874,44,0,0.29999999999999993,-0.035990188276101565,-0.017492640273370386,0.04976702017719914,negative option leg,drawdown cushion with visible return cost,continuous_30d_daily_mtm
mny_daily_0004,159915,159915_DTE30_ATM_Q40_Hold,surface,main_stepA_common_sample,2022-09-30,2026-05-27,881,ATM,0.0,0.4,Q40,0.1392835376246957,0.1579125825382635,0.23511001570546097,0.6716540002110835,1.1895351178211868,0.40636148906717523,0.342757720335233,0.4772727272727273,-0.13970642051605775,0.2619880576197626,-0.06356808787934846,-0.43563284450921985,1.41013284450922,0.6136363636363636,0.5454545454545454,0.026049586776859503,0.10069565217391323,0.2537142857142857,30.34090909090909,-0.001639326780093292,-0.0024498267294932874,44,0,0.39999999999999997,-0.04894022618104921,-0.02881161503613039,0.06599277237269074,negative option leg,drawdown cushion with visible return cost,continuous_30d_daily_mtm
mny_daily_0005,159915,159915_DTE30_ATM_Q50_Hold,surface,main_stepA_common_sample,2022-09-30,2026-05-27,881,ATM,0.0,0.5,Q50,0.12588176451871247,0.1420025014525507,0.21658139806783955,0.6556541915389771,1.1334610779874397,0.3859295359575993,0.32617810452461105,0.4772727272727273,-0.13257065478611496,0.22010832978982364,-0.07946010984918557,-0.43563284450922,1.41013284450922,0.6136363636363636,0.5454545454545454,0.03256198347107438,0.12586956521739154,0.31714285714285717,30.34090909090909,-0.001639326780093292,-0.0024498267294932874,44,0,0.5,-0.062341999287032435,-0.044811423708236764,0.0825723881833127,negative option leg,drawdown cushion with visible return cost,continuous_30d_daily_mtm
mny_daily_0006,159915,159915_DTE30_ATM_Q60_Hold,surface,main_stepA_common_sample,2022-09-30,2026-05-27,881,ATM,0.0,0.6,Q60,0.11204341822959818,0.12609242036684004,0.19916601150873128,0.6331021011650488,1.0639721808928206,0.3623203116418197,0.3092385787644203,0.4772727272727273,-0.12538461002039436,0.1790774975318008,-0.09535213181902268,-0.43563284450922,1.41013284450922,0.6136363636363636,0.5454545454545454,0.03907438016528925,0.15104347826086983,0.3805714285714286,30.34090909090909,-0.001639326780093292,-0.0024498267294932874,44,0,0.5999999999999999,-0.07618034557614672,-0.06736351408216501,0.09951191394350345,negative option leg,drawdown cushion with visible return cost,continuous_30d_daily_mtm
mny_daily_0007,159915,159915_DTE30_ATM_Q70_Hold,surface,main_stepA_common_sample,2022-09-30,2026-05-27,881,ATM,0.0,0.7,Q70,0.09778378654221109,0.11018233928112776,0.18318164192639586,0.6014922572066478,0.9787156433248616,0.33495278944482637,0.2919330413825919,0.4772727272727273,-0.1181479965359693,0.13888803490341095,-0.11124415378885978,-0.4356328445092199,1.4101328445092198,0.6136363636363636,0.5454545454545454,0.04558677685950412,0.17621739130434816,0.444,30.34090909090909,-0.001639326780093292,-0.0024498267294932874,44,0,0.7000000000000001,-0.09043997726353381,-0.09897335804056606,0.11681745132533183,negative option leg,drawdown cushion with visible return cost,continuous_30d_daily_mtm
mny_daily_0008,159915,159915_DTE30_ATM_Q80_Hold,surface,main_stepA_common_sample,2022-09-30,2026-05-27,881,ATM,0.0,0.8,Q80,0.08311827114885251,0.0942722581954156,0.16903474017101552,0.5577093685004553,0.8760040553212028,0.30306892933855656,0.27425533633638033,0.5227272727272727,-0.1108605233953367,0.1070894125609263,-0.12713617575869693,-0.43563284450921985,1.41013284450922,0.6136363636363636,0.5454545454545454,0.05209917355371901,0.20139130434782646,0.5074285714285715,30.34090909090909,-0.001639326780093292,-0.0024498267294932874,44,0,0.7999999999999999,-0.1051054926568924,-0.14275624674675857,0.1344951563715434,negative option leg,drawdown cushion with visible return cost,continuous_30d_daily_mtm
mny_daily_0009,159915,159915_DTE30_ATM_Q90_Hold,surface,main_stepA_common_sample,2022-09-30,2026-05-27,881,ATM,0.0,0.9,Q90,0.06806237482260569,0.07836217710970377,0.1572220992029852,0.498417064184676,0.7554569311557114,0.26566187721735196,0.25619925423819945,0.5454545454545454,-0.10352189840338688,0.10188604304794668,-0.14302819772853406,-0.4356328445092199,1.4101328445092196,0.6136363636363636,0.5454545454545454,0.05861157024793388,0.22656521739130478,0.570857142857143,30.34090909090909,-0.001639326780093292,-0.0024498267294932874,44,0,0.9000000000000002,-0.12016138898313922,-0.20204855106253783,0.1525512384697243,negative option leg,drawdown cushion with visible return cost,continuous_30d_daily_mtm
