etf_code,sleeve_name,parameter_grid_role,sample_scope,sample_start,sample_end,n_trading_days,delta_label,target_delta,coverage,coverage_label,cumulative_return,annualized_return_cagr,arithmetic_annualized_return,annualized_volatility,sharpe_daily_mean,cagr_vol_ratio,sortino_ratio,calmar_ratio,max_drawdown,max_drawdown_start,max_drawdown_trough,max_drawdown_recovery,drawdown_duration,monthly_win_rate,worst_month_return,best_month_return,option_leg_annualized_pnl_contribution,premium_capture_ratio_agg,payoff_burden_agg,positive_option_leg_period_rate,assignment_rate,p95_short_call_mtm_loss,p99_short_call_mtm_loss,max_short_call_mtm_loss,avg_actual_dte,avg_selected_delta,median_selected_delta,avg_realized_moneyness,median_realized_moneyness,selected_periods,skipped_periods,avg_active_coverage,source_engine,annualized_return_cagr_vs_buyhold,sharpe_diff_vs_buyhold,mdd_improvement_vs_buyhold,target_delta_scope,selection_policy,portfolio_role,eligible_delta_grid,eligible_coverage_grid,eligible_target_delta_surface
159915,159915_ETF_BuyHold,buyhold,main_stepA_common_sample,2022-09-30,2026-05-27,881,BuyHold,,0.0,Q0,0.8262044124268293,0.1882237638057449,0.22155290688111068,0.31629376525915337,0.7004656152472138,0.5950916030593424,1.3216530708175265,0.46048571723739024,0.40875049270792374,2023-02-01,2024-08-27,2024-10-08,406,0.4772727272727273,-0.16775244299674286,0.438144329896907,0.0,,,,,0.0,0.0,0.0,,,,,,0,0,0.0,continuous_30d_daily_mtm_target_delta,0.0,0.0,0.0,core_target_delta_candidate,full_target_delta_surface,portfolio_candidate,D10;D20;D30;D40;D50,Q10;Q20;Q30;Q40;Q50;Q60;Q70;Q80;Q90;Q100,False
159915,159915_DTE30_D10_Q10_Hold,target_delta_surface,main_stepA_common_sample,2022-09-30,2026-05-27,881,D10,0.1,0.1,Q10,0.7865639692130764,0.18077990743720607,0.211705612196996,0.3040921191125564,0.6961890785424645,0.5944906035867781,1.3042656237723398,0.44617601883203567,0.40517620805895715,2023-02-01,2024-08-27,2024-10-08,406,0.4772727272727273,-0.1664344033241093,0.4036801557314764,-0.009836117278117111,-1.784737743349102,2.759237743349102,0.8636363636363636,0.13636363636363635,0.0015070746956235604,0.0181813664596274,0.05595031055900621,30.34090909090909,0.11190200961423334,0.104402891121898,0.10809803083151688,0.09834036396433632,44,0,0.09999999999999999,continuous_30d_daily_mtm_target_delta,-0.007443856368538837,-0.004276536704749367,0.003574284648966586,core_target_delta_candidate,full_target_delta_surface,portfolio_candidate,D10;D20;D30;D40;D50,Q10;Q20;Q30;Q40;Q50;Q60;Q70;Q80;Q90;Q100,True
159915,159915_DTE30_D10_Q20_Hold,target_delta_surface,main_stepA_common_sample,2022-09-30,2026-05-27,881,D10,0.1,0.2,Q20,0.7459921482971865,0.17303807609187194,0.20185831751288172,0.2924954603515099,0.6901246168754076,0.5915923477373678,1.2828657896529088,0.43088922662522916,0.40158366791187794,2023-02-01,2024-08-27,2025-08-22,622,0.4772727272727273,-0.1651147122336627,0.36959494746309773,-0.019672234556234222,-1.784737743349102,2.759237743349102,0.8636363636363636,0.13636363636363635,0.003014149391247121,0.0363627329192548,0.11190062111801242,30.34090909090909,0.11190200961423334,0.104402891121898,0.10809803083151688,0.09834036396433632,44,0,0.19999999999999998,continuous_30d_daily_mtm_target_delta,-0.015185687713872964,-0.010340998371806243,0.007166824796045801,core_target_delta_candidate,full_target_delta_surface,portfolio_candidate,D10;D20;D30;D40;D50,Q10;Q20;Q30;Q40;Q50;Q60;Q70;Q80;Q90;Q100,True
159915,159915_DTE30_D10_Q30_Hold,target_delta_surface,main_stepA_common_sample,2022-09-30,2026-05-27,881,D10,0.1,0.3,Q30,0.7045847707185584,0.16500327355425415,0.19201102282876634,0.2815785471257391,0.6819092746544491,0.585993767062701,1.256714625328737,0.4142232310434062,0.39834384261505495,2023-02-01,2024-02-02,2025-08-22,622,0.4772727272727273,-0.16379336804703903,0.33588756444272905,-0.02950835183435133,-1.784737743349102,2.7592377433491024,0.8636363636363636,0.13636363636363635,0.004521224086870681,0.054544099378882195,0.16785093167701862,30.34090909090909,0.11190200961423334,0.104402891121898,0.10809803083151688,0.09834036396433632,44,0,0.29999999999999993,continuous_30d_daily_mtm_target_delta,-0.023220490251490755,-0.018556340592764786,0.010406650092868786,core_target_delta_candidate,full_target_delta_surface,portfolio_candidate,D10;D20;D30;D40;D50,Q10;Q20;Q30;Q40;Q50;Q60;Q70;Q80;Q90;Q100,True
159915,159915_DTE30_D10_Q40_Hold,target_delta_surface,main_stepA_common_sample,2022-09-30,2026-05-27,881,D10,0.1,0.4,Q40,0.662436210434957,0.15668029750852397,0.18216372814465095,0.2714234119083433,0.6711422823251726,0.5772541742325205,1.2251795133372372,0.39574682491900426,0.3959104347598772,2023-02-01,2024-02-02,2025-08-25,623,0.4772727272727273,-0.16247036908448842,0.30255686387190184,-0.039344469112468444,-1.784737743349102,2.759237743349102,0.8636363636363636,0.13636363636363635,0.006028298782494242,0.0727254658385096,0.22380124223602485,30.34090909090909,0.11190200961423334,0.104402891121898,0.10809803083151688,0.09834036396433632,44,0,0.39999999999999997,continuous_30d_daily_mtm_target_delta,-0.031543466297220935,-0.029323332922041256,0.012840057948046546,core_target_delta_candidate,full_target_delta_surface,portfolio_candidate,D10;D20;D30;D40;D50,Q10;Q20;Q30;Q40;Q50;Q60;Q70;Q80;Q90;Q100,True
159915,159915_DTE30_D10_Q50_Hold,target_delta_surface,main_stepA_common_sample,2022-09-30,2026-05-27,881,D10,0.1,0.5,Q50,0.619639280297066,0.14807374735526913,0.17231643346053638,0.2621186092550741,0.6573987018710717,0.5649112353223839,1.1877705901200946,0.376328700447297,0.3934691857922915,2023-02-01,2024-02-02,2025-08-28,626,0.4772727272727273,-0.1611457136648743,0.2696017008017708,-0.049180586390585555,-1.7847377433491018,2.759237743349102,0.8636363636363636,0.13636363636363635,0.007535373478117802,0.090906832298137,0.27975155279503106,30.34090909090909,0.11190200961423334,0.104402891121898,0.10809803083151688,0.09834036396433632,44,0,0.5,continuous_30d_daily_mtm_target_delta,-0.04015001645047578,-0.0430669133761421,0.015281306915632231,core_target_delta_candidate,full_target_delta_surface,portfolio_candidate,D10;D20;D30;D40;D50,Q10;Q20;Q30;Q40;Q50;Q60;Q70;Q80;Q90;Q100,True
159915,159915_DTE30_D10_Q60_Hold,target_delta_surface,main_stepA_common_sample,2022-09-30,2026-05-27,881,D10,0.1,0.6,Q60,0.5762851226455155,0.13918803085170017,0.16246913877642186,0.2537576965512297,0.6402530484178709,0.5485076225997357,1.1441415589267316,0.3559613365855155,0.3910200815257977,2023-02-01,2024-02-02,2025-08-29,627,0.4772727272727273,-0.15981940010567441,0.23702092813217268,-0.05901670366870266,-1.784737743349102,2.7592377433491024,0.8636363636363636,0.13636363636363635,0.009042448173741361,0.10908819875776439,0.33570186335403723,30.34090909090909,0.11190200961423334,0.104402891121898,0.10809803083151688,0.09834036396433632,44,0,0.5999999999999999,continuous_30d_daily_mtm_target_delta,-0.04903573295404473,-0.06021256682934295,0.017730411182126038,core_target_delta_candidate,full_target_delta_surface,portfolio_candidate,D10;D20;D30;D40;D50,Q10;Q20;Q30;Q40;Q50;Q60;Q70;Q80;Q90;Q100,True
159915,159915_DTE30_D10_Q70_Hold,target_delta_surface,main_stepA_common_sample,2022-09-30,2026-05-27,881,D10,0.1,0.7,Q70,0.5324631046433164,0.13002736963181194,0.15262184409230642,0.24643676319794808,0.6193144322777617,0.5276297576079128,1.0940794068524817,0.334636425888177,0.38856310781678693,2023-02-01,2024-02-02,2025-09-01,628,0.4772727272727273,-0.15849142672297856,0.20481339661067066,-0.06885282094681978,-1.7847377433491012,2.7592377433491015,0.8636363636363636,0.13636363636363635,0.010549522869364922,0.12726956521739177,0.39165217391304347,30.34090909090909,0.11190200961423334,0.104402891121898,0.10809803083151688,0.09834036396433632,44,0,0.7000000000000001,continuous_30d_daily_mtm_target_delta,-0.058196394173932964,-0.08115118296945212,0.020187384891136806,core_target_delta_candidate,full_target_delta_surface,portfolio_candidate,D10;D20;D30;D40;D50,Q10;Q20;Q30;Q40;Q50;Q60;Q70;Q80;Q90;Q100,True
159915,159915_DTE30_D10_Q80_Hold,target_delta_surface,main_stepA_common_sample,2022-09-30,2026-05-27,881,D10,0.1,0.8,Q80,0.4882607184470764,0.12059580365017153,0.142774549408192,0.24025089886887194,0.5942726960872593,0.5019577625638448,1.0376674203984202,0.3123448590447193,0.3860982505651085,2023-02-01,2024-02-02,2025-09-11,636,0.4772727272727273,-0.15716179183148749,0.1729779548316206,-0.07868893822493689,-1.784737743349102,2.759237743349102,0.8636363636363636,0.13636363636363635,0.012056597564988484,0.1454509316770192,0.4476024844720497,30.34090909090909,0.11190200961423334,0.104402891121898,0.10809803083151688,0.09834036396433632,44,0,0.7999999999999999,continuous_30d_daily_mtm_target_delta,-0.06762796015557337,-0.10619291915995455,0.02265224214281525,core_target_delta_candidate,full_target_delta_surface,portfolio_candidate,D10;D20;D30;D40;D50,Q10;Q20;Q30;Q40;Q50;Q60;Q70;Q80;Q90;Q100,True
159915,159915_DTE30_D10_Q90_Hold,target_delta_surface,main_stepA_common_sample,2022-09-30,2026-05-27,881,D10,0.1,0.9,Q90,0.4437634863105162,0.11089719458073644,0.1329272547240768,0.23528964493671228,0.5649515717524726,0.4713220363376609,0.9751855879252687,0.2890767058486179,0.3836254957146581,2023-02-01,2024-02-02,2025-09-19,642,0.5,-0.15583049374451274,0.14598584974851714,-0.08852505550305402,-1.784737743349102,2.759237743349102,0.8636363636363636,0.13636363636363635,0.013563672260612045,0.1636322981366466,0.5035527950310559,30.34090909090909,0.11190200961423334,0.104402891121898,0.10809803083151688,0.09834036396433632,44,0,0.9000000000000002,continuous_30d_daily_mtm_target_delta,-0.07732656922500847,-0.13551404349474128,0.025124996993265647,core_target_delta_candidate,full_target_delta_surface,portfolio_candidate,D10;D20;D30;D40;D50,Q10;Q20;Q30;Q40;Q50;Q60;Q70;Q80;Q90;Q100,True
