portfolio_name,universe_name,portfolio_type,weight_scheme,etf_code,sleeve_key,weight,option_leg_annualized_pnl_contribution,contribution_share_of_portfolio_option_leg,attribution_method
B_Pure_ETF_70_20_10,Alternative Defensive-Income Universe,Pure_ETF,70_20_10,510050,510050__510050_ETF_BuyHold,0.2,0.0,,daily_weighted_option_leg_return
B_Pure_ETF_70_20_10,Alternative Defensive-Income Universe,Pure_ETF,70_20_10,159915,159915__159915_ETF_BuyHold,0.1,0.0,,daily_weighted_option_leg_return
B_Selected_70_20_10,Alternative Defensive-Income Universe,Selected,70_20_10,PORTFOLIO,PORTFOLIO_TOTAL,1.0,-0.0017129245250173176,1.0,daily_weighted_option_leg_return
B_Selected_70_20_10,Alternative Defensive-Income Universe,Selected,70_20_10,510300,510300__510300_DTE30_D40_Q70_Hold,0.7,0.0017801413154930146,-1.0392409528230775,daily_weighted_option_leg_return
B_Selected_70_20_10,Alternative Defensive-Income Universe,Selected,70_20_10,510050,510050__510050_DTE30_D40_Q70_Hold,0.2,0.002036922816523123,-1.1891491929584754,daily_weighted_option_leg_return
B_Selected_70_20_10,Alternative Defensive-Income Universe,Selected,70_20_10,159915,159915__159915_DTE30_OTM5up_Q50_Hold,0.1,-0.005529988657033455,3.2283901457815527,daily_weighted_option_leg_return
B_Pure_ETF_40_40_20,Alternative Defensive-Income Universe,Pure_ETF,40_40_20,PORTFOLIO,PORTFOLIO_TOTAL,1.0,0.0,,daily_weighted_option_leg_return
B_Pure_ETF_40_40_20,Alternative Defensive-Income Universe,Pure_ETF,40_40_20,510300,510300__510300_ETF_BuyHold,0.4,0.0,,daily_weighted_option_leg_return
B_Pure_ETF_40_40_20,Alternative Defensive-Income Universe,Pure_ETF,40_40_20,510050,510050__510050_ETF_BuyHold,0.4,0.0,,daily_weighted_option_leg_return
B_Pure_ETF_40_40_20,Alternative Defensive-Income Universe,Pure_ETF,40_40_20,159915,159915__159915_ETF_BuyHold,0.2,0.0,,daily_weighted_option_leg_return
B_Selected_40_40_20,Alternative Defensive-Income Universe,Selected,40_40_20,PORTFOLIO,PORTFOLIO_TOTAL,1.0,-0.0059689080721675135,1.0,daily_weighted_option_leg_return
B_Selected_40_40_20,Alternative Defensive-Income Universe,Selected,40_40_20,510300,510300__510300_DTE30_D40_Q70_Hold,0.4,0.0010172236088531587,-0.17042038452499908,daily_weighted_option_leg_return
B_Selected_40_40_20,Alternative Defensive-Income Universe,Selected,40_40_20,510050,510050__510050_DTE30_D40_Q70_Hold,0.4,0.004073845633046246,-0.6825110361545398,daily_weighted_option_leg_return
B_Selected_40_40_20,Alternative Defensive-Income Universe,Selected,40_40_20,159915,159915__159915_DTE30_OTM5up_Q50_Hold,0.2,-0.01105997731406691,1.8529314206795375,daily_weighted_option_leg_return
