strategy_name,universe_short,method,lookback,etf_code,sleeve_key,avg_target_weight,asset_vol_annualized,covariance_contribution,risk_contribution_to_variance,risk_contribution_method
B_rolling_min_variance_L126,B,rolling_min_variance,126,510050,510050__510050_DTE30_D40_Q70_Hold,0.5477088948787063,0.1124225041827138,2.7748257064281915e-05,0.5048336772281095,ex_post_average_weight_covariance
B_rolling_min_variance_L126,B,rolling_min_variance,126,159915,159915__159915_DTE30_OTM5up_Q50_Hold,0.05242587601078172,0.2554613179224309,5.068108164786188e-06,0.09220585190239688,ex_post_average_weight_covariance
B_anchored_inverse_vol_L252,B,anchored_inverse_vol,252,510300,510300__510300_DTE30_D40_Q70_Hold,0.7000000000000001,0.12571361341118853,4.669806446235386e-05,0.6475501281447849,ex_post_average_weight_covariance
B_anchored_inverse_vol_L252,B,anchored_inverse_vol,252,510050,510050__510050_DTE30_D40_Q70_Hold,0.1758036055724452,0.11278378116007469,9.361944142877932e-06,0.1298196873725277,ex_post_average_weight_covariance
B_anchored_inverse_vol_L252,B,anchored_inverse_vol,252,159915,159915__159915_DTE30_OTM5up_Q50_Hold,0.12419639442755484,0.26838535269008545,1.605497127461575e-05,0.22263018448268743,ex_post_average_weight_covariance
B_pure_inverse_vol_L252,B,pure_inverse_vol,252,510300,510300__510300_DTE30_D40_Q70_Hold,0.39370337531563276,0.12571361341118853,2.64304656745507e-05,0.3511471253701681,ex_post_average_weight_covariance
B_pure_inverse_vol_L252,B,pure_inverse_vol,252,510050,510050__510050_DTE30_D40_Q70_Hold,0.4118787497972257,0.11278378116007469,2.293176709833119e-05,0.3046644805804801,ex_post_average_weight_covariance
B_pure_inverse_vol_L252,B,pure_inverse_vol,252,159915,159915__159915_DTE30_OTM5up_Q50_Hold,0.1944178748871415,0.26838535269008545,2.5906689467869897e-05,0.34418839404935186,ex_post_average_weight_covariance
B_rolling_min_variance_L252,B,rolling_min_variance,252,510300,510300__510300_DTE30_D40_Q70_Hold,0.4029951690821256,0.12571361341118853,2.3339898759331225e-05,0.41184571033440937,ex_post_average_weight_covariance
B_rolling_min_variance_L252,B,rolling_min_variance,252,510050,510050__510050_DTE30_D40_Q70_Hold,0.5470048309178744,0.11278378116007469,2.814162113957606e-05,0.49657481669910336,ex_post_average_weight_covariance
B_rolling_min_variance_L252,B,rolling_min_variance,252,159915,159915__159915_DTE30_OTM5up_Q50_Hold,0.050000000000000044,0.26838535269008545,5.189942674734085e-06,0.09157947296648727,ex_post_average_weight_covariance
