etf_code,strategy_name,strategy_label,parameter_role,target_delta,coverage,window_cycles,window_start,window_end,net_option_yield_non_compound,gross_premium_yield_non_compound,covered_call_return_non_compound,relative_to_buyhold_return_non_compound,net_option_pnl_cash,upside_cap_pnl_cash,cash_target_02_met,cash_target_04_met,cash_target_06_met
510050,ATM_Q100,ATM / Q100,static_atm_coverage,,1.0,12,2022-09-30,2023-09-27,0.03002916085928445,0.25727434074594396,0.024204831490500452,0.03002916085928445,3.002916085928445,11.690679250992998,True,False,False
510050,ATM_Q100,ATM / Q100,static_atm_coverage,,1.0,12,2022-10-26,2023-10-25,0.03159088021702147,0.2588769260283832,0.05047367776473735,0.03159088021702147,3.1590880217021446,11.690679250992998,True,False,False
510050,ATM_Q100,ATM / Q100,static_atm_coverage,,1.0,12,2022-11-23,2023-11-22,0.073086217915624,0.25762288992036664,0.04027184672407837,0.073086217915624,7.3086217915624,8.71919708617135,True,True,True
510050,ATM_Q100,ATM / Q100,static_atm_coverage,,1.0,12,2022-12-28,2023-12-27,0.09697116709307267,0.24825936035606153,-0.03297443118706954,0.09697116709307269,9.697116709307268,7.6321388337441665,True,True,True
510050,ATM_Q100,ATM / Q100,static_atm_coverage,,1.0,12,2023-01-30,2024-01-24,0.16976453066091918,0.24586908407194336,-0.0387220904270365,0.16976453066091918,16.976453066091917,2.253543137254914,True,True,True
510050,ATM_Q100,ATM / Q100,static_atm_coverage,,1.0,12,2023-02-22,2024-02-28,0.11605743434382279,0.24620095146263432,-0.01024601044330941,0.11605743434382279,11.605743434382276,5.784024618736401,True,True,True
510050,ATM_Q100,ATM / Q100,static_atm_coverage,,1.0,12,2023-03-22,2024-03-27,0.10808584708577275,0.24733416883842593,0.028378156468652025,0.10808584708577275,10.808584708577275,5.784024618736401,True,True,True
510050,ATM_Q100,ATM / Q100,static_atm_coverage,,1.0,12,2023-04-26,2024-04-24,0.09705658539505192,0.23896869399206142,0.04114398265100176,0.09705658539505192,9.705658539505194,5.784024618736401,True,True,True
510050,ATM_Q100,ATM / Q100,static_atm_coverage,,1.0,12,2023-05-24,2024-05-22,0.045745081549527465,0.23350901430557763,0.049011177159433615,0.045745081549527465,4.5745081549527455,8.637992872704656,True,True,False
510050,ATM_Q100,ATM / Q100,static_atm_coverage,,1.0,12,2023-06-28,2024-06-26,0.04047466600192465,0.22810068639628792,0.006617592595603097,0.04047466600192465,4.047466600192465,8.637992872704656,True,True,False
