method,lookback,A_strategy_name,B_strategy_name,A_sharpe,B_sharpe,delta_B_minus_A_sharpe,A_cagr,B_cagr,delta_B_minus_A_cagr,A_mdd,B_mdd,delta_B_minus_A_mdd,A_final_nav,B_final_nav,delta_B_minus_A_final_nav
anchored_inverse_vol,126,A_anchored_inverse_vol_L126,B_anchored_inverse_vol_L126,0.7113451968600698,0.7143936456478901,0.0030484487878202904,0.10226966469641052,0.08808195789147244,-0.014187706804938083,0.20846696682794763,0.1787332326315808,-0.029733734196366823,1.3301822536515429,1.2811533203536642,-0.04902893329787861
anchored_inverse_vol,252,A_anchored_inverse_vol_L252,B_anchored_inverse_vol_L252,0.9997042078678298,1.00546504788251,0.005760840014680246,0.1595600120480818,0.1346260085340396,-0.02493400351404218,0.14673138508534667,0.1188049613381631,-0.02792642374718357,1.4382853579549113,1.364875689421475,-0.07340966853343622
pure_inverse_vol,126,A_pure_inverse_vol_L126,B_pure_inverse_vol_L126,0.7151060410890623,0.7025309983986983,-0.012575042690364024,0.1144933560924164,0.0880947826664622,-0.026398573425954197,0.22865981274310287,0.18231214946649876,-0.04634766327660411,1.3722691918996743,1.2804843432154276,-0.09178484868424674
pure_inverse_vol,252,A_pure_inverse_vol_L252,B_pure_inverse_vol_L252,1.006778448618087,1.0027616609671814,-0.004016787650905629,0.18131794521958056,0.13680290454525745,-0.0445150406743231,0.16354696137001323,0.12310865100105783,-0.0404383103689554,1.5049059444565431,1.3717219475930842,-0.13318399686345894
rolling_min_variance,126,A_rolling_min_variance_L126,B_rolling_min_variance_L126,0.7141605074415582,0.6277707813556804,-0.0863897260858778,0.10031685455720885,0.06818912725002724,-0.03212772730718161,0.19560708329102272,0.16039153755478486,-0.03521554573623786,1.3247910616041987,1.215033137814477,-0.10975792378972171
rolling_min_variance,252,A_rolling_min_variance_L252,B_rolling_min_variance_L252,0.9634857115211206,0.8958295165961592,-0.06765619492496144,0.1484756838200212,0.10405568987267322,-0.04441999394734797,0.1352039903097345,0.10497458345123911,-0.0302294068584954,1.405230447010471,1.2769653653475592,-0.12826508166291184
