option_code,underlying_etf,option_type,strike,expiry
90001219.SZ,159915,C,2.1,2022-10-26
90001220.SZ,159915,C,2.15,2022-10-26
90001221.SZ,159915,C,2.2,2022-10-26
90001222.SZ,159915,C,2.25,2022-10-26
90001223.SZ,159915,C,2.3,2022-10-26
90001224.SZ,159915,C,2.35,2022-10-26
90001225.SZ,159915,C,2.4,2022-10-26
90001226.SZ,159915,C,2.45,2022-10-26
90001227.SZ,159915,C,2.5,2022-10-26
90001228.SZ,159915,P,2.1,2022-10-26
90001229.SZ,159915,P,2.15,2022-10-26
90001230.SZ,159915,P,2.2,2022-10-26
90001231.SZ,159915,P,2.25,2022-10-26
90001232.SZ,159915,P,2.3,2022-10-26
90001233.SZ,159915,P,2.35,2022-10-26
90001234.SZ,159915,P,2.4,2022-10-26
90001235.SZ,159915,P,2.45,2022-10-26
90001236.SZ,159915,P,2.5,2022-10-26
90001237.SZ,159915,C,2.1,2022-11-23
90001238.SZ,159915,C,2.15,2022-11-23
90001239.SZ,159915,C,2.2,2022-11-23
90001240.SZ,159915,C,2.25,2022-11-23
90001241.SZ,159915,C,2.3,2022-11-23
90001242.SZ,159915,C,2.35,2022-11-23
90001243.SZ,159915,C,2.4,2022-11-23
90001244.SZ,159915,C,2.45,2022-11-23
90001245.SZ,159915,C,2.5,2022-11-23
90001246.SZ,159915,P,2.1,2022-11-23
90001247.SZ,159915,P,2.15,2022-11-23
90001248.SZ,159915,P,2.2,2022-11-23
90001249.SZ,159915,P,2.25,2022-11-23
90001250.SZ,159915,P,2.3,2022-11-23
90001251.SZ,159915,P,2.35,2022-11-23
90001252.SZ,159915,P,2.4,2022-11-23
90001253.SZ,159915,P,2.45,2022-11-23
90001254.SZ,159915,P,2.5,2022-11-23
90001255.SZ,159915,C,2.1,2022-12-28
90001256.SZ,159915,C,2.15,2022-12-28
90001257.SZ,159915,C,2.2,2022-12-28
90001258.SZ,159915,C,2.25,2022-12-28
90001259.SZ,159915,C,2.3,2022-12-28
90001260.SZ,159915,C,2.35,2022-12-28
90001261.SZ,159915,C,2.4,2022-12-28
90001262.SZ,159915,C,2.45,2022-12-28
90001263.SZ,159915,C,2.5,2022-12-28
90001264.SZ,159915,P,2.1,2022-12-28
90001265.SZ,159915,P,2.15,2022-12-28
90001266.SZ,159915,P,2.2,2022-12-28
90001267.SZ,159915,P,2.25,2022-12-28
90001268.SZ,159915,P,2.3,2022-12-28
90001269.SZ,159915,P,2.35,2022-12-28
90001270.SZ,159915,P,2.4,2022-12-28
90001271.SZ,159915,P,2.45,2022-12-28
90001272.SZ,159915,P,2.5,2022-12-28
90001273.SZ,159915,C,2.1,2023-03-22
90001274.SZ,159915,C,2.15,2023-03-22
90001275.SZ,159915,C,2.2,2023-03-22
90001276.SZ,159915,C,2.25,2023-03-22
90001277.SZ,159915,C,2.3,2023-03-22
90001278.SZ,159915,C,2.35,2023-03-22
90001279.SZ,159915,C,2.4,2023-03-22
90001280.SZ,159915,C,2.45,2023-03-22
90001281.SZ,159915,C,2.5,2023-03-22
90001282.SZ,159915,P,2.1,2023-03-22
90001283.SZ,159915,P,2.15,2023-03-22
90001284.SZ,159915,P,2.2,2023-03-22
90001285.SZ,159915,P,2.25,2023-03-22
90001286.SZ,159915,P,2.3,2023-03-22
90001287.SZ,159915,P,2.35,2023-03-22
90001288.SZ,159915,P,2.4,2023-03-22
90001289.SZ,159915,P,2.45,2023-03-22
90001290.SZ,159915,P,2.5,2023-03-22
90001367.SZ,159915,C,2.05,2022-10-26
90001368.SZ,159915,P,2.05,2022-10-26
90001369.SZ,159915,C,2.05,2022-11-23
90001370.SZ,159915,P,2.05,2022-11-23
90001371.SZ,159915,C,2.05,2022-12-28
90001372.SZ,159915,P,2.05,2022-12-28
90001373.SZ,159915,C,2.05,2023-03-22
90001374.SZ,159915,P,2.05,2023-03-22
90001397.SZ,159915,C,2.0,2022-10-26
90001398.SZ,159915,P,2.0,2022-10-26
90001399.SZ,159915,C,2.0,2022-11-23
90001400.SZ,159915,P,2.0,2022-11-23
90001401.SZ,159915,C,2.0,2022-12-28
90001402.SZ,159915,P,2.0,2022-12-28
90001403.SZ,159915,C,2.0,2023-03-22
90001404.SZ,159915,P,2.0,2023-03-22
90001413.SZ,159915,C,1.95,2022-10-26
90001414.SZ,159915,P,1.95,2022-10-26
90001415.SZ,159915,C,1.95,2022-11-23
90001416.SZ,159915,P,1.95,2022-11-23
90001417.SZ,159915,C,1.95,2022-12-28
90001418.SZ,159915,P,1.95,2022-12-28
90001419.SZ,159915,C,1.95,2023-03-22
90001420.SZ,159915,P,1.95,2023-03-22
90001429.SZ,159915,C,2.55,2022-10-26
90001430.SZ,159915,P,2.55,2022-10-26
90001431.SZ,159915,C,2.55,2022-11-23
90001432.SZ,159915,P,2.55,2022-11-23
90001433.SZ,159915,C,2.55,2022-12-28
90001434.SZ,159915,P,2.55,2022-12-28
90001435.SZ,159915,C,2.55,2023-03-22
90001436.SZ,159915,P,2.55,2023-03-22
90001453.SZ,159915,C,2.1,2023-06-28
90001454.SZ,159915,C,2.15,2023-06-28
90001455.SZ,159915,C,2.2,2023-06-28
90001456.SZ,159915,C,2.25,2023-06-28
90001457.SZ,159915,C,2.3,2023-06-28
