option_code,trade_date,close,volume,amount,open_interest
90001219.SZ,2022-09-19,0.1939,878.0,173.3131,374.0
90001220.SZ,2022-09-19,0.153,1320.0,204.91,465.0
90001221.SZ,2022-09-19,0.1185,3159.0,379.5807,1335.0
90001222.SZ,2022-09-19,0.0883,10843.0,974.8236,3504.0
90001223.SZ,2022-09-19,0.0621,33662.0,2199.1365,12347.0
90001224.SZ,2022-09-19,0.0425,17779.0,802.3584,8326.0
90001225.SZ,2022-09-19,0.0278,8145.0,247.8065,3495.0
90001226.SZ,2022-09-19,0.0176,8483.0,162.7514,4407.0
90001227.SZ,2022-09-19,0.0112,13170.0,159.5726,7228.0
90001228.SZ,2022-09-19,0.0214,18801.0,350.1272,6798.0
90001229.SZ,2022-09-19,0.0315,9526.0,271.4106,4646.0
90001230.SZ,2022-09-19,0.0454,20469.0,880.2,6637.0
90001231.SZ,2022-09-19,0.0655,23863.0,1466.8304,6810.0
90001232.SZ,2022-09-19,0.0899,24880.0,2112.5578,6820.0
90001233.SZ,2022-09-19,0.1192,10015.0,1166.0413,2475.0
90001234.SZ,2022-09-19,0.1551,3769.0,566.4607,1572.0
90001235.SZ,2022-09-19,0.196,1378.0,264.3959,474.0
90001236.SZ,2022-09-19,0.2394,1200.0,277.1087,467.0
90001237.SZ,2022-09-19,0.2009,348.0,73.1412,310.0
90001238.SZ,2022-09-19,0.1699,158.0,27.284,145.0
90001239.SZ,2022-09-19,0.1322,137.0,18.8412,104.0
90001240.SZ,2022-09-19,0.1059,515.0,56.497,417.0
90001241.SZ,2022-09-19,0.082,1780.0,150.4998,1142.0
90001242.SZ,2022-09-19,0.0632,1199.0,79.3125,1013.0
90001243.SZ,2022-09-19,0.0475,500.0,24.8862,401.0
90001244.SZ,2022-09-19,0.0348,421.0,15.4298,331.0
90001245.SZ,2022-09-19,0.0257,978.0,25.0886,709.0
90001246.SZ,2022-09-19,0.0424,5012.0,197.9922,2868.0
90001247.SZ,2022-09-19,0.0571,500.0,26.1716,403.0
90001248.SZ,2022-09-19,0.0747,982.0,66.6766,804.0
90001249.SZ,2022-09-19,0.0973,1696.0,159.9638,1059.0
90001250.SZ,2022-09-19,0.1215,1213.0,136.6981,781.0
90001251.SZ,2022-09-19,0.1499,95.0,13.9135,80.0
90001252.SZ,2022-09-19,0.1881,97.0,16.7939,63.0
90001253.SZ,2022-09-19,0.2203,42.0,9.0569,42.0
90001254.SZ,2022-09-19,0.2602,43.0,10.9662,42.0
90001255.SZ,2022-09-19,0.2109,575.0,125.8609,575.0
90001256.SZ,2022-09-19,0.1808,55.0,10.1578,55.0
90001257.SZ,2022-09-19,0.1522,108.0,16.6674,78.0
90001258.SZ,2022-09-19,0.1265,778.0,99.6791,672.0
90001259.SZ,2022-09-19,0.1034,995.0,104.9538,696.0
90001260.SZ,2022-09-19,0.0839,817.0,72.2332,447.0
90001261.SZ,2022-09-19,0.0672,771.0,53.7202,605.0
90001262.SZ,2022-09-19,0.0535,516.0,28.6019,353.0
90001263.SZ,2022-09-19,0.0427,912.0,40.2333,536.0
90001264.SZ,2022-09-19,0.0664,2086.0,132.55,1617.0
90001265.SZ,2022-09-19,0.0815,769.0,62.1215,605.0
90001266.SZ,2022-09-19,0.1012,1230.0,122.4613,710.0
90001267.SZ,2022-09-19,0.128,1214.0,151.1504,999.0
90001268.SZ,2022-09-19,0.1554,675.0,101.3566,548.0
90001269.SZ,2022-09-19,0.18,86.0,15.2181,68.0
90001270.SZ,2022-09-19,0.223,53.0,10.7601,38.0
90001271.SZ,2022-09-19,0.2263,20.0,4.526,20.0
90001272.SZ,2022-09-19,0.2614,10.0,2.614,10.0
90001273.SZ,2022-09-19,0.243,508.0,121.2624,508.0
90001274.SZ,2022-09-19,0.2077,36.0,7.6582,36.0
90001275.SZ,2022-09-19,0.1803,117.0,22.3992,99.0
90001276.SZ,2022-09-19,0.1608,155.0,25.0277,110.0
90001277.SZ,2022-09-19,0.1404,757.0,106.7805,406.0
90001278.SZ,2022-09-19,0.1193,363.0,44.523,263.0
90001279.SZ,2022-09-19,0.1056,453.0,47.565,357.0
90001280.SZ,2022-09-19,0.0876,470.0,42.5159,358.0
90001281.SZ,2022-09-19,0.075,678.0,51.9476,436.0
90001282.SZ,2022-09-19,0.118,1483.0,167.0993,1101.0
90001283.SZ,2022-09-19,0.1404,720.0,96.8566,633.0
90001284.SZ,2022-09-19,0.1619,605.0,97.01,490.0
90001285.SZ,2022-09-19,0.1913,695.0,127.6529,482.0
90001286.SZ,2022-09-19,0.216,345.0,72.5139,324.0
90001287.SZ,2022-09-19,0.2347,25.0,5.5828,24.0
90001288.SZ,2022-09-19,0.28,72.0,19.5327,72.0
90001289.SZ,2022-09-19,0.3129,17.0,4.8601,17.0
90001290.SZ,2022-09-19,0.3493,24.0,7.7354,23.0
90001219.SZ,2022-09-20,0.2056,625.0,132.3373,469.0
90001220.SZ,2022-09-20,0.1651,933.0,156.4793,569.0
90001221.SZ,2022-09-20,0.1264,8429.0,1113.4841,2171.0
90001222.SZ,2022-09-20,0.0934,17099.0,1675.9699,4973.0
90001223.SZ,2022-09-20,0.0675,38478.0,2736.6579,12687.0
90001224.SZ,2022-09-20,0.0449,22701.0,1113.4745,10720.0
90001225.SZ,2022-09-20,0.029,12642.0,395.7463,5244.0
90001226.SZ,2022-09-20,0.0185,9382.0,192.34,5570.0
90001227.SZ,2022-09-20,0.0118,11285.0,143.8268,6795.0
90001228.SZ,2022-09-20,0.0162,15130.0,238.3657,8002.0
90001229.SZ,2022-09-20,0.0243,8403.0,201.3473,5671.0
90001230.SZ,2022-09-20,0.037,12865.0,459.6226,6303.0
90001231.SZ,2022-09-20,0.0547,25968.0,1354.0036,11377.0
90001232.SZ,2022-09-20,0.0775,33877.0,2513.9168,10095.0
