option_code,underlying_etf,option_type,strike,expiry
90001735.SZ,159922,C,6.0,2023-02-22
90001736.SZ,159922,C,6.25,2023-02-22
90001737.SZ,159922,C,6.5,2023-02-22
90001738.SZ,159922,C,6.75,2023-02-22
90001739.SZ,159922,C,7.0,2023-02-22
90001740.SZ,159922,P,5.0,2023-02-22
90001741.SZ,159922,P,5.25,2023-02-22
90001742.SZ,159922,P,5.5,2023-02-22
90001743.SZ,159922,P,5.75,2023-02-22
90001744.SZ,159922,P,6.0,2023-02-22
90001745.SZ,159922,P,6.25,2023-02-22
90001746.SZ,159922,P,6.5,2023-02-22
90001747.SZ,159922,P,6.75,2023-02-22
90001748.SZ,159922,P,7.0,2023-02-22
90001755.SZ,159922,C,7.25,2023-02-22
90001756.SZ,159922,P,7.25,2023-02-22
90001807.SZ,159922,C,7.5,2023-01-30
90001808.SZ,159922,P,7.5,2023-01-30
90001809.SZ,159922,C,7.5,2023-02-22
90001810.SZ,159922,P,7.5,2023-02-22
90001811.SZ,159922,C,7.5,2023-03-22
90001812.SZ,159922,P,7.5,2023-03-22
90001813.SZ,159922,C,7.5,2023-06-28
90001814.SZ,159922,P,7.5,2023-06-28
90001869.SZ,159922,C,5.5,2023-09-27
90001870.SZ,159922,C,5.75,2023-09-27
90001871.SZ,159922,C,6.0,2023-09-27
90001872.SZ,159922,C,6.25,2023-09-27
90001873.SZ,159922,C,6.5,2023-09-27
90001874.SZ,159922,C,6.75,2023-09-27
90001875.SZ,159922,C,7.0,2023-09-27
90001876.SZ,159922,C,7.25,2023-09-27
90001877.SZ,159922,C,7.5,2023-09-27
90001878.SZ,159922,P,5.5,2023-09-27
90001879.SZ,159922,P,5.75,2023-09-27
90001880.SZ,159922,P,6.0,2023-09-27
90001881.SZ,159922,P,6.25,2023-09-27
90001882.SZ,159922,P,6.5,2023-09-27
90001883.SZ,159922,P,6.75,2023-09-27
90001884.SZ,159922,P,7.0,2023-09-27
90001885.SZ,159922,P,7.25,2023-09-27
90001886.SZ,159922,P,7.5,2023-09-27
90001905.SZ,159922,C,5.25,2023-09-27
90001906.SZ,159922,P,5.25,2023-09-27
90001961.SZ,159922,C,5.5,2023-04-26
90001962.SZ,159922,C,5.75,2023-04-26
90001963.SZ,159922,C,6.0,2023-04-26
90001964.SZ,159922,C,6.25,2023-04-26
90001965.SZ,159922,C,6.5,2023-04-26
90001966.SZ,159922,C,6.75,2023-04-26
90001967.SZ,159922,C,7.0,2023-04-26
90001968.SZ,159922,C,7.25,2023-04-26
90001969.SZ,159922,C,7.5,2023-04-26
90001970.SZ,159922,P,5.5,2023-04-26
90001971.SZ,159922,P,5.75,2023-04-26
90001972.SZ,159922,P,6.0,2023-04-26
90001973.SZ,159922,P,6.25,2023-04-26
90001974.SZ,159922,P,6.5,2023-04-26
90001975.SZ,159922,P,6.75,2023-04-26
90001976.SZ,159922,P,7.0,2023-04-26
90001977.SZ,159922,P,7.25,2023-04-26
90001978.SZ,159922,P,7.5,2023-04-26
90001997.SZ,159922,C,5.25,2023-04-26
90001998.SZ,159922,P,5.25,2023-04-26
90002065.SZ,159922,C,5.5,2023-05-24
90002066.SZ,159922,C,5.75,2023-05-24
90002067.SZ,159922,C,6.0,2023-05-24
90002068.SZ,159922,C,6.25,2023-05-24
90002069.SZ,159922,C,6.5,2023-05-24
90002070.SZ,159922,C,6.75,2023-05-24
90002071.SZ,159922,C,7.0,2023-05-24
90002072.SZ,159922,C,7.25,2023-05-24
90002073.SZ,159922,C,7.5,2023-05-24
90002074.SZ,159922,P,5.5,2023-05-24
90002075.SZ,159922,P,5.75,2023-05-24
90002076.SZ,159922,P,6.0,2023-05-24
90002077.SZ,159922,P,6.25,2023-05-24
90002078.SZ,159922,P,6.5,2023-05-24
90002079.SZ,159922,P,6.75,2023-05-24
90002080.SZ,159922,P,7.0,2023-05-24
90002081.SZ,159922,P,7.25,2023-05-24
90002082.SZ,159922,P,7.5,2023-05-24
90002095.SZ,159922,C,5.25,2023-05-24
90002096.SZ,159922,P,5.25,2023-05-24
90002159.SZ,159922,C,5.25,2023-12-27
90002160.SZ,159922,C,5.5,2023-12-27
90002161.SZ,159922,C,5.75,2023-12-27
90002162.SZ,159922,C,6.0,2023-12-27
90002163.SZ,159922,C,6.25,2023-12-27
90002164.SZ,159922,C,6.5,2023-12-27
90002165.SZ,159922,C,6.75,2023-12-27
90002166.SZ,159922,C,7.0,2023-12-27
90002167.SZ,159922,C,7.25,2023-12-27
90002168.SZ,159922,P,5.25,2023-12-27
90002169.SZ,159922,P,5.5,2023-12-27
90002170.SZ,159922,P,5.75,2023-12-27
90002171.SZ,159922,P,6.0,2023-12-27
90002172.SZ,159922,P,6.25,2023-12-27
90002173.SZ,159922,P,6.5,2023-12-27
90002174.SZ,159922,P,6.75,2023-12-27
90002175.SZ,159922,P,7.0,2023-12-27
90002176.SZ,159922,P,7.25,2023-12-27
90002181.SZ,159922,C,7.5,2023-12-27
90002182.SZ,159922,P,7.5,2023-12-27
90002247.SZ,159922,C,5.25,2023-07-26
90002248.SZ,159922,C,5.5,2023-07-26
90002249.SZ,159922,C,5.75,2023-07-26
90002250.SZ,159922,C,6.0,2023-07-26
90002251.SZ,159922,C,6.25,2023-07-26
90002252.SZ,159922,C,6.5,2023-07-26
90002253.SZ,159922,C,6.75,2023-07-26
90002254.SZ,159922,C,7.0,2023-07-26
90002255.SZ,159922,C,7.25,2023-07-26
90002256.SZ,159922,P,5.25,2023-07-26
90002257.SZ,159922,P,5.5,2023-07-26
90002258.SZ,159922,P,5.75,2023-07-26
90002259.SZ,159922,P,6.0,2023-07-26
90002260.SZ,159922,P,6.25,2023-07-26
90002261.SZ,159922,P,6.5,2023-07-26
90002262.SZ,159922,P,6.75,2023-07-26
90002263.SZ,159922,P,7.0,2023-07-26
