option_code,trade_date,close,volume,amount,open_interest
90001291.SZ,2022-09-19,0.988,47.0,46.9951,42.0
90001292.SZ,2022-09-19,0.7425,661.0,491.0067,482.0
90001293.SZ,2022-09-19,0.5257,1299.0,671.2702,1076.0
90001294.SZ,2022-09-19,0.3116,554.0,175.0303,345.0
90001295.SZ,2022-09-19,0.1595,5560.0,863.7491,1654.0
90001296.SZ,2022-09-19,0.0609,5979.0,375.6703,2509.0
90001297.SZ,2022-09-19,0.0212,5731.0,130.5925,2232.0
90001298.SZ,2022-09-19,0.0069,1987.0,16.1823,1199.0
90001299.SZ,2022-09-19,0.003,2793.0,9.1592,2169.0
90001300.SZ,2022-09-19,0.006,5524.0,30.0575,3892.0
90001301.SZ,2022-09-19,0.0133,9056.0,118.0891,4830.0
90001302.SZ,2022-09-19,0.0316,7459.0,233.5084,2891.0
90001303.SZ,2022-09-19,0.0737,9100.0,676.1893,2421.0
90001304.SZ,2022-09-19,0.1654,6665.0,1121.7931,1544.0
90001305.SZ,2022-09-19,0.322,1325.0,425.9341,751.0
90001306.SZ,2022-09-19,0.5376,1857.0,987.8908,1429.0
90001307.SZ,2022-09-19,0.7925,201.0,149.229,125.0
90001308.SZ,2022-09-19,0.985,133.0,130.7413,103.0
90001309.SZ,2022-09-19,0.9471,22.0,21.9648,22.0
90001310.SZ,2022-09-19,0.732,15.0,11.489,15.0
90001311.SZ,2022-09-19,0.545,58.0,31.0556,56.0
90001312.SZ,2022-09-19,0.3231,295.0,100.0342,238.0
90001313.SZ,2022-09-19,0.2,1379.0,277.0358,755.0
90001314.SZ,2022-09-19,0.102,2242.0,236.2334,1016.0
90001315.SZ,2022-09-19,0.0501,1472.0,73.3133,760.0
90001316.SZ,2022-09-19,0.0225,1391.0,32.5769,794.0
90001317.SZ,2022-09-19,0.0104,1754.0,18.456,809.0
90001318.SZ,2022-09-19,0.0168,5681.0,81.6989,3076.0
90001319.SZ,2022-09-19,0.0327,4135.0,121.501,1761.0
90001320.SZ,2022-09-19,0.0657,1815.0,109.0558,958.0
90001321.SZ,2022-09-19,0.1284,1994.0,243.7797,1124.0
90001322.SZ,2022-09-19,0.2366,898.0,205.6805,524.0
90001323.SZ,2022-09-19,0.4061,271.0,100.8538,224.0
90001324.SZ,2022-09-19,0.5726,32.0,17.9172,32.0
90001325.SZ,2022-09-19,0.7806,10.0,7.748,10.0
90001326.SZ,2022-09-19,1.0699,50.0,52.8115,30.0
90001327.SZ,2022-09-19,0.9407,3.0,2.8221,3.0
90001328.SZ,2022-09-19,0.7223,7.0,5.1472,7.0
90001329.SZ,2022-09-19,0.5267,16.0,8.8842,16.0
90001330.SZ,2022-09-19,0.3494,55.0,20.3765,38.0
90001331.SZ,2022-09-19,0.2335,293.0,72.1971,152.0
90001332.SZ,2022-09-19,0.1412,697.0,101.7401,328.0
90001333.SZ,2022-09-19,0.0799,402.0,35.6214,263.0
90001334.SZ,2022-09-19,0.0432,715.0,33.9422,402.0
90001335.SZ,2022-09-19,0.0236,918.0,24.0042,569.0
90001336.SZ,2022-09-19,0.0335,2183.0,66.8129,1124.0
90001337.SZ,2022-09-19,0.0614,557.0,33.3334,393.0
90001338.SZ,2022-09-19,0.1151,693.0,75.3424,397.0
90001339.SZ,2022-09-19,0.1944,465.0,87.0751,319.0
90001340.SZ,2022-09-19,0.3092,229.0,67.0393,146.0
90001341.SZ,2022-09-19,0.47,153.0,68.1155,133.0
90001342.SZ,2022-09-19,0.6502,44.0,26.5033,23.0
90001343.SZ,2022-09-19,0.8625,20.0,17.083,20.0
90001344.SZ,2022-09-19,1.0567,21.0,22.1404,21.0
90001345.SZ,2022-09-19,0.9349,35.0,35.0232,35.0
90001346.SZ,2022-09-19,0.7345,28.0,22.369,28.0
90001347.SZ,2022-09-19,0.5671,12.0,7.3688,11.0
90001348.SZ,2022-09-19,0.4204,105.0,43.5818,100.0
90001349.SZ,2022-09-19,0.3033,307.0,94.1009,214.0
90001350.SZ,2022-09-19,0.213,117.0,25.183,111.0
90001351.SZ,2022-09-19,0.147,146.0,21.5215,146.0
90001352.SZ,2022-09-19,0.0967,107.0,11.4415,106.0
90001353.SZ,2022-09-19,0.0654,380.0,24.8522,350.0
90001354.SZ,2022-09-19,0.0838,603.0,47.2357,548.0
90001355.SZ,2022-09-19,0.1388,119.0,14.7913,117.0
90001356.SZ,2022-09-19,0.214,94.0,18.6671,90.0
90001357.SZ,2022-09-19,0.3143,243.0,71.5273,210.0
90001358.SZ,2022-09-19,0.4458,291.0,124.4816,255.0
90001359.SZ,2022-09-19,0.6068,102.0,57.9887,102.0
90001360.SZ,2022-09-19,0.7741,73.0,52.8424,62.0
90001361.SZ,2022-09-19,0.9794,8.0,7.5264,7.0
90001362.SZ,2022-09-19,1.1891,54.0,62.8396,53.0
90001291.SZ,2022-09-20,1.028,48.0,49.3001,79.0
90001292.SZ,2022-09-20,0.7804,348.0,276.9457,683.0
90001293.SZ,2022-09-20,0.55,1331.0,762.5015,1871.0
