style_group,experiment_stage,experiment_stage_name,rule_id,rule_name,etf_count,avg_annualized_return,avg_excess_return_annualized,avg_max_drawdown,avg_net_option_contribution,avg_coverage_ratio,avg_assignment_frequency,avg_option_sale_success_rate
broad_base,core_atm,ATM核心检验,RuleA_Current,当前保守版,2,-0.03428165945669093,0.020415493107192168,-0.4280820475690183,0.10179499321892521,0.3423076923076923,0.2076923076923077,0.46153846153846156
broad_base,core_atm,ATM核心检验,RuleB_BroadBaseEnhanced,宽基增强版,2,-0.012017370365447866,0.07037078783749005,-0.2846398262052787,0.3171505369662223,0.7788461538461537,0.4538461538461539,1.0
broad_base,core_atm,ATM核心检验,RuleC_GrowthDefensive,成长防守版,2,-0.04266826927583883,0.012235386143384904,-0.44310734551581926,0.06102117324547229,0.22692307692307695,0.2076923076923077,0.46153846153846156
broad_base,core_atm,ATM核心检验,RuleD_HighIVOnly,高IV-only版,2,-0.038096602968812066,0.007825096081742575,-0.4484218591983776,0.040494706544038764,0.2230769230769231,0.1,0.2230769230769231
broad_base,otm5_check,OTM5稳健性检查,RuleA_Current,当前保守版,2,-0.03935537870820505,0.01662079250388048,-0.4526426944346165,0.0828612407497693,0.3423076923076923,0.06153846153846154,0.46153846153846156
broad_base,otm5_check,OTM5稳健性检查,RuleB_BroadBaseEnhanced,宽基增强版,2,-0.04494098507660216,0.04044666769348811,-0.39026661125678574,0.18228703659119982,0.7788461538461537,0.08461538461538462,1.0
broad_base,otm5_check,OTM5稳健性检查,RuleC_GrowthDefensive,成长防守版,2,-0.04466754494230735,0.011309265808914417,-0.4559228525902516,0.05638255477601376,0.22692307692307695,0.06153846153846154,0.46153846153846156
broad_base,otm5_check,OTM5稳健性检查,RuleD_HighIVOnly,高IV-only版,2,-0.035328198078169226,0.011574948559600052,-0.45031385050673645,0.05980773760451637,0.2230769230769231,0.046153846153846156,0.2230769230769231
growth_high_beta,core_atm,ATM核心检验,RuleA_Current,当前保守版,3,0.0010539124748614552,-0.01265606093958683,-0.5201063280451242,-0.06444970621425501,0.258974358974359,0.19487179487179487,0.35384615384615387
growth_high_beta,core_atm,ATM核心检验,RuleB_BroadBaseEnhanced,宽基增强版,3,-0.030877569075154748,0.00046269161732080704,-0.501171037261872,0.0019709334326343518,0.5653846153846154,0.3128205128205128,0.6461538461538462
growth_high_beta,core_atm,ATM核心检验,RuleC_GrowthDefensive,成长防守版,3,0.007790582860023987,-0.0037008785425400215,-0.527149589354086,-0.018854488093547978,0.1705128205128205,0.19487179487179487,0.35384615384615387
growth_high_beta,core_atm,ATM核心检验,RuleD_HighIVOnly,高IV-only版,3,0.03839759261883757,0.010272628380186404,-0.5520631302966584,0.05348146005431803,0.1641025641025641,0.09230769230769231,0.1641025641025641
growth_high_beta,otm5_check,OTM5稳健性检查,RuleA_Current,当前保守版,3,0.0076348882781315614,-0.0032005813417359135,-0.5366830139210385,-0.016065495293473883,0.258974358974359,0.1076923076923077,0.35384615384615387
growth_high_beta,otm5_check,OTM5稳健性检查,RuleB_BroadBaseEnhanced,宽基增强版,3,-0.04107324007836995,-0.004933734088098909,-0.5732640108991799,-0.023577935370781965,0.5653846153846154,0.1435897435897436,0.6461538461538462
growth_high_beta,otm5_check,OTM5稳健性检查,RuleC_GrowthDefensive,成长防守版,3,0.011231896987188591,0.0018009105965024286,-0.5370745974301402,0.009361129313058448,0.1705128205128205,0.1076923076923077,0.35384615384615387
growth_high_beta,otm5_check,OTM5稳健性检查,RuleD_HighIVOnly,高IV-only版,3,0.040376253349523106,0.013354451739936109,-0.5578790899804691,0.0695755078391815,0.1641025641025641,0.046153846153846156,0.1641025641025641
