etf_code,strategy,style_bucket,cumulative_return,annualized_return,annualized_volatility,sharpe_ratio,sortino_ratio,max_drawdown,calmar_ratio,excess_return_total,excess_return_annualized,information_ratio,upside_capture_ratio,downside_capture_ratio,average_premium_yield,total_premium_contribution,total_upside_truncation_cost,total_transaction_cost_drag,net_option_contribution,assignment_frequency,average_coverage_ratio,average_selected_delta,average_moneyness,option_sale_success_rate
510300,S0_BuyHold,A股核心宽基,-0.07161555721765134,-0.013805871590977903,0.18935321230079916,-0.07291068064399368,-0.14851360804037445,-0.39640314724615966,-0.03482785564869567,0.0,0.0,,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0
510300,S1_ATM_100_Monthly,A股核心宽基,0.026352372575497274,0.005788153723119915,0.09731756925423582,0.05947696564428916,0.07696873198958352,-0.24330524268148068,0.023789679413926103,0.09796792979314861,0.007028433210583354,0.0442838335713782,0.48131299564490554,0.4480146526997187,0.018339961628616782,1.192097505860091,0.8298334110705116,0.0005960487529300455,0.36166804603664937,0.46153846153846156,1.0,0.5186441373689967,-0.0003531426495601282,1.0
510300,S4_OTM5_100_Monthly,A股核心宽基,-0.1612887243079797,-0.038275247660335854,0.1386213303724135,-0.276113694461793,-0.41896010006882706,-0.3990176669737936,-0.0959236916766637,-0.08967316709032835,-0.03290496309051802,-0.2534854853830937,0.6868466144413834,0.8066942186128915,0.004538834158249098,0.29502422028619135,0.11318246190737613,0.00014751211014309566,0.1816942462686721,0.07692307692307693,1.0,0.1593821211180691,0.05054570913285901,1.0
510300,S5_IVTiming_ATM_Monthly,A股核心宽基,-0.08074780998004771,-0.016816757353304346,0.16560678987037633,-0.10154630354508502,-0.18319286992866712,-0.39533415357374,-0.04253808379894399,-0.009132252762396376,-0.0073210210950371895,-0.0873661664866794,0.7781154139597799,0.8055790346891105,0.0072554296748631696,0.471602928866106,0.3837685307084253,0.00023580146443305305,0.08759859669324777,0.2153846153846154,0.36923076923076925,0.5082574016747924,0.0005630126414595885,0.49230769230769234
510300,S6_IVTiming_OTM5_Monthly,A股核心宽基,-0.10115163261597393,-0.021252124346479828,0.17695589928554703,-0.12009842244471364,-0.2240451488499347,-0.4336730293880622,-0.0490049482128686,-0.029536075398322592,-0.009935828295784856,-0.17079989582673788,0.8653689846092661,0.9048308046446157,0.0024781523283091524,0.1610799013400949,0.08638167058043675,8.053995067004748e-05,0.07461769080898811,0.06153846153846154,0.36923076923076925,0.18413045843618425,0.04856830420790842,0.49230769230769234
510050,S0_BuyHold,大盘蓝筹/金融权重,-0.19114470842332654,-0.03890980129647681,0.17950575083651127,-0.21676075064533587,-0.3782312010601234,-0.3876569596580286,-0.10037173415073232,0.0,0.0,,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0
510050,S1_ATM_100_Monthly,大盘蓝筹/金融权重,-0.003648452420549453,-0.0008106866283019709,0.09496756082977577,-0.008536458357134,-0.010467249400692184,-0.23847778298588496,-0.003399422026453315,0.18749625600277708,0.03236771331692052,0.22443215667519786,0.44821491513593503,0.38749821695834313,0.018606977769687734,1.2094535550297028,0.813527648127646,0.0006047267775148514,0.395321180124542,0.4461538461538462,1.0,0.5158491036325342,0.0006406979657041759,1.0
510050,S4_OTM5_100_Monthly,大盘蓝筹/金融权重,-0.16411756390691223,-0.038995930627697684,0.13430402426924054,-0.2903556378141148,-0.4335425227501899,-0.3626445742156704,-0.10753209450889561,0.027027144516414303,-0.0020825147026507624,-0.017578852491040076,0.685279664633455,0.7259721638083979,0.005275084183290529,0.3428804719138844,0.10264983810734368,0.0001714402359569422,0.24005919357058378,0.09230769230769231,1.0,0.17496020976291532,0.04844353036637926,1.0
510050,S5_IVTiming_ATM_Monthly,大盘蓝筹/金融权重,-0.23341748347011038,-0.05174656156007751,0.1623520277260366,-0.31873061448544415,-0.4918586754401837,-0.4608299415642966,-0.11228992930542395,-0.04227277504678384,-0.0144404684158612,-0.1778741354396725,0.7759050463724355,0.8582138210934224,0.006407190892729074,0.4164674080273898,0.30026778457877346,0.00020823370401369489,0.11599138974460267,0.2,0.3153846153846154,0.510833061481345,0.0015026650603339106,0.4307692307692308
510050,S6_IVTiming_OTM5_Monthly,大盘蓝筹/金融权重,-0.256241932023069,-0.057458633069930265,0.16887872897038775,-0.3402360582664346,-0.5471250467989295,-0.47161235948117086,-0.12183445135564626,-0.06509722359974246,-0.0194150624217369,-0.3102215991831364,0.85012184337981,0.9448810425879468,0.0025501083448467646,0.1657570424150397,0.07456937320328164,8.287852120751984e-05,0.09110479069055051,0.06153846153846154,0.3153846153846154,0.19953857713916662,0.047336132420171165,0.4307692307692308
