etf_code,start_date,end_date,number_of_trading_days,data_completeness_ratio,avg_daily_amount_60d,avg_daily_amount_252d,median_daily_amount_252d,avg_daily_volume_252d,annualized_return_252d,annualized_vol_252d,max_drawdown_full_sample,monthly_return_volatility,strong_up_month_frequency,strong_down_month_frequency,median_monthly_return,realized_vol_20d_median,realized_vol_60d_median,has_options,number_of_option_trade_dates,option_date_coverage_ratio,number_of_call_contracts,number_of_monthly_roll_dates_with_eligible_calls,eligible_roll_date_ratio,median_call_volume,median_call_open_interest,median_call_amount,median_bid_ask_spread_pct,pct_contracts_with_valid_bid_ask,pct_contracts_with_valid_delta,pct_contracts_with_valid_iv,median_atm_call_iv,median_selected_30delta_call_iv,median_atm_premium_yield,median_30delta_premium_yield,etf_name,index_name,fund_company,style_bucket,expense_ratio,inception_date,universe_layer,exchange,has_listed_etf_options_in_source_file,upside_truncation_risk_proxy,synthetic_demo
159901,2021-01-04,2026-06-03,1309,0.9263977353149327,340099.28278999997,229801.5762515873,215479.787,660811.3926190477,0.5492874763920308,0.20067821209347292,-0.7641882974043115,0.08812333231601738,0.15384615384615385,0.2153846153846154,-0.00972972972972963,0.18660259431537096,0.20191201216501065,True,43,0.05205811138014528,2214,43,0.6515151515151515,73.0,459.0,6.3243089999999995,,0.0,0.0,0.0,,,0.02081005586592179,,易方达深证100ETF,深证100指数,,深市大盘/成长均衡,,,核心池,深交所,是,0.15384615384615385,False
159915,2021-01-04,2026-06-03,1309,0.9263977353149327,4695195.630078333,4148953.6082884925,3909770.7290000003,13586106.267738096,1.1334599270046137,0.27728322087157603,-0.5658465991316932,0.09219515284283177,0.2,0.2153846153846154,-0.011706278822277372,0.2416807461742642,0.25657048248842435,True,46,0.05191873589164785,2796,46,0.696969696969697,560.0,2521.0,49.451750000000004,,0.0,0.0,0.0,,,0.025600464465228734,,易方达创业板ETF,创业板指数,,成长/科技/医药权重,,,核心池,深交所,是,0.2,False
159919,2021-01-04,2026-06-03,1310,0.9271054493984431,1357668.5507016669,1396895.338988492,808889.5094999999,2897277.434206349,0.2936424864294207,0.14496540705045022,-0.42797998964981887,0.05261688169982535,0.12307692307692308,0.18461538461538463,0.0012332990750256734,0.14822878985318605,0.1528781725036989,True,66,0.05112316034082107,3574,66,1.0,177.0,867.5,18.398200000000003,,0.0,0.0,0.0,,,0.01920029036319277,,嘉实沪深300ETF,沪深300指数,,A股核心宽基,,,核心池,深交所,是,0.12307692307692308,False
159922,2021-01-04,2026-06-03,1310,0.9271054493984431,805111.7665616666,492263.4100980159,375269.1555,1602648.353174603,0.499894431496257,0.21223124976486682,-0.7546464056107539,0.10191978942160211,0.2,0.16923076923076924,-0.00029815146094214207,0.17196476732791563,0.1838555985140662,True,46,0.05191873589164785,2498,46,0.696969696969697,169.0,996.0,19.542051999999998,,0.0,0.0,0.0,,,0.0176634319563196,,嘉实中证500ETF,中证500指数,,中盘成长/均衡,,,核心池,深交所,是,0.2,False
159928,2021-01-04,2026-06-03,1310,0.9271054493984431,391079.74763500004,499819.6021472222,430513.008,6207180.532857142,-0.17705959056270593,0.15568832046141434,-0.8907883817427386,0.1188284879217034,0.13846153846153847,0.24615384615384617,-0.013285024154589431,0.1969564406973781,0.19077312472898647,False,0,0.0,0,0,0.0,,,,,0.0,0.0,0.0,,,,,汇添富中证主要消费ETF,中证主要消费指数,,消费/食品饮料,,,观察池,深交所,否/待跟踪,0.13846153846153847,False
159995,2021-01-04,2026-06-03,1310,0.9271054493984431,1022627.3332933334,911529.2694626984,790961.202,5305853.415198413,1.1772342907697038,0.37864011535082914,-0.6155097613882864,0.1091823795866464,0.3076923076923077,0.24615384615384617,-0.0026064291920070426,0.3046857744436643,0.3203866669828749,False,0,0.0,0,0,0.0,,,,,0.0,0.0,0.0,,,,,华夏国证半导体芯片ETF,国证半导体芯片指数,,芯片/半导体,,,观察池,深交所,否/待跟踪,0.3076923076923077,False
510050,2021-01-04,2026-06-03,1310,0.9271054493984431,2659607.088583334,2692888.9284126987,2078047.9015000002,8825803.872936508,0.0865362311642548,0.12807931553394233,-0.44317048853439667,0.05147589315871877,0.12307692307692308,0.16923076923076924,-0.0025698682942498774,0.14863120683650108,0.14975636368057726,True,66,0.05112316034082107,4160,66,1.0,1306.0,4556.0,85.291978,,0.0,0.0,0.0,,,0.017962731452219684,,华夏上证50ETF,上证50指数,,大盘蓝筹/金融权重,,,核心池,上交所,是,0.12307692307692308,False
510300,2021-01-04,2026-06-03,1310,0.9271054493984431,4078324.640166667,4698349.246011904,3587478.5855,10212094.68765873,0.2540561224791902,0.14879747608695298,-0.45100740485620794,0.05429979641450893,0.12307692307692308,0.18461538461538463,0.001436781609195359,0.1478192827919131,0.15309674045349553,True,66,0.05112316034082107,3867,66,1.0,1074.0,4154.0,101.914444,,0.0,0.0,0.0,,,0.017625532445349756,,华泰柏瑞沪深300ETF,沪深300指数,,A股核心宽基,,,核心池,上交所,是,0.12307692307692308,False
510500,2021-01-04,2026-06-03,1310,0.9271054493984431,4605710.94585,3361291.9336468256,2178579.8865,4290534.503809524,0.5049036433748557,0.21499081749642132,-0.47314458813934523,0.06719793264641258,0.2153846153846154,0.15384615384615385,0.0004924491135915865,0.17224351531137175,0.18328142542797346,True,46,0.05191873589164785,2585,46,0.696969696969697,641.0,2675.0,115.924279,,0.0,0.0,0.0,,,0.01897583625966693,,南方中证500ETF,中证500指数,,中盘成长/均衡,,,核心池,上交所,是,0.2153846153846154,False
510880,2021-01-04,2026-06-03,1310,0.9271054493984431,489799.3408000001,483845.47599999997,434680.3155,1507938.003095238,0.07460350297582852,0.13376293020755456,-0.22037361354349105,0.042650089355047834,0.12307692307692308,0.07692307692307693,0.0026827632461434714,0.13706276620183475,0.15095340214317388,False,0,0.0,0,0,0.0,,,,,0.0,0.0,0.0,,,,,华泰柏瑞红利ETF,上证红利指数,,高股息/价值,,,观察池,上交所,否/待跟踪,0.12307692307692308,False
