date,etf_code,strategy,nav,synthetic_demo
2021-01-29,159915,S0_BuyHold,1.0,False
2021-02-26,159915,S0_BuyHold,0.9290194783757015,False
2021-03-31,159915,S0_BuyHold,0.8798283261802575,False
2021-04-30,159915,S0_BuyHold,0.98679432155827,False
2021-05-31,159915,S0_BuyHold,1.0548035655331793,False
2021-06-30,159915,S0_BuyHold,1.1135688345988777,False
2021-07-30,159915,S0_BuyHold,1.0987124463519313,False
2021-08-31,159915,S0_BuyHold,1.0254209310003302,False
2021-09-30,159915,S0_BuyHold,1.0392868933641466,False
2021-10-29,159915,S0_BuyHold,1.0726312314295146,False
2021-11-30,159915,S0_BuyHold,1.1178606800924396,False
2021-12-31,159915,S0_BuyHold,1.0623968306371738,False
2022-01-28,159915,S0_BuyHold,0.9306701881809176,False
2022-02-28,159915,S0_BuyHold,0.9197755034664904,False
2022-03-31,159915,S0_BuyHold,0.8497854077253216,False
2022-04-29,159915,S0_BuyHold,0.7408385605810497,False
2022-05-31,159915,S0_BuyHold,0.770551337074942,False
2022-06-30,159915,S0_BuyHold,0.9012875536480683,False
2022-07-29,159915,S0_BuyHold,0.8563882469461865,False
2022-08-31,159915,S0_BuyHold,0.822383624958732,False
2022-09-30,159915,S0_BuyHold,0.7332452954770549,False
2022-10-31,159915,S0_BuyHold,0.7269725982172331,False
2022-11-30,159915,S0_BuyHold,0.7477715417629578,False
2022-12-30,159915,S0_BuyHold,0.7523935292175632,False
2023-01-31,159915,S0_BuyHold,0.8276658963354239,False
2023-02-28,159915,S0_BuyHold,0.778804886101023,False
2023-03-31,159915,S0_BuyHold,0.7682403433476391,False
2023-04-28,159915,S0_BuyHold,0.7444701221525252,False
2023-05-31,159915,S0_BuyHold,0.7035325189831623,False
2023-06-30,159915,S0_BuyHold,0.7144272036975896,False
2023-07-31,159915,S0_BuyHold,0.7203697589963681,False
2023-08-31,159915,S0_BuyHold,0.6774513040607458,False
2023-09-28,159915,S0_BuyHold,0.6447672499174643,False
2023-10-31,159915,S0_BuyHold,0.632551997358864,False
2023-11-30,159915,S0_BuyHold,0.6186860349950476,False
2023-12-29,159915,S0_BuyHold,0.6081214922416637,False
2024-01-31,159915,S0_BuyHold,0.5061076262792998,False
2024-02-29,159915,S0_BuyHold,0.5813799933971605,False
2024-03-29,159915,S0_BuyHold,0.5836909871244633,False
2024-04-30,159915,S0_BuyHold,0.5995378012545394,False
2024-05-31,159915,S0_BuyHold,0.5850115549686364,False
2024-06-28,159915,S0_BuyHold,0.5453945196434465,False
2024-07-31,159915,S0_BuyHold,0.547375371409706,False
2024-08-30,159915,S0_BuyHold,0.5123803235391218,False
2024-09-30,159915,S0_BuyHold,0.7368768570485309,False
2024-10-31,159915,S0_BuyHold,0.7005612413337735,False
2024-11-29,159915,S0_BuyHold,0.7193793331132388,False
2024-12-31,159915,S0_BuyHold,0.6939584021129086,False
2025-01-27,159915,S0_BuyHold,0.6695278969957082,False
2025-02-28,159915,S0_BuyHold,0.7025420931000331,False
2025-03-31,159915,S0_BuyHold,0.6814130075932652,False
2025-04-30,159915,S0_BuyHold,0.6342027071640806,False
2025-05-30,159915,S0_BuyHold,0.6510399471772863,False
2025-06-30,159915,S0_BuyHold,0.7041928029052493,False
2025-07-31,159915,S0_BuyHold,0.7596566523605152,False
2025-08-29,159915,S0_BuyHold,0.9458567183889075,False
2025-09-30,159915,S0_BuyHold,1.062066688676131,False
2025-10-31,159915,S0_BuyHold,1.0452294486629252,False
2025-11-28,159915,S0_BuyHold,1.0019808517662596,False
2025-12-31,159915,S0_BuyHold,1.05183228788379,False
2026-01-30,159915,S0_BuyHold,1.101023440079234,False
2026-02-27,159915,S0_BuyHold,1.0897986134037636,False
2026-03-31,159915,S0_BuyHold,1.050511720039617,False
2026-04-30,159915,S0_BuyHold,1.217893694288544,False
2026-05-29,159915,S0_BuyHold,1.3380653681082866,False
2026-06-03,159915,S0_BuyHold,1.3684384285242652,False
2021-01-29,159915,S1_ATM_100_Monthly,1.0,False
2021-02-26,159915,S1_ATM_100_Monthly,0.9290194783757015,False
2021-03-31,159915,S1_ATM_100_Monthly,0.8798283261802575,False
2021-04-30,159915,S1_ATM_100_Monthly,0.98679432155827,False
2021-05-31,159915,S1_ATM_100_Monthly,1.0548035655331793,False
2021-06-30,159915,S1_ATM_100_Monthly,1.1135688345988777,False
2021-07-30,159915,S1_ATM_100_Monthly,1.0987124463519313,False
2021-08-31,159915,S1_ATM_100_Monthly,1.0254209310003302,False
2021-09-30,159915,S1_ATM_100_Monthly,1.0392868933641466,False
2021-10-29,159915,S1_ATM_100_Monthly,1.0726312314295146,False
2021-11-30,159915,S1_ATM_100_Monthly,1.1178606800924396,False
2021-12-31,159915,S1_ATM_100_Monthly,1.0623968306371738,False
2022-01-28,159915,S1_ATM_100_Monthly,0.9306701881809176,False
2022-02-28,159915,S1_ATM_100_Monthly,0.9197755034664904,False
2022-03-31,159915,S1_ATM_100_Monthly,0.8497854077253216,False
2022-04-29,159915,S1_ATM_100_Monthly,0.7408385605810497,False
2022-05-31,159915,S1_ATM_100_Monthly,0.770551337074942,False
2022-06-30,159915,S1_ATM_100_Monthly,0.9012875536480683,False
2022-07-29,159915,S1_ATM_100_Monthly,0.8563882469461865,False
2022-08-31,159915,S1_ATM_100_Monthly,0.822383624958732,False
2022-09-30,159915,S1_ATM_100_Monthly,0.7332452954770549,False
2022-10-26,159915,S1_ATM_100_Monthly,0.7510605810498513,False
2022-11-23,159915,S1_ATM_100_Monthly,0.7756058002115637,False
2022-12-28,159915,S1_ATM_100_Monthly,0.7967206493906434,False
2023-01-30,159915,S1_ATM_100_Monthly,0.8176893650162578,False
2023-02-22,159915,S1_ATM_100_Monthly,0.7950438054151854,False
2023-03-22,159915,S1_ATM_100_Monthly,0.7844178039823817,False
2023-04-26,159915,S1_ATM_100_Monthly,0.7621636989654471,False
2023-05-24,159915,S1_ATM_100_Monthly,0.7538073936280072,False
2023-06-28,159915,S1_ATM_100_Monthly,0.7662870800550777,False
2023-07-26,159915,S1_ATM_100_Monthly,0.773643683898355,False
2023-08-23,159915,S1_ATM_100_Monthly,0.7173335922605286,False
2023-09-27,159915,S1_ATM_100_Monthly,0.7012792155104095,False
2023-10-25,159915,S1_ATM_100_Monthly,0.6679486675792079,False
2023-11-22,159915,S1_ATM_100_Monthly,0.6774930125850795,False
2023-12-27,159915,S1_ATM_100_Monthly,0.6560092536377591,False
2024-01-24,159915,S1_ATM_100_Monthly,0.6016553255772712,False
2024-02-28,159915,S1_ATM_100_Monthly,0.6249989046354442,False
2024-03-27,159915,S1_ATM_100_Monthly,0.6390784689717168,False
2024-04-24,159915,S1_ATM_100_Monthly,0.6407315423055978,False
2024-05-22,159915,S1_ATM_100_Monthly,0.652577737062877,False
2024-06-26,159915,S1_ATM_100_Monthly,0.6449080704658989,False
2024-07-24,159915,S1_ATM_100_Monthly,0.6473207761794022,False
2024-08-28,159915,S1_ATM_100_Monthly,0.6028041984465072,False
2024-09-25,159915,S1_ATM_100_Monthly,0.6147995164896339,False
2024-10-23,159915,S1_ATM_100_Monthly,0.6497388319326831,False
2024-11-27,159915,S1_ATM_100_Monthly,0.6786561138981302,False
2024-12-25,159915,S1_ATM_100_Monthly,0.6909176452505088,False
2025-01-22,159915,S1_ATM_100_Monthly,0.6938016512025511,False
2025-02-26,159915,S1_ATM_100_Monthly,0.7189380200244785,False
2025-03-26,159915,S1_ATM_100_Monthly,0.7270372216946132,False
2025-04-23,159915,S1_ATM_100_Monthly,0.6941987045793129,False
2025-05-28,159915,S1_ATM_100_Monthly,0.706403230956343,False
2025-06-25,159915,S1_ATM_100_Monthly,0.7145983502445606,False
2025-07-23,159915,S1_ATM_100_Monthly,0.7318126325281735,False
2025-08-27,159915,S1_ATM_100_Monthly,0.7510443409286534,False
2025-09-24,159915,S1_ATM_100_Monthly,0.7829818265042436,False
2025-10-22,159915,S1_ATM_100_Monthly,0.7682425039410439,False
2025-11-26,159915,S1_ATM_100_Monthly,0.756632578626274,False
2025-12-24,159915,S1_ATM_100_Monthly,0.7699592217778065,False
2026-01-28,159915,S1_ATM_100_Monthly,0.7923766352704752,False
2026-02-25,159915,S1_ATM_100_Monthly,0.809731928848027,False
2026-03-25,159915,S1_ATM_100_Monthly,0.827556125335659,False
2026-04-22,159915,S1_ATM_100_Monthly,0.8530329946121773,False
2026-05-27,159915,S1_ATM_100_Monthly,0.8775793485447524,False
2026-06-03,159915,S1_ATM_100_Monthly,0.9127522979479459,False
2021-01-29,159915,S4_OTM5_100_Monthly,1.0,False
2021-02-26,159915,S4_OTM5_100_Monthly,0.9290194783757015,False
2021-03-31,159915,S4_OTM5_100_Monthly,0.8798283261802575,False
2021-04-30,159915,S4_OTM5_100_Monthly,0.98679432155827,False
2021-05-31,159915,S4_OTM5_100_Monthly,1.0548035655331793,False
2021-06-30,159915,S4_OTM5_100_Monthly,1.1135688345988777,False
2021-07-30,159915,S4_OTM5_100_Monthly,1.0987124463519313,False
2021-08-31,159915,S4_OTM5_100_Monthly,1.0254209310003302,False
2021-09-30,159915,S4_OTM5_100_Monthly,1.0392868933641466,False
2021-10-29,159915,S4_OTM5_100_Monthly,1.0726312314295146,False
2021-11-30,159915,S4_OTM5_100_Monthly,1.1178606800924396,False
2021-12-31,159915,S4_OTM5_100_Monthly,1.0623968306371738,False
2022-01-28,159915,S4_OTM5_100_Monthly,0.9306701881809176,False
2022-02-28,159915,S4_OTM5_100_Monthly,0.9197755034664904,False
2022-03-31,159915,S4_OTM5_100_Monthly,0.8497854077253216,False
2022-04-29,159915,S4_OTM5_100_Monthly,0.7408385605810497,False
2022-05-31,159915,S4_OTM5_100_Monthly,0.770551337074942,False
2022-06-30,159915,S4_OTM5_100_Monthly,0.9012875536480683,False
2022-07-29,159915,S4_OTM5_100_Monthly,0.8563882469461865,False
