etf_code,strategy,style_bucket,cumulative_return,annualized_return,annualized_volatility,sharpe_ratio,sortino_ratio,max_drawdown,calmar_ratio,excess_return_total,excess_return_annualized,information_ratio,upside_capture_ratio,downside_capture_ratio,average_premium_yield,total_premium_contribution,total_upside_truncation_cost,total_transaction_cost_drag,net_option_contribution,assignment_frequency,average_coverage_ratio,average_selected_delta,average_moneyness,option_sale_success_rate,experiment_stage,experiment_stage_name,rule_id,rule_name,rule_warmup_invalid_coverage,rule_data_invalid_coverage,rule_low_coverage,rule_normal_coverage,rule_high_coverage,base_strategy,synthetic_demo
159915,S5_IVTiming_ATM_Monthly,成长/科技/医药权重,0.25118131326378057,0.045480346978870934,0.2860756108543818,0.15898016207338045,0.37155659138174285,-0.5271021238819487,0.08628374828756495,-0.10563556641608282,-0.020966276096721168,-0.20094458073398375,,,0.010085387974148399,0.6555502183196459,0.7608580096265688,0.000327775109159823,-0.1056355664160828,0.2153846153846154,0.27692307692307694,0.5308343187541038,-0.0032149286470869454,0.38461538461538464,core_atm,ATM核心检验,RuleA_Current,当前保守版,0.0,0.0,0.0,0.5,1.0,S5_IVTiming_ATM_Monthly,False
510050,S5_IVTiming_ATM_Monthly,大盘蓝筹/金融权重,-0.23341748347011038,-0.05174656156007751,0.1623520277260366,-0.31873061448544415,-0.4918586754401837,-0.4608299415642966,-0.11228992930542395,0.11599138974460267,0.02318557352507118,0.43225470843698127,,,0.006407190892729074,0.4164674080273898,0.30026778457877346,0.00020823370401369489,0.11599138974460267,0.2,0.3153846153846154,0.510833061481345,0.0015026650603339106,0.4307692307692308,core_atm,ATM核心检验,RuleA_Current,当前保守版,0.0,0.0,0.0,0.5,1.0,S5_IVTiming_ATM_Monthly,False
510300,S5_IVTiming_ATM_Monthly,A股核心宽基,-0.08074780998004771,-0.016816757353304346,0.16560678987037633,-0.10154630354508502,-0.18319286992866712,-0.39533415357374,-0.04253808379894399,0.08759859669324778,0.017645412689313158,0.3051565735824449,,,0.0072554296748631696,0.471602928866106,0.3837685307084253,0.00023580146443305305,0.08759859669324777,0.2153846153846154,0.36923076923076925,0.5082574016747924,0.0005630126414595885,0.49230769230769234,core_atm,ATM核心检验,RuleA_Current,当前保守版,0.0,0.0,0.0,0.5,1.0,S5_IVTiming_ATM_Monthly,False
510500,S5_IVTiming_ATM_Monthly,中盘成长/均衡,-0.012695581304081882,-0.00252721545793011,0.184676391299727,-0.013684561627741997,-0.019276698270905057,-0.45965415583186153,-0.0054980802976891795,0.0463921162606053,0.009187803817211578,0.13834130970202174,,,0.00665756164797931,0.43274150711865517,0.3861330201044905,0.00021637075355932758,0.0463921162606053,0.2,0.2846153846153846,0.505822589372878,0.0036417712212839337,0.38461538461538464,core_atm,ATM核心检验,RuleA_Current,当前保守版,0.0,0.0,0.0,0.5,1.0,S5_IVTiming_ATM_Monthly,False
588000,S5_IVTiming_ATM_Monthly,科创/硬科技,-0.18772669841821,-0.03979139409635646,0.2551065162666649,-0.1559795283894755,-0.24805235555087055,-0.5735627044215625,-0.06937583944982274,-0.1341056684872875,-0.026189710539250902,-0.2637030452065979,,,0.010023124717212614,0.6515031066188198,0.7852830235527979,0.00032575155330940995,-0.13410566848728755,0.16923076923076924,0.2153846153846154,0.536715164749734,-0.0027571833564719274,0.2923076923076923,core_atm,ATM核心检验,RuleA_Current,当前保守版,0.0,0.0,0.0,0.5,1.0,S5_IVTiming_ATM_Monthly,False
159915,S5_IVTiming_ATM_Monthly,成长/科技/医药权重,-0.037080519582175175,-0.007881400463158772,0.19794287716876913,-0.039816539882053796,-0.060151555720353626,-0.47546285332517324,-0.016576269645546027,0.007398402981000203,0.0015492926494922973,0.01181988128419555,,,0.017947464532104884,1.1665851945868175,1.1586034990085237,0.0005832925972934088,0.0073984029810002586,0.3384615384615385,0.6,0.5346885454402983,-0.0028907400086068758,0.6923076923076923,core_atm,ATM核心检验,RuleB_BroadBaseEnhanced,宽基增强版,1.0,0.0,0.5,0.75,1.0,S5_IVTiming_ATM_Monthly,False
510050,S5_IVTiming_ATM_Monthly,大盘蓝筹/金融权重,-0.07717339698962877,-0.01766257027989604,0.10584976773877076,-0.1668645161648907,-0.21731139237841982,-0.28639992662160385,-0.06167100141485758,0.32361678407660605,0.07180554783462686,1.0561445140946382,,,0.014872851587694623,0.9667353532001505,0.6426352014469443,0.0004833676766000752,0.3236167840766061,0.4461538461538462,0.7653846153846153,0.5158491036325342,0.0006406979657041759,1.0,core_atm,ATM核心检验,RuleB_BroadBaseEnhanced,宽基增强版,1.0,0.0,0.5,0.75,1.0,S5_IVTiming_ATM_Monthly,False
510300,S5_IVTiming_ATM_Monthly,A股核心宽基,-0.028399242203557495,-0.006372170450999692,0.10582370039525481,-0.06021496533573706,-0.08573150095921953,-0.2828797257889536,-0.02252607688029838,0.31068428985583857,0.06893602784035324,0.9500455745352222,,,0.014927993381510771,0.9703195697982001,0.6591501201574623,0.0004851597848991,0.31068428985583857,0.46153846153846156,0.7923076923076923,0.5186441373689967,-0.0003531426495601282,1.0,core_atm,ATM核心检验,RuleB_BroadBaseEnhanced,宽基增强版,1.0,0.0,0.5,0.75,1.0,S5_IVTiming_ATM_Monthly,False
510500,S5_IVTiming_ATM_Monthly,中盘成长/均衡,-0.16189854136967752,-0.03630942400751214,0.16852407602091904,-0.21545541067381385,-0.270960530635725,-0.4687061207328337,-0.07746735619910712,0.02965748900369659,0.006210547037492402,0.06980191516458532,,,0.012452889033393675,0.8094377871705889,0.779375579273307,0.00040471889358529445,0.029657489003696576,0.38461538461538464,0.6038461538461538,0.5214857852119213,0.0013037601541111702,0.6923076923076923,core_atm,ATM核心检验,RuleB_BroadBaseEnhanced,宽基增强版,1.0,0.0,0.5,0.75,1.0,S5_IVTiming_ATM_Monthly,False
588000,S5_IVTiming_ATM_Monthly,科创/硬科技,-0.21548920153426243,-0.04844188275479333,0.21664296288291265,-0.22360238297227472,-0.3616368737756588,-0.5593441377276087,-0.0866047920902386,-0.03114309168679382,-0.006371764835022278,-0.044986742939014834,,,0.017196739438834006,1.1177880635242103,1.148372261179242,0.0005588940317621051,-0.03114309168679378,0.2153846153846154,0.49230769230769234,0.5261865581459994,-0.0006836751114439044,0.5538461538461539,core_atm,ATM核心检验,RuleB_BroadBaseEnhanced,宽基增强版,1.0,0.0,0.5,0.75,1.0,S5_IVTiming_ATM_Monthly,False
