etf_code,etf_liquidity_score,option_availability_score,option_liquidity_score,premium_adequacy_score,data_quality_score,upside_truncation_risk_score,soft_suitability_score,has_options,eligible_roll_date_ratio,data_completeness_ratio,number_of_trading_days,hard_gate_has_options,hard_gate_eligible_rolls,hard_gate_data_completeness,hard_gate_trading_days,hard_gate_all,suitability_score,synthetic_demo
510300,98.05833968923953,99.56190221048706,97.88300859072172,55.63058678063517,98.91242908283962,100.0,92.26310510938737,True,1.0,0.9271054493984431,1310,1,1,1,1,1,92.26310510938737,False
510050,80.4091203883622,100.0,97.9075332092842,56.69487114606838,98.91242908283962,100.0,89.00855950604571,True,1.0,0.9271054493984431,1310,1,1,1,1,1,89.00855950604571,False
588000,99.14926327311451,73.38982033957215,96.76289900825785,97.48116760828626,100.0,33.33333333333334,85.32354096615667,True,0.5606060606060606,0.9271054493984431,1310,1,1,1,1,1,85.32354096615667,False
159915,97.50137513570465,82.46528748034072,90.42209147103941,80.8014659683782,49.67360136660363,66.66666666666667,83.99268639523955,True,0.696969696969697,0.9263977353149327,1309,1,1,1,1,1,83.99268639523955,False
510500,84.66794640448902,81.9946866938942,95.477394308154,59.89248319457374,99.67360136660363,60.0,81.2691620789261,True,0.696969696969697,0.9271054493984431,1310,1,1,1,1,1,81.2691620789261,False
159919,54.71893727445568,99.08927786166271,78.30344521682552,60.60091645882718,98.91242908283962,100.0,79.32772714747927,True,1.0,0.9271054493984431,1310,1,1,1,1,1,79.32772714747927,False
588080,61.83655963967783,73.58957845630184,83.3099303326332,100.0,100.0,33.33333333333334,74.92552245850266,True,0.5606060606060606,0.9271054493984431,1310,1,1,1,1,1,74.92552245850266,False
159922,25.800025198956206,81.78936129328025,78.84537199684817,55.750207112133744,99.67360136660363,66.66666666666667,65.33156616414026,True,0.696969696969697,0.9271054493984431,1310,1,1,1,1,1,65.33156616414026,False
159901,4.778436110355345,78.79281993685788,68.28311139177899,65.68173882681565,49.80694980694981,86.66666666666667,58.733945035266785,True,0.6515151515151515,0.9263977353149327,1309,1,1,1,1,1,58.733945035266785,False
512880,78.81707451219441,0.0,25.0,0.0,50.0,60.0,30.513414902438882,False,0.0,0.9271054493984431,1310,0,0,1,1,0,0.0,False
510880,27.920905462876064,0.0,25.0,0.0,50.0,100.0,24.334181092575214,False,0.0,0.9271054493984431,1310,0,0,1,1,0,0.0,False
159928,28.27535811925741,0.0,25.0,0.0,50.0,93.33333333333333,23.73840495718482,False,0.0,0.9271054493984431,1310,0,0,1,1,0,0.0,False
512690,48.76393922156852,0.0,25.0,0.0,0.0,73.33333333333333,23.336121177647037,False,0.0,0.9263977353149327,1309,0,0,1,1,0,0.0,False
512170,36.76909969485581,0.0,25.0,0.0,0.0,93.33333333333333,22.9371532723045,False,0.0,0.9263977353149327,1309,0,0,1,1,0,0.0,False
159995,47.63486011924678,0.0,25.0,0.0,50.0,20.0,20.276972023849357,False,0.0,0.9271054493984431,1310,0,0,1,1,0,0.0,False
512480,65.91945013640066,0.0,25.0,0.0,0.0,0.0,19.433890027280132,False,0.0,0.9263977353149327,1309,0,0,1,1,0,0.0,False
515790,39.13057784678746,0.0,25.0,0.0,50.0,20.0,18.57611556935749,False,0.0,0.9271054493984431,1310,0,0,1,1,0,0.0,False
515030,0.0,0.0,25.0,0.0,50.0,40.0,12.75,False,0.0,0.9271054493984431,1310,0,0,1,1,0,0.0,False
