etf_code,style_group,experiment_stage,experiment_stage_name,rule_id,rule_name,iv_regime,periods,selected_periods,avg_etf_return,avg_strategy_return,premium_contribution,upside_cost,transaction_cost,net_option_contribution,assignment_frequency,avg_coverage_ratio
159915,growth_high_beta,otm5_check,OTM5稳健性检查,RuleA_Current,当前保守版,warmup_invalid,15,0,-0.01161408588701918,-0.01161408588701918,0.0,0.0,0.0,0.0,0.0,0.0
159915,growth_high_beta,otm5_check,OTM5稳健性检查,RuleB_BroadBaseEnhanced,宽基增强版,data_invalid,20,0,-0.012387566145550508,-0.012387566145550508,0.0,0.0,0.0,0.0,0.0,0.0
159915,growth_high_beta,otm5_check,OTM5稳健性检查,RuleB_BroadBaseEnhanced,宽基增强版,high_iv,11,11,0.026062444059014225,0.025430747823390675,0.3090500203348329,0.3158441539165245,0.00015452501016741647,-0.006948658591859003,0.36363636363636365,1.0
159915,growth_high_beta,otm5_check,OTM5稳健性检查,RuleB_BroadBaseEnhanced,宽基增强版,low_iv,5,5,0.008221618872909568,0.00872684754677421,0.017494322579294442,0.014959432048681583,8.74716128964722e-06,0.0025261433693232116,0.2,0.5
159915,growth_high_beta,otm5_check,OTM5稳健性检查,RuleB_BroadBaseEnhanced,宽基增强版,normal_iv,14,14,0.017413364892257033,0.0122704872484249,0.10086597414756955,0.17281582817414565,5.043298707378478e-05,-0.07200028701364987,0.42857142857142855,0.75
159915,growth_high_beta,otm5_check,OTM5稳健性检查,RuleB_BroadBaseEnhanced,宽基增强版,warmup_invalid,15,15,-0.018423083902488445,-0.0155702171794611,0.1012025314661235,0.05835892935498026,5.0601265733061754e-05,0.042793000845410184,0.06666666666666667,1.0
159915,growth_high_beta,otm5_check,OTM5稳健性检查,RuleC_GrowthDefensive,成长防守版,data_invalid,20,0,-0.012387566145550508,-0.012387566145550508,0.0,0.0,0.0,0.0,0.0,0.0
159915,growth_high_beta,otm5_check,OTM5稳健性检查,RuleC_GrowthDefensive,成长防守版,high_iv,11,11,0.026062444059014225,0.025588671882296566,0.2317875152511247,0.23688311543739335,0.00011589375762556234,-0.0052114939438942035,0.36363636363636365,0.75
159915,growth_high_beta,otm5_check,OTM5稳健性检查,RuleC_GrowthDefensive,成长防守版,low_iv,5,0,0.08085196034511476,0.08085196034511476,0.0,0.0,0.0,0.0,0.0,0.0
159915,growth_high_beta,otm5_check,OTM5稳健性检查,RuleC_GrowthDefensive,成长防守版,normal_iv,14,14,0.017413364892257033,0.015699072344312986,0.033621991382523184,0.05760527605804855,1.6810995691261594e-05,-0.024000095671216623,0.42857142857142855,0.25
159915,growth_high_beta,otm5_check,OTM5稳健性检查,RuleC_GrowthDefensive,成长防守版,warmup_invalid,15,0,-0.01161408588701918,-0.01161408588701918,0.0,0.0,0.0,0.0,0.0,0.0
159915,growth_high_beta,otm5_check,OTM5稳健性检查,RuleD_HighIVOnly,高IV-only版,data_invalid,20,0,-0.012387566145550508,-0.012387566145550508,0.0,0.0,0.0,0.0,0.0,0.0
159915,growth_high_beta,otm5_check,OTM5稳健性检查,RuleD_HighIVOnly,高IV-only版,high_iv,11,11,0.026062444059014225,0.025430747823390675,0.3090500203348329,0.3158441539165245,0.00015452501016741647,-0.006948658591859003,0.36363636363636365,1.0
159915,growth_high_beta,otm5_check,OTM5稳健性检查,RuleD_HighIVOnly,高IV-only版,low_iv,5,0,0.08085196034511476,0.08085196034511476,0.0,0.0,0.0,0.0,0.0,0.0
159915,growth_high_beta,otm5_check,OTM5稳健性检查,RuleD_HighIVOnly,高IV-only版,normal_iv,14,0,0.014167099026254385,0.014167099026254385,0.0,0.0,0.0,0.0,0.0,0.0
159915,growth_high_beta,otm5_check,OTM5稳健性检查,RuleD_HighIVOnly,高IV-only版,warmup_invalid,15,0,-0.01161408588701918,-0.01161408588701918,0.0,0.0,0.0,0.0,0.0,0.0
510050,broad_base,core_atm,ATM核心检验,RuleA_Current,当前保守版,high_iv,13,13,0.008011265438017985,0.012642160964107054,0.28949283304004586,0.22914644478436794,0.00014474641652002294,0.060201641839157924,0.38461538461538464,1.0
510050,broad_base,core_atm,ATM核心检验,RuleA_Current,当前保守版,low_iv,23,0,-0.0026740561624286913,-0.0026740561624286913,0.0,0.0,0.0,0.0,0.0,0.0
510050,broad_base,core_atm,ATM核心检验,RuleA_Current,当前保守版,normal_iv,15,15,-0.008254436011404773,-0.004535119484375123,0.12697457498734394,0.0711213397944055,6.348728749367196e-05,0.05578974790544476,0.5333333333333333,0.5
510050,broad_base,core_atm,ATM核心检验,RuleA_Current,当前保守版,warmup_invalid,14,0,-0.016869462373411605,-0.016869462373411605,0.0,0.0,0.0,0.0,0.0,0.0
510050,broad_base,core_atm,ATM核心检验,RuleB_BroadBaseEnhanced,宽基增强版,high_iv,13,13,0.008011265438017985,0.012642160964107054,0.28949283304004586,0.22914644478436794,0.00014474641652002294,0.060201641839157924,0.38461538461538464,1.0
510050,broad_base,core_atm,ATM核心检验,RuleB_BroadBaseEnhanced,宽基增强版,low_iv,23,23,-0.007737543104422246,-0.005832781274195571,0.17923091433588045,0.13533177678349897,8.961545716794022e-05,0.043809522095213535,0.43478260869565216,0.5
510050,broad_base,core_atm,ATM核心检验,RuleB_BroadBaseEnhanced,宽基增强版,normal_iv,15,15,-0.008254436011404773,-0.0026754612208602976,0.19046186248101588,0.10668200969160824,9.523093124050795e-05,0.08368462185816714,0.5333333333333333,0.75
510050,broad_base,core_atm,ATM核心检验,RuleB_BroadBaseEnhanced,宽基增强版,warmup_invalid,14,14,-0.012923125167334336,-0.003214482432758085,0.3075497433432083,0.17147497018746916,0.00015377487167160414,0.13592099828406753,0.42857142857142855,1.0
510050,broad_base,core_atm,ATM核心检验,RuleC_GrowthDefensive,成长防守版,high_iv,13,13,0.008011265438017985,0.011484437082584788,0.2171196247800344,0.17185983358827595,0.00010855981239001721,0.04515123137936844,0.38461538461538464,0.75
510050,broad_base,core_atm,ATM核心检验,RuleC_GrowthDefensive,成长防守版,low_iv,23,0,-0.0026740561624286913,-0.0026740561624286913,0.0,0.0,0.0,0.0,0.0,0.0
510050,broad_base,core_atm,ATM核心检验,RuleC_GrowthDefensive,成长防守版,normal_iv,15,15,-0.008254436011404773,-0.006394777747889947,0.06348728749367197,0.03556066989720275,3.174364374683598e-05,0.02789487395272238,0.5333333333333333,0.25
510050,broad_base,core_atm,ATM核心检验,RuleC_GrowthDefensive,成长防守版,warmup_invalid,14,0,-0.016869462373411605,-0.016869462373411605,0.0,0.0,0.0,0.0,0.0,0.0
510050,broad_base,core_atm,ATM核心检验,RuleD_HighIVOnly,高IV-only版,high_iv,13,13,0.008011265438017985,0.012642160964107054,0.28949283304004586,0.22914644478436794,0.00014474641652002294,0.060201641839157924,0.38461538461538464,1.0
