source_experiment,etf_code,sleeve_name,classification,recommendation_status,annualized_return_cagr,sharpe_daily_mean,max_drawdown,option_leg_annualized_pnl_contribution,premium_capture_ratio_agg,payoff_burden_agg,p99_short_call_mtm_loss,option_leg_positive,reason,caveat,source_file,beats_buyhold_return,beats_buyhold_sharpe,improves_buyhold_mdd,passes_execution_check,annualized_volatility,return_not_materially_worse,return_sacrifice_vs_buyhold
ver3_0_stepA_single_etf_sleeves,159915,159915_DTE30_OTM5up_Q50_Hold,Defensive Overlay,primary_for_portfolio_layer,0.1580198809533903,0.7224810714784208,0.3865037917772869,-0.0350557307911543,-0.6554730847497399,1.629973084749745,0.0743769276393832,False,"Net option leg is not positive, but drawdown improves enough with similar Sharpe.","Use as risk-control sleeve, not income enhancement.",outputs/ver3_0_stepA_single_etf_sleeves/summary/ver3_0_stepA_sleeve_classification_table.csv,False,True,True,True,,,
ver3_0_stepA_extension_510050_sleeve_clarification,510050,510050_DTE30_D40_Q70_Hold,Positive Carry Overlay,primary_for_portfolio_layer,0.0472196362661978,0.4488270511954484,0.1469770109210938,0.0110996786537512,0.1088299634742108,0.865670036525793,0.0641372177419355,True,Net option leg is positive while Sharpe improves and max drawdown is lower than BuyHold.,This is structural risk compensation with path and sample risk.,outputs/ver3_0_stepA_extension_510050_sleeve_clarification/summary/ver3_0_stepA_extension_510050_classification_table.csv,,True,True,,0.1184142927579784,True,
ver3_0_stepA_single_etf_sleeves,510300,510300_DTE30_D40_Q70_Hold,Positive Carry Overlay,primary_for_portfolio_layer,0.0769978555832706,0.6449520606698768,0.1718763984229173,0.0068744884955194,0.0649201693780609,0.9095798306219424,0.0424332692307692,True,Net option leg is positive while Sharpe and drawdown are at least as good as BuyHold.,Still sample-limited and not an arbitrage claim.,outputs/ver3_0_stepA_single_etf_sleeves/summary/ver3_0_stepA_sleeve_classification_table.csv,True,True,True,True,,,
ver3_0_stepA_single_etf_sleeves,510500,510500_ETF_BuyHold,Pure ETF Preferred,primary_for_portfolio_layer,0.1122243566609872,0.5952891106601638,0.3016216216216217,0.0,,,0.0,False,ETF-only baseline for comparison.,No option leg.,outputs/ver3_0_stepA_single_etf_sleeves/summary/ver3_0_stepA_sleeve_classification_table.csv,True,True,True,True,,,
ver3_0_stepA_extension_588000_sleeve_clarification,588000,588000_ETF_BuyHold,Growth Extension Sleeve,primary_for_short_sample_extension,0.2389742738605407,0.7847948282063195,0.3647502356267675,0.0,,,0.0,False,Pure ETF path best preserves 588000's tech-growth upside and has the strongest Sharpe in this sample.,Use only in short-sample extension universes.,outputs/ver3_0_stepA_extension_588000_sleeve_clarification/summary/ver3_0_stepA_extension_588000_classification_table.csv,,False,False,,0.3474005025640231,,0.0
