etf_code,best_metric_name,best_metric_label,surface_rule,moneyness_label,coverage_label,surface_point_id,sleeve_name,moneyness_axis,target_moneyness,avg_realized_moneyness,median_realized_moneyness,target_delta,avg_entry_delta,median_entry_delta,coverage,sample_start,sample_end,n_trading_days,n_periods,avg_actual_dte,avg_premium_return,source_detail,source_file_daily,source_file_period,source_quality,cumulative_return,annualized_return_cagr,arithmetic_annualized_return,annualized_volatility,sharpe_daily_mean,max_drawdown,calmar_ratio,option_leg_annualized_pnl_contribution
510300,max_drawdown,MDD,ATM,ATM,Q100,surface_0110,510300_DTE30_ATM_Q100_DynamicHold,0.00137140753764895,0.0,0.0008398285566092929,0.00137140753764895,,0.5130250759493543,0.5100086424763388,1.0,2022-09-19,2026-05-27,890,44.0,29.613636363636363,0.017961287518261055,ver2_6_stepA_available_rules,outputs/multi_asset_rebalancing/ver2_6_early_close_strike_touch/intermediate/ver2_6_early_close_etf_daily_paths.csv,outputs/multi_asset_rebalancing/ver2_6_early_close_strike_touch/intermediate/ver2_6_early_close_etf_period_paths.csv,510500/159915 当前 Step A 真实路径为 ATM、D40、OTM5_up；未新增 OTM 网格。,0.2850126169050977,0.07358565445957388,0.07606380643327937,0.10038268592037979,0.7577383065204158,0.12833478115598185,0.5733882412604555,0.0007546239961880495
510300,option_leg_annualized_pnl_contribution,Option leg,OTM5_up,OTM +5%,Q100,surface_0130,510300_DTE30_OTM5_up_Q100_DynamicHold,0.06087762527184335,0.05,0.06257391381489678,0.06087762527184335,,0.11893412169732756,0.10757864218441121,1.0,2022-09-19,2026-05-27,890,44.0,29.613636363636363,0.0032004102640402184,ver2_6_stepA_available_rules,outputs/multi_asset_rebalancing/ver2_6_early_close_strike_touch/intermediate/ver2_6_early_close_etf_daily_paths.csv,outputs/multi_asset_rebalancing/ver2_6_early_close_strike_touch/intermediate/ver2_6_early_close_etf_period_paths.csv,510500/159915 当前 Step A 真实路径为 ATM、D40、OTM5_up；未新增 OTM 网格。,0.3543606735817797,0.08968270704252368,0.09635989105053587,0.14472868406819198,0.6657967746402909,0.2193126829071299,0.408926222841844,0.02105070861344459
510500,sharpe_daily_mean,Sharpe,OTM5_up,OTM +5%,Q10,surface_0151,510500_DTE30_OTM5_up_Q10_DynamicHold,0.06666501280973035,0.05,0.0678905706313673,0.06666501280973035,,0.12932254966332846,0.1271497883953432,0.1,2022-09-19,2026-05-27,890,44.0,29.613636363636363,0.003980918820449982,ver2_6_stepA_available_rules,outputs/multi_asset_rebalancing/ver2_6_early_close_strike_touch/intermediate/ver2_6_early_close_etf_daily_paths.csv,outputs/multi_asset_rebalancing/ver2_6_early_close_strike_touch/intermediate/ver2_6_early_close_etf_period_paths.csv,510500/159915 当前 Step A 真实路径为 ATM、D40、OTM5_up；未新增 OTM 网格。,0.44596818925210213,0.11006476315586311,0.12726609122493063,0.21413378967346133,0.5943297945597577,0.29851419200601625,0.36870864469199127,-0.002758213098854995
510500,annualized_return_cagr,CAGR,OTM5_up,OTM +5%,Q10,surface_0151,510500_DTE30_OTM5_up_Q10_DynamicHold,0.06666501280973035,0.05,0.0678905706313673,0.06666501280973035,,0.12932254966332846,0.1271497883953432,0.1,2022-09-19,2026-05-27,890,44.0,29.613636363636363,0.003980918820449982,ver2_6_stepA_available_rules,outputs/multi_asset_rebalancing/ver2_6_early_close_strike_touch/intermediate/ver2_6_early_close_etf_daily_paths.csv,outputs/multi_asset_rebalancing/ver2_6_early_close_strike_touch/intermediate/ver2_6_early_close_etf_period_paths.csv,510500/159915 当前 Step A 真实路径为 ATM、D40、OTM5_up；未新增 OTM 网格。,0.44596818925210213,0.11006476315586311,0.12726609122493063,0.21413378967346133,0.5943297945597577,0.29851419200601625,0.36870864469199127,-0.002758213098854995
510500,max_drawdown,MDD,ATM,ATM,Q100,surface_0140,510500_DTE30_ATM_Q100_DynamicHold,0.00088849788662055,0.0,0.0005464367406946932,0.00088849788662055,,0.5201856679866097,0.5145263815541552,1.0,2022-09-19,2026-05-27,890,44.0,29.613636363636363,0.020482685110499384,ver2_6_stepA_available_rules,outputs/multi_asset_rebalancing/ver2_6_early_close_strike_touch/intermediate/ver2_6_early_close_etf_daily_paths.csv,outputs/multi_asset_rebalancing/ver2_6_early_close_strike_touch/intermediate/ver2_6_early_close_etf_period_paths.csv,510500/159915 当前 Step A 真实路径为 ATM、D40、OTM5_up；未新增 OTM 网格。,0.1671960324696362,0.0447478923173652,0.05354912124039318,0.1395527189038982,0.38371965563257376,0.19469644968188948,0.22983414638776342,-0.07647518308339239
510500,option_leg_annualized_pnl_contribution,Option leg,OTM5_up,OTM +5%,Q10,surface_0151,510500_DTE30_OTM5_up_Q10_DynamicHold,0.06666501280973035,0.05,0.0678905706313673,0.06666501280973035,,0.12932254966332846,0.1271497883953432,0.1,2022-09-19,2026-05-27,890,44.0,29.613636363636363,0.003980918820449982,ver2_6_stepA_available_rules,outputs/multi_asset_rebalancing/ver2_6_early_close_strike_touch/intermediate/ver2_6_early_close_etf_daily_paths.csv,outputs/multi_asset_rebalancing/ver2_6_early_close_strike_touch/intermediate/ver2_6_early_close_etf_period_paths.csv,510500/159915 当前 Step A 真实路径为 ATM、D40、OTM5_up；未新增 OTM 网格。,0.44596818925210213,0.11006476315586311,0.12726609122493063,0.21413378967346133,0.5943297945597577,0.29851419200601625,0.36870864469199127,-0.002758213098854995
588000,sharpe_daily_mean,Sharpe,ATM,ATM,Q10,surface_0161,588000_DTE30_ATM_Q10_DynamicHold,0.0053619302949061,0.0,0.0006032826838843,0.0053619302949061,,0.5322309121912694,0.4975911905824409,0.1,2023-06-30,2026-05-27,703,,30.34285714285714,-0.7104598982096955,ver3_stepA_588000_q100_scaled,outputs/ver3_0_stepA_extension_588000_sleeve_clarification/daily/ver3_0_stepA_extension_588000_sleeve_daily_nav.csv,outputs/ver3_0_stepA_extension_588000_sleeve_clarification/summary/ver3_0_stepA_extension_588000_sleeve_summary.csv,588000 为短样本 extension；以已完成 Q100 日频期权腿缩放覆盖率，未新增 TP80 或新选券网格。,0.7507961146538065,0.22233748528414532,0.25176209329613825,0.32386196975121107,0.7773746744316428,0.34210177225064997,0.6499162042377373,-0.020488203496781758
588000,annualized_return_cagr,CAGR,ATM,ATM,Q10,surface_0161,588000_DTE30_ATM_Q10_DynamicHold,0.0053619302949061,0.0,0.0006032826838843,0.0053619302949061,,0.5322309121912694,0.4975911905824409,0.1,2023-06-30,2026-05-27,703,,30.34285714285714,-0.7104598982096955,ver3_stepA_588000_q100_scaled,outputs/ver3_0_stepA_extension_588000_sleeve_clarification/daily/ver3_0_stepA_extension_588000_sleeve_daily_nav.csv,outputs/ver3_0_stepA_extension_588000_sleeve_clarification/summary/ver3_0_stepA_extension_588000_sleeve_summary.csv,588000 为短样本 extension；以已完成 Q100 日频期权腿缩放覆盖率，未新增 TP80 或新选券网格。,0.7507961146538065,0.22233748528414532,0.25176209329613825,0.32386196975121107,0.7773746744316428,0.34210177225064997,0.6499162042377373,-0.020488203496781758
588000,max_drawdown,MDD,ATM,ATM,Q100,surface_0170,588000_DTE30_ATM_Q100_DynamicHold,0.0053619302949061,0.0,0.0006032826838843,0.0053619302949061,,0.5322309121912694,0.4975911905824409,1.0,2023-06-30,2026-05-27,703,,30.34285714285714,-0.7104598982096955,ver3_stepA_588000_q100_scaled,outputs/ver3_0_stepA_extension_588000_sleeve_clarification/daily/ver3_0_stepA_extension_588000_sleeve_daily_nav.csv,outputs/ver3_0_stepA_extension_588000_sleeve_clarification/summary/ver3_0_stepA_extension_588000_sleeve_summary.csv,588000 为短样本 extension；以已完成 Q100 日频期权腿缩放覆盖率，未新增 TP80 或新选券网格。,0.15470677592736126,0.0529162868201003,0.06736826182510233,0.1777325899171652,0.37904281852022903,0.19213782740573182,0.275407958623153,-0.20488203496781765
588000,option_leg_annualized_pnl_contribution,Option leg,OTM5_up,OTM +5%,Q10,surface_0181,588000_DTE30_OTM5_up_Q10_DynamicHold,0.0501355013550135,0.05,0.0534362639948709,0.0501355013550135,,0.2843714510576153,0.2870695712298968,0.1,2023-06-30,2026-05-27,703,,30.34285714285714,-2.0921203155601704,ver3_stepA_588000_q100_scaled,outputs/ver3_0_stepA_extension_588000_sleeve_clarification/daily/ver3_0_stepA_extension_588000_sleeve_daily_nav.csv,outputs/ver3_0_stepA_extension_588000_sleeve_clarification/summary/ver3_0_stepA_extension_588000_sleeve_summary.csv,588000 为短样本 extension；以已完成 Q100 日频期权腿缩放覆盖率，未新增 TP80 或新选券网格。,0.7498207553285481,0.2220933429811469,0.25318027737326954,0.32891848238340404,0.7697356364369631,0.35388819357131485,0.6275805381916226,-0.019070019419650457
