surface_point_id,etf_code,surface_rule,sleeve_name,moneyness_label,moneyness_axis,target_moneyness,avg_realized_moneyness,median_realized_moneyness,target_delta,avg_entry_delta,median_entry_delta,coverage,coverage_label,sample_start,sample_end,n_trading_days,n_periods,avg_actual_dte,avg_premium_return,source_detail,source_file_daily,source_file_period,source_quality,cumulative_return,annualized_return_cagr,arithmetic_annualized_return,annualized_volatility,sharpe_daily_mean,max_drawdown,calmar_ratio,option_leg_annualized_pnl_contribution
surface_0011,159915,D40,159915_DTE30_D40_Q10_DynamicHold,Delta 40,0.02184078558346365,,0.02120350650860278,0.02184078558346365,0.4,0.3999137848070514,0.4001996374537553,0.1,Q10,2022-09-19,2026-05-27,890,44.0,29.613636363636363,0.018622626672011297,ver2_6_stepA_available_rules,outputs/multi_asset_rebalancing/ver2_6_early_close_strike_touch/intermediate/ver2_6_early_close_etf_daily_paths.csv,outputs/multi_asset_rebalancing/ver2_6_early_close_strike_touch/intermediate/ver2_6_early_close_etf_period_paths.csv,510500/159915 当前 Step A 真实路径为 ATM、D40、OTM5_up；未新增 OTM 网格。,0.7552670703163016,0.17269430935186936,0.20222817348461603,0.2953354320087383,0.684740642560736,0.3944295535806652,0.4378330877697567,-0.009071380572839688
surface_0012,159915,D40,159915_DTE30_D40_Q20_DynamicHold,Delta 40,0.02184078558346365,,0.02120350650860278,0.02184078558346365,0.4,0.3999137848070514,0.4001996374537553,0.2,Q20,2022-09-19,2026-05-27,890,44.0,29.613636363636363,0.018622626672011297,ver2_6_stepA_available_rules,outputs/multi_asset_rebalancing/ver2_6_early_close_strike_touch/intermediate/ver2_6_early_close_etf_daily_paths.csv,outputs/multi_asset_rebalancing/ver2_6_early_close_strike_touch/intermediate/ver2_6_early_close_etf_period_paths.csv,510500/159915 当前 Step A 真实路径为 ATM、D40、OTM5_up；未新增 OTM 网格。,0.7318242767980181,0.16823824461381398,0.19315679291177631,0.27617007138149485,0.6994124741524003,0.3830819790344494,0.4391703442637922,-0.018142761145679375
surface_0013,159915,D40,159915_DTE30_D40_Q30_DynamicHold,Delta 40,0.02184078558346365,,0.02120350650860278,0.02184078558346365,0.4,0.3999137848070514,0.4001996374537553,0.3,Q30,2022-09-19,2026-05-27,890,44.0,29.613636363636363,0.018622626672011297,ver2_6_stepA_available_rules,outputs/multi_asset_rebalancing/ver2_6_early_close_strike_touch/intermediate/ver2_6_early_close_etf_daily_paths.csv,outputs/multi_asset_rebalancing/ver2_6_early_close_strike_touch/intermediate/ver2_6_early_close_etf_period_paths.csv,510500/159915 当前 Step A 真实路径为 ATM、D40、OTM5_up；未新增 OTM 网格。,0.7049085122731495,0.163068381386279,0.1840854123389367,0.2581281787607557,0.7131550426718617,0.3715522107711646,0.43888416394516144,-0.02721414171851907
surface_0014,159915,D40,159915_DTE30_D40_Q40_DynamicHold,Delta 40,0.02184078558346365,,0.02120350650860278,0.02184078558346365,0.4,0.3999137848070514,0.4001996374537553,0.4,Q40,2022-09-19,2026-05-27,890,44.0,29.613636363636363,0.018622626672011297,ver2_6_stepA_available_rules,outputs/multi_asset_rebalancing/ver2_6_early_close_strike_touch/intermediate/ver2_6_early_close_etf_daily_paths.csv,outputs/multi_asset_rebalancing/ver2_6_early_close_strike_touch/intermediate/ver2_6_early_close_etf_period_paths.csv,510500/159915 当前 Step A 真实路径为 ATM、D40、OTM5_up；未新增 OTM 网格。,0.6747116450724191,0.15719817942061098,0.17501403176609698,0.2414617204242572,0.7248106716815851,0.36017487923693436,0.4364495929134499,-0.03628552229135875
surface_0015,159915,D40,159915_DTE30_D40_Q50_DynamicHold,Delta 40,0.02184078558346365,,0.02120350650860278,0.02184078558346365,0.4,0.3999137848070514,0.4001996374537553,0.5,Q50,2022-09-19,2026-05-27,890,44.0,29.613636363636363,0.018622626672011297,ver2_6_stepA_available_rules,outputs/multi_asset_rebalancing/ver2_6_early_close_strike_touch/intermediate/ver2_6_early_close_etf_daily_paths.csv,outputs/multi_asset_rebalancing/ver2_6_early_close_strike_touch/intermediate/ver2_6_early_close_etf_period_paths.csv,510500/159915 当前 Step A 真实路径为 ATM、D40、OTM5_up；未新增 OTM 网格。,0.6414341713005234,0.15064056111906043,0.16594265119325727,0.22647455840900207,0.7327209394247847,0.3486233033784887,0.4321012383831238,-0.04535690286419846
surface_0016,159915,D40,159915_DTE30_D40_Q60_DynamicHold,Delta 40,0.02184078558346365,,0.02120350650860278,0.02184078558346365,0.4,0.3999137848070514,0.4001996374537553,0.6,Q60,2022-09-19,2026-05-27,890,44.0,29.613636363636363,0.018622626672011297,ver2_6_stepA_available_rules,outputs/multi_asset_rebalancing/ver2_6_early_close_strike_touch/intermediate/ver2_6_early_close_etf_daily_paths.csv,outputs/multi_asset_rebalancing/ver2_6_early_close_strike_touch/intermediate/ver2_6_early_close_etf_period_paths.csv,510500/159915 当前 Step A 真实路径为 ATM、D40、OTM5_up；未新增 OTM 网格。,0.605284132885811,0.14340797192099064,0.15687127062041764,0.21352059900458242,0.7346891651285176,0.3368954934417452,0.4256749487976996,-0.05442828343703814
surface_0017,159915,D40,159915_DTE30_D40_Q70_DynamicHold,Delta 40,0.02184078558346365,,0.02120350650860278,0.02184078558346365,0.4,0.3999137848070514,0.4001996374537553,0.7,Q70,2022-09-19,2026-05-27,890,44.0,29.613636363636363,0.018622626672011297,ver2_6_stepA_available_rules,outputs/multi_asset_rebalancing/ver2_6_early_close_strike_touch/intermediate/ver2_6_early_close_etf_daily_paths.csv,outputs/multi_asset_rebalancing/ver2_6_early_close_strike_touch/intermediate/ver2_6_early_close_etf_period_paths.csv,510500/159915 当前 Step A 真实路径为 ATM、D40、OTM5_up；未新增 OTM 网格。,0.5664760126015991,0.13551243085253928,0.14779989004757793,0.20298946822042693,0.7281160512578,0.3249894514916849,0.4169748594317267,-0.06349966400987785
surface_0018,159915,D40,159915_DTE30_D40_Q80_DynamicHold,Delta 40,0.02184078558346365,,0.02120350650860278,0.02184078558346365,0.4,0.3999137848070514,0.4001996374537553,0.8,Q80,2022-09-19,2026-05-27,890,44.0,29.613636363636363,0.018622626672011297,ver2_6_stepA_available_rules,outputs/multi_asset_rebalancing/ver2_6_early_close_strike_touch/intermediate/ver2_6_early_close_etf_daily_paths.csv,outputs/multi_asset_rebalancing/ver2_6_early_close_strike_touch/intermediate/ver2_6_early_close_etf_period_paths.csv,510500/159915 当前 Step A 真实路径为 ATM、D40、OTM5_up；未新增 OTM 网格。,0.525229612737401,0.12696557237439343,0.1387285094747382,0.19527355077931205,0.710431642795915,0.3129031717382844,0.40576633234190673,-0.0725710445827175
surface_0019,159915,D40,159915_DTE30_D40_Q90_DynamicHold,Delta 40,0.02184078558346365,,0.02120350650860278,0.02184078558346365,0.4,0.3999137848070514,0.4001996374537553,0.9,Q90,2022-09-19,2026-05-27,890,44.0,29.613636363636363,0.018622626672011297,ver2_6_stepA_available_rules,outputs/multi_asset_rebalancing/ver2_6_early_close_strike_touch/intermediate/ver2_6_early_close_etf_daily_paths.csv,outputs/multi_asset_rebalancing/ver2_6_early_close_strike_touch/intermediate/ver2_6_early_close_etf_period_paths.csv,510500/159915 当前 Step A 真实路径为 ATM、D40、OTM5_up；未新增 OTM 网格。,0.4817689241320404,0.11777868044939899,0.12965712890189854,0.19071484597671529,0.6798481168987159,0.302276447735471,0.3896389590778498,-0.08164242515555718
surface_0020,159915,D40,159915_DTE30_D40_Q100_DynamicHold,Delta 40,0.02184078558346365,,0.02120350650860278,0.02184078558346365,0.4,0.3999137848070514,0.4001996374537553,1.0,Q100,2022-09-19,2026-05-27,890,44.0,29.613636363636363,0.018622626672011297,ver2_6_stepA_available_rules,outputs/multi_asset_rebalancing/ver2_6_early_close_strike_touch/intermediate/ver2_6_early_close_etf_daily_paths.csv,outputs/multi_asset_rebalancing/ver2_6_early_close_strike_touch/intermediate/ver2_6_early_close_etf_period_paths.csv,510500/159915 当前 Step A 真实路径为 ATM、D40、OTM5_up；未新增 OTM 网格。,0.4363209922677287,0.1079627155720202,0.12058574832905883,0.18954129559095234,0.6361977634113783,0.293758691735,0.36752177419626264,-0.09071380572839692
