etf_code,best_metric_name,best_metric_label,moneyness_label,coverage_label,surface_point_id,sleeve_name,parameter_grid_role,sample_scope,sample_start,sample_end,n_trading_days,target_moneyness,coverage,annualized_return_cagr,arithmetic_annualized_return,annualized_volatility,sharpe_daily_mean,sortino_ratio,calmar_ratio,max_drawdown,monthly_win_rate,worst_month_return,best_month_return,option_leg_annualized_pnl_contribution,premium_capture_ratio_agg,payoff_burden_agg,positive_option_leg_period_rate,assignment_rate,p95_short_call_mtm_loss,p99_short_call_mtm_loss,max_short_call_mtm_loss,avg_actual_dte,avg_realized_moneyness,median_realized_moneyness,selected_periods,skipped_periods,avg_active_coverage,annualized_return_cagr_vs_buyhold,sharpe_diff_vs_buyhold,mdd_improvement_vs_buyhold,option_leg_verdict,recommendation_read,source_engine
159915,sharpe_daily_mean,Sharpe,OTM7,Q20,mny_daily_0062,159915_DTE30_OTM7_Q20_Hold,surface,main_stepA_common_sample,2022-09-30,2026-05-27,881,0.07,0.2,0.175034082951585,0.2024212226887271,0.2884400982531292,0.7017790657909371,1.2982577754782143,0.4391317743135415,0.3985912502578558,0.4772727272727273,-0.1641596165359812,0.365444383360443,-0.0191099683192937,-0.90922102407861,1.88372102407861,0.7954545454545454,0.25,0.0047375385972651,0.041816149068323,0.1175527950310559,30.34090909090909,0.0700741103195983,0.0716239534863477,44,0,0.1999999999999999,-0.0131896808541598,0.0013134505437232,0.0101592424500679,negative option leg,"risk-adjusted defensive tradeoff, not a return upgrade",continuous_30d_daily_mtm
159915,annualized_return_cagr,CAGR,OTM7,Q10,mny_daily_0061,159915_DTE30_OTM7_Q10_Hold,surface,main_stepA_common_sample,2022-09-30,2026-05-27,881,0.07,0.1,0.1818024745859976,0.2119870647849197,0.3020861469150455,0.7017437474368398,1.3116746783200024,0.4514432023249918,0.4027139486200943,0.4772727272727273,-0.1659575724485396,0.4015617643259486,-0.0095549841596468,-0.90922102407861,1.88372102407861,0.7954545454545454,0.25,0.0023687692986325,0.0209080745341615,0.0587763975155279,30.34090909090909,0.0700741103195983,0.0716239534863477,44,0,0.0999999999999999,-0.0064212892197472,0.0012781321896259,0.0060365440878293,near-flat option leg,"risk-adjusted defensive tradeoff, not a return upgrade",continuous_30d_daily_mtm
159915,max_drawdown,MDD,ATM,Q100,mny_daily_0010,159915_DTE30_ATM_Q100_Hold,surface,main_stepA_common_sample,2022-09-30,2026-05-27,881,0.0,1.0,0.0526316876836481,0.0624520960239925,0.1483025597155426,0.4211127315926385,0.6189810644636304,0.2089548016373866,0.2518807286131832,0.5454545454545454,-0.0961318281043797,0.0966836066320819,-0.1589202196983711,-0.43563284450922,1.41013284450922,0.6136363636363636,0.5454545454545454,0.0651239669421487,0.2517391304347831,0.6342857142857143,30.34090909090909,-0.0016393267800932,-0.0024498267294932,44,0,1.0,-0.1355920761220967,-0.2793528836545753,0.1568697640947405,negative option leg,drawdown cushion with visible return cost,continuous_30d_daily_mtm
159915,option_leg_annualized_pnl_contribution,Option leg,OTM7,Q10,mny_daily_0061,159915_DTE30_OTM7_Q10_Hold,surface,main_stepA_common_sample,2022-09-30,2026-05-27,881,0.07,0.1,0.1818024745859976,0.2119870647849197,0.3020861469150455,0.7017437474368398,1.3116746783200024,0.4514432023249918,0.4027139486200943,0.4772727272727273,-0.1659575724485396,0.4015617643259486,-0.0095549841596468,-0.90922102407861,1.88372102407861,0.7954545454545454,0.25,0.0023687692986325,0.0209080745341615,0.0587763975155279,30.34090909090909,0.0700741103195983,0.0716239534863477,44,0,0.0999999999999999,-0.0064212892197472,0.0012781321896259,0.0060365440878293,near-flat option leg,"risk-adjusted defensive tradeoff, not a return upgrade",continuous_30d_daily_mtm
510050,sharpe_daily_mean,Sharpe,ATM,Q100,mny_daily_0080,510050_DTE30_ATM_Q100_Hold,surface,main_stepA_common_sample,2022-09-30,2026-05-27,881,0.0,1.0,0.0669283295637235,0.0690114701494536,0.0918164278734728,0.7516244287411675,1.139392829770408,0.7115376943748405,0.0940615375584943,0.7045454545454546,-0.0888139499677465,0.071089849692161,0.0192225056064006,0.0892242591276646,0.8852757408723353,0.6818181818181818,0.5681818181818182,0.0273009708737864,0.0921290322580647,0.1789112903225806,30.34090909090909,-0.0003746881956516,-0.0009804551019562,44,0,1.0,0.0299751404349211,0.4490963107569322,0.1218036783067214,positive option leg,dominates buyhold in this diagnostic grid,continuous_30d_daily_mtm
510050,annualized_return_cagr,CAGR,OTM2,Q100,mny_daily_0100,510050_DTE30_OTM2_Q100_Hold,surface,main_stepA_common_sample,2022-09-30,2026-05-27,881,0.02,1.0,0.0708662513162801,0.0747109837471005,0.1116717836939738,0.6690229284045387,1.0673950077180514,0.5866185308779336,0.1208046585405708,0.5681818181818182,-0.1013237004982557,0.093427850768549,0.0249155498356054,0.1981521069618034,0.7763478930381965,0.7727272727272727,0.3181818181818182,0.0181522181522181,0.0792741935483874,0.1666935483870967,30.34090909090909,0.0203326524677759,0.0192731615793364,44,0,1.0,0.0339130621874776,0.3664948104203033,0.0950605573246449,positive option leg,dominates buyhold in this diagnostic grid,continuous_30d_daily_mtm
510050,max_drawdown,MDD,ATM,Q100,mny_daily_0080,510050_DTE30_ATM_Q100_Hold,surface,main_stepA_common_sample,2022-09-30,2026-05-27,881,0.0,1.0,0.0669283295637235,0.0690114701494536,0.0918164278734728,0.7516244287411675,1.139392829770408,0.7115376943748405,0.0940615375584943,0.7045454545454546,-0.0888139499677465,0.071089849692161,0.0192225056064006,0.0892242591276646,0.8852757408723353,0.6818181818181818,0.5681818181818182,0.0273009708737864,0.0921290322580647,0.1789112903225806,30.34090909090909,-0.0003746881956516,-0.0009804551019562,44,0,1.0,0.0299751404349211,0.4490963107569322,0.1218036783067214,positive option leg,dominates buyhold in this diagnostic grid,continuous_30d_daily_mtm
510050,option_leg_annualized_pnl_contribution,Option leg,OTM2,Q100,mny_daily_0100,510050_DTE30_OTM2_Q100_Hold,surface,main_stepA_common_sample,2022-09-30,2026-05-27,881,0.02,1.0,0.0708662513162801,0.0747109837471005,0.1116717836939738,0.6690229284045387,1.0673950077180514,0.5866185308779336,0.1208046585405708,0.5681818181818182,-0.1013237004982557,0.093427850768549,0.0249155498356054,0.1981521069618034,0.7763478930381965,0.7727272727272727,0.3181818181818182,0.0181522181522181,0.0792741935483874,0.1666935483870967,30.34090909090909,0.0203326524677759,0.0192731615793364,44,0,1.0,0.0339130621874776,0.3664948104203033,0.0950605573246449,positive option leg,dominates buyhold in this diagnostic grid,continuous_30d_daily_mtm
510300,sharpe_daily_mean,Sharpe,OTM4,Q100,mny_daily_0190,510300_DTE30_OTM4_Q100_Hold,surface,main_stepA_common_sample,2022-09-30,2026-05-27,881,0.04,1.0,0.0930802422802836,0.0973804046344657,0.1292870400521867,0.7532108755460568,1.2395375362438812,0.502402642743277,0.1852702083174486,0.5681818181818182,-0.0706130289055492,0.0932528949073514,0.0124615636364073,0.188435381901192,0.786064618098808,0.8636363636363636,0.1363636363636363,0.0083128491620111,0.0925849165227409,0.2171848013816925,30.34090909090909,0.0383876538672487,0.0368032268652045,44,0,1.0,0.0210134463006013,0.2689154027385903,0.0565847262842155,positive option leg,dominates buyhold in this diagnostic grid,continuous_30d_daily_mtm
510300,annualized_return_cagr,CAGR,OTM4,Q100,mny_daily_0190,510300_DTE30_OTM4_Q100_Hold,surface,main_stepA_common_sample,2022-09-30,2026-05-27,881,0.04,1.0,0.0930802422802836,0.0973804046344657,0.1292870400521867,0.7532108755460568,1.2395375362438812,0.502402642743277,0.1852702083174486,0.5681818181818182,-0.0706130289055492,0.0932528949073514,0.0124615636364073,0.188435381901192,0.786064618098808,0.8636363636363636,0.1363636363636363,0.0083128491620111,0.0925849165227409,0.2171848013816925,30.34090909090909,0.0383876538672487,0.0368032268652045,44,0,1.0,0.0210134463006013,0.2689154027385903,0.0565847262842155,positive option leg,dominates buyhold in this diagnostic grid,continuous_30d_daily_mtm
