source_experiment,source_file,etf_code,sleeve_name,display_name,sample_scope,sample_start,sample_end,moneyness_label,moneyness_axis,avg_realized_moneyness,median_realized_moneyness,coverage_label,coverage_axis,avg_active_coverage,avg_entry_delta,median_entry_delta,annualized_return_cagr,sharpe_daily_mean,max_drawdown,option_leg_annualized_pnl_contribution,classification,recommendation_status,point_role,notes,reason,caveat,n_trading_days,arithmetic_annualized_return,annualized_volatility,cagr_vol_ratio,sortino_ratio,calmar_ratio,monthly_win_rate,premium_capture_ratio_agg,payoff_burden_agg,premium_capture_ratio_period_mean,payoff_burden_period_mean,positive_option_leg_period_rate,assignment_rate,p95_short_call_mtm_loss,p99_short_call_mtm_loss,max_short_call_mtm_loss,avg_actual_dte,gap_periods,early_close_rate,cumulative_return,max_drawdown_start,max_drawdown_trough,max_drawdown_recovery,drawdown_duration,worst_month_return,best_month_return
ver3_0_stepA_single_etf_sleeves,outputs/ver3_0_stepA_single_etf_sleeves/summary/ver3_0_stepA_single_etf_sleeve_summary.csv,510300,510300_DTE30_ATM_Q100_Hold,510300 ATM_Q100,common_portfolio_sample,2022-09-19,2026-05-27,ATM,0.0013714075376489,0.0008398285566092,0.0013714075376489,Q100,1.0,1.0,0.5130250759493543,0.5100086424763388,0.0738434553695277,0.7597667877017306,0.1283347811559818,0.000754623996188,Stress Test Only,diagnostic_only,diagnostic,ATM defensive baseline; Q100 stress-style reference,Q100 is retained as a full-coverage stress test.,Do not promote by default even when in-sample metrics look good.,890,0.076309554491243,0.1004381288132861,0.7352133720730927,1.160479453084184,0.5753970568569112,0.6590909090909091,0.003372328987205,0.9711276710127974,0.0386008814055381,0.9358991185944644,0.6590909090909091,0.4545454545454545,0.0305123165618447,0.0735181318681318,0.1817582417582417,29.613636363636363,0,0.0,,,,,,,
ver3_0_stepA_single_etf_sleeves,outputs/ver3_0_stepA_single_etf_sleeves/summary/ver3_0_stepA_single_etf_sleeve_summary.csv,510300,510300_DTE30_D40_Q100_TouchK,510300 D40_Q100_TouchK,common_portfolio_sample,2022-09-19,2026-05-27,Delta 40,0.0149753682624139,0.0146035826085634,0.0149753682624139,Q100,0.4842696629213483,0.4842696629213483,0.3966910870158797,0.3972324896861363,0.0430982539283251,0.3434930492155457,0.2439311658089413,-0.0204578665986532,Stress Test Only,diagnostic_only,diagnostic,Touch-K rejected appendix diagnostic,Touch-K is retained as rejected appendix diagnostic.,Not a default portfolio-layer sleeve.,890,0.0549960086533751,0.1601080685008695,0.2691822737721119,0.573397610495683,0.1766820315288524,0.5,-0.1352376567209095,1.082143009966762,-0.0839022810158813,1.0320841355591293,0.3863636363636363,0.0,0.0,0.0038991773581337,0.0064362964916908,29.613636363636363,0,0.6818181818181818,,,,,,,
ver3_0_stepA_single_etf_sleeves,outputs/ver3_0_stepA_single_etf_sleeves/summary/ver3_0_stepA_single_etf_sleeve_summary.csv,510300,510300_DTE30_D40_Q50_Hold,510300 D40_Q50,common_portfolio_sample,2022-09-19,2026-05-27,Delta 40,0.0149753682624139,0.0146035826085634,0.0149753682624139,Q50,0.5,0.5,0.3966910870158797,0.3972324896861363,0.0732627803354455,0.5782784454826436,0.1893374329235755,0.004910348925371,Positive Carry Overlay,backup_for_portfolio_layer,backup,medium coverage candidate,Net option leg is positive while Sharpe and drawdown are at least as good as BuyHold.,Still sample-limited and not an arbitrage claim.,890,0.0803512634543437,0.138949089460322,0.5272634791634694,0.988352131378652,0.3869429262042305,0.5681818181818182,0.0649201693780609,0.909579830621942,0.1038678798287147,0.8706321201712889,0.7272727272727273,0.3863636363636363,0.010171645702306,0.030309478021978,0.0840521978021978,29.613636363636363,0,0.0,,,,,,,
ver3_0_stepA_single_etf_sleeves,outputs/ver3_0_stepA_single_etf_sleeves/summary/ver3_0_stepA_single_etf_sleeve_summary.csv,510300,510300_DTE30_D40_Q70_TP80,510300 D40_Q70_TP80,common_portfolio_sample,2022-09-19,2026-05-27,Delta 40,0.0149753682624139,0.0146035826085634,0.0149753682624139,Q70,0.5293258426966292,0.5293258426966292,0.3966910870158797,0.3972324896861363,0.0771450007419882,0.6358028180512275,0.1732309375887918,0.0073346989980601,Diagnostic Only,diagnostic_only,diagnostic,TP80 path-management appendix,TP80 close-and-wait is a path-management diagnostic.,Closed cycles wait to original expiry; no immediate rewrite.,890,0.0827949391394074,0.1302210949507564,0.5924155435120624,1.0721512569177238,0.4453303885308972,0.5681818181818182,0.0692662300040944,0.9032532554770444,0.1300013574249736,0.8423936737467003,0.7727272727272727,0.3181818181818182,0.0142403039832284,0.0424332692307692,0.1176730769230769,29.613636363636363,0,0.6818181818181818,,,,,,,
ver3_0_stepA_single_etf_sleeves,outputs/ver3_0_stepA_single_etf_sleeves/summary/ver3_0_stepA_single_etf_sleeve_summary.csv,510300,510300_DTE30_D40_Q70_Hold,510300 D40_Q70,common_portfolio_sample,2022-09-19,2026-05-27,Delta 40,0.0149753682624139,0.0146035826085634,0.0149753682624139,Q70,0.7,0.7,0.3966910870158797,0.3972324896861363,0.0769978555832706,0.6449520606698768,0.1718763984229173,0.0068744884955194,Positive Carry Overlay,primary_for_portfolio_layer,primary,high coverage candidate,Net option leg is positive while Sharpe and drawdown are at least as good as BuyHold.,Still sample-limited and not an arbitrage claim.,890,0.0823342109647597,0.1276594277088496,0.6031505621259572,1.0753475019792094,0.4479838784718452,0.5681818181818182,0.0649201693780609,0.9095798306219424,0.1038678798287147,0.8706321201712889,0.7272727272727273,0.3863636363636363,0.0142403039832284,0.0424332692307692,0.1176730769230769,29.613636363636363,0,0.0,,,,,,,
ver3_0_stepA_single_etf_sleeves,outputs/ver3_0_stepA_single_etf_sleeves/summary/ver3_0_stepA_single_etf_sleeve_summary.csv,510300,510300_DTE30_D40_Q100_TP80,510300 D40_Q100_TP80,common_portfolio_sample,2022-09-19,2026-05-27,Delta 40,0.0149753682624139,0.0146035826085634,0.0149753682624139,Q100,0.7561797752808989,0.7561797752808989,0.3966910870158797,0.3972324896861363,0.0820064735789687,0.7195720791740003,0.1537717850515622,0.0104781414258002,Stress Test Only,diagnostic_only,diagnostic,high-coverage TP80 stress test,Q100 is retained as a full-coverage stress test.,Do not promote by default even when in-sample metrics look good.,890,0.0859668153370252,0.1194693593944151,0.6864226442215466,1.1627798914076013,0.5332998739103576,0.5681818181818182,0.0692662300040944,0.9032532554770444,0.1300013574249736,0.8423936737467003,0.7727272727272727,0.3181818181818182,0.020343291404612,0.060618956043956,0.1681043956043956,29.613636363636363,0,0.6818181818181818,,,,,,,
ver3_0_stepA_single_etf_sleeves,outputs/ver3_0_stepA_single_etf_sleeves/summary/ver3_0_stepA_single_etf_sleeve_summary.csv,510300,510300_DTE30_D40_Q100_Hold,510300 D40_Q100,common_portfolio_sample,2022-09-19,2026-05-27,Delta 40,0.0149753682624139,0.0146035826085634,0.0149753682624139,Q100,1.0,1.0,0.3966910870158797,0.3972324896861363,0.0817620149473512,0.737149341761305,0.1483936644646655,0.009820697850742,Stress Test Only,diagnostic_only,diagnostic,full coverage stress test,Q100 is retained as a full-coverage stress test.,Do not promote by default even when in-sample metrics look good.,890,0.0853086322303857,0.1157277466009179,0.7065031278048124,1.1698814377047158,0.5509804966560407,0.6136363636363636,0.0649201693780609,0.909579830621942,0.1038678798287147,0.8706321201712889,0.7272727272727273,0.3863636363636363,0.020343291404612,0.060618956043956,0.1681043956043956,29.613636363636363,0,0.0,,,,,,,
ver3_0_stepA_single_etf_sleeves,outputs/ver3_0_stepA_single_etf_sleeves/summary/ver3_0_stepA_single_etf_sleeve_summary.csv,510500,510500_DTE30_D40_Q100_Hold,510500 D40_Q100,common_portfolio_sample,2022-09-19,2026-05-27,Delta 40,0.0187647398946318,0.0174423468143857,0.0187647398946318,Q100,1.0,1.0,0.38982471251847,0.3900953404945682,0.0658835991718935,0.4907904855994632,0.2392536513631095,-0.0544788492446674,Stress Test Only,diagnostic_only,diagnostic,near-delta diagnostic stress test,Q100 is retained as a full-coverage stress test.,Do not promote by default even when in-sample metrics look good.,890,0.0757532868957473,0.1543495424594886,0.426846740988466,0.753265371662236,0.2753713424916705,0.6363636363636364,-0.3162674829828677,1.2907674829828713,-0.4106943889833985,1.3851943889834029,0.6590909090909091,0.4318181818181818,0.0364245688675844,0.096557597312784,0.1857340446552065,29.613636363636363,0,0.0,,,,,,,
ver3_0_stepA_single_etf_sleeves,outputs/ver3_0_stepA_single_etf_sleeves/summary/ver3_0_stepA_single_etf_sleeve_summary.csv,510500,510500_DTE30_OTM5up_Q50_TP80,510500 OTM5up_Q50_TP80,common_portfolio_sample,2022-09-19,2026-05-27,OTM +5%,0.0666650128097303,0.0678905706313673,0.0666650128097303,Q50,0.3123595505617977,0.3123595505617977,0.1293225496633284,0.1271497883953432,0.1033115146868819,0.5901111914484156,0.294858026111669,-0.0117488118513725,Diagnostic Only,diagnostic_only,diagnostic,TP80 path-management diagnostic,TP80 close-and-wait is a path-management diagnostic.,Closed cycles wait to original expiry; no immediate rewrite.,890,0.1184301512013902,0.2006912475438839,0.5147783769907128,1.0033741608206237,0.3503771494683874,0.5,-0.4737807515539128,1.4453173921288145,-0.2086346004925086,1.1799458068291229,0.8863636363636364,0.1136363636363636,0.0059158278450155,0.031160343805572,0.0770796285319107,29.613636363636363,0,0.8863636363636364,,,,,,,
ver3_0_stepA_single_etf_sleeves,outputs/ver3_0_stepA_single_etf_sleeves/summary/ver3_0_stepA_single_etf_sleeve_summary.csv,510500,510500_DTE30_OTM5up_Q50_TouchK,510500 OTM5up_Q50_TouchK,common_portfolio_sample,2022-09-19,2026-05-27,OTM +5%,0.0666650128097303,0.0678905706313673,0.0666650128097303,Q50,0.448314606741573,0.448314606741573,0.1293225496633284,0.1271497883953432,0.0941508905992627,0.5370297496008327,0.2942111359246147,-0.0186285142110095,Stress Test Only,diagnostic_only,diagnostic,Touch-K rejected appendix diagnostic,Touch-K is retained as rejected appendix diagnostic.,Not a default portfolio-layer sleeve.,890,0.1115427101439354,0.2077030373584399,0.4532956850158308,0.8975529000249389,0.3200113085569503,0.4772727272727273,-0.7512105542990525,1.6827991753281926,-0.0610385002005833,1.0097888836670783,0.7727272727272727,0.0,0.0016575280946775,0.0042976271765107,0.0179707567674372,29.613636363636363,0,0.2272727272727272,,,,,,,
