entity_name,phase_count,phase_success_count,phase_failure_count,sharpe_mean,sharpe_median,sharpe_std,sharpe_min,sharpe_p10,sharpe_p25,sharpe_p75,sharpe_max,cagr_mean,cagr_median,cagr_std,mdd_mean,mdd_median,mdd_p75,mdd_p90,mdd_max,option_leg_mean,option_leg_median,option_leg_std,positive_option_leg_phase_rate,phase_hit_rate_vs_buyhold,phase_hit_rate_mdd_below_buyhold,phase_hit_rate_sharpe_positive,phase_fragility_score,phase_robust_score,phase_robustness_label,entity_type
510300_DTE30_D40_Q70_Hold,21,21,0,0.7961825404327588,0.7975980841833774,0.0038717678027622208,0.7870449243812337,0.7871065594128628,0.7973107168672405,0.7976740111362072,0.80055131769926,0.09453371964458951,0.09430618293445092,0.00034531388324277783,0.1644845817073669,0.1644845817073669,0.16448458170736702,0.16448458170736702,0.16448458170736713,0.0001784484819638183,-0.00017373037929163863,0.0007609106556371232,0.38095238095238093,1.0,1.0,1.0,0.00486290862111738,0.7956622002819963,High Phase Robustness,sleeve
510050_DTE30_D40_Q70_Hold,21,21,0,0.7152174243963405,0.7091895555084327,0.013386285479138648,0.7025289536247,0.7025290262714673,0.7025291594924647,0.7261046338739784,0.7335343240890668,0.08001246498351457,0.0786203001250152,0.002320710494792884,0.1470513256640282,0.14705132566402823,0.14705132566402834,0.14705132566402834,0.14705132566402845,0.010320737307340292,0.008418024499751953,0.0026972923847140107,1.0,1.0,1.0,1.0,0.018716359957361216,0.7024964127688633,High Phase Robustness,sleeve
510300_ETF_BuyHold,21,21,0,0.5626904629539494,0.5626904629539499,1.815986883865947e-15,0.5626904629539466,0.5626904629539469,0.5626904629539478,0.5626904629539504,0.5626904629539529,0.08657741827839205,0.08657741827839205,0.0,0.2418549346016646,0.24185493460166474,0.24185493460166474,0.24185493460166474,0.24185493460166474,0.0,0.0,0.0,0.0,,,1.0,3.2273226153682857e-15,0.5208355283522843,Low Phase Robustness,sleeve
510500_ETF_BuyHold,21,21,0,0.6070469528885565,0.6070469528885563,8.93022436096578e-16,0.6070469528885548,0.6070469528885554,0.6070469528885558,0.607046952888557,0.607046952888558,0.11527828498535173,0.11527828498535175,6.713178136967714e-17,0.30162162162162154,0.30162162162162154,0.30162162162162154,0.30162162162162165,0.30162162162162176,0.0,0.0,0.0,0.0,,,1.0,1.4710904333788628e-15,0.5054253312669343,Low Phase Robustness,sleeve
159915_ETF_BuyHold,21,21,0,0.6888621260967814,0.688862126096781,1.2952073265539606e-15,0.6888621260967792,0.6888621260967799,0.6888621260967807,0.6888621260967824,0.6888621260967841,0.18391390758621418,0.18391390758621418,0.0,0.40875049270792274,0.40875049270792274,0.40875049270792285,0.40875049270792285,0.40875049270792285,0.0,0.0,0.0,0.0,,,1.0,1.8802099829219067e-15,0.4801116333888575,Low Phase Robustness,sleeve
159915_DTE30_OTM5up_Q50_Hold,21,21,0,0.6428913494527793,0.6437127444143939,0.004032070499940299,0.6373122225483021,0.6373213893865676,0.6392234932949105,0.6443581835441924,0.6530095384309725,0.1380849003261398,0.13833426401787308,0.0009856560188908712,0.37691299593274696,0.3769129959327471,0.3769129959327471,0.3769129959327471,0.3769129959327472,-0.05683300378225838,-0.056933098747603765,0.0011505267504003964,0.0,0.0,1.0,1.0,0.006271766188184288,0.4647837132316766,Low Phase Robustness,sleeve
510050_ETF_BuyHold,21,21,0,0.4545480772670774,0.4545480772670773,2.0051746622921266e-15,0.45454807726707463,0.4545480772670752,0.45454807726707575,0.454548077267079,0.4545480772670805,0.06269368845094708,0.06269368845094703,9.694605782913357e-17,0.21586521586521587,0.2158652158652159,0.2158652158652159,0.2158652158652159,0.215865215865216,0.0,0.0,0.0,0.0,,,1.0,4.411349098645194e-15,0.4386828614018604,Medium Phase Robustness,sleeve
B_default_D18,21,21,0,0.7910368402459024,0.7896029603618258,0.003358719040463105,0.7852786837968048,0.7862126314892286,0.7894810379149736,0.7949467405922638,0.7960829888342273,0.09618318316204383,0.09595190428553257,0.0006932108802031133,0.1734203775739531,0.1734203775739528,0.173420377573954,0.17342037757395456,0.17342037757395656,-0.002151164157591134,-0.002914965469161001,0.0010974826520188511,0.0,1.0,1.0,1.0,0.004245965072187966,0.7879236008415942,High Phase Robustness,portfolio
B_default_D20,21,21,0,0.7845938438893769,0.7840419411543877,0.0031507693052377586,0.7783131976999239,0.7789098988506536,0.7838458215643936,0.7867639906196687,0.7903524668704541,0.10094213225386703,0.1007613591124672,0.0005439755809846539,0.19208997741791542,0.19208997741791545,0.1920899774179159,0.19208997741791634,0.1920899774179169,-0.006851926033863044,-0.007394930991300461,0.0009296656501768121,0.0,1.0,1.0,1.0,0.004015791500258696,0.7824665565017689,High Phase Robustness,portfolio
B_default_D22,21,21,0,0.7725280663851731,0.7726762166849684,0.003195888160888583,0.7659583737262131,0.766298538321122,0.7724070110895698,0.7732368384080224,0.7790173096697983,0.10590710524330675,0.10564363892166062,0.0004467203137741974,0.212419286371308,0.2124192863713079,0.2124192863713087,0.21241928637130947,0.21241928637131002,-0.01202137954452341,-0.012356309887573835,0.0007982568105729099,0.0,1.0,1.0,1.0,0.004136916395706403,0.7710782726045241,High Phase Robustness,portfolio
A_default_D25,21,21,0,0.7483035770542941,0.748989640727597,0.0032695136193810564,0.7417777469325534,0.741816490100897,0.7472336251873191,0.7493233592055493,0.7548418943441361,0.11276874072652705,0.11276031143097365,0.00040148689064676673,0.24031942233672687,0.24031942233672676,0.24031942233672754,0.2403194223367282,0.24031942233672887,-0.018074138666685478,-0.018293742828233584,0.0006429542493257463,0.0,1.0,1.0,1.0,0.004369228412649189,0.7473548839179065,High Phase Robustness,portfolio
