portfolio_name,phase_count,phase_success_count,phase_failure_count,sharpe_mean,sharpe_median,sharpe_std,sharpe_min,sharpe_p10,sharpe_p25,sharpe_p75,sharpe_max,cagr_mean,cagr_median,cagr_std,mdd_mean,mdd_median,mdd_p75,mdd_p90,mdd_max,option_leg_mean,option_leg_median,option_leg_std,positive_option_leg_phase_rate,phase_hit_rate_vs_buyhold,phase_hit_rate_mdd_below_buyhold,phase_hit_rate_sharpe_positive,phase_fragility_score,phase_robust_score,phase_robustness_label
B_default_D18,21,21,0,0.7910368402459024,0.7896029603618258,0.003358719040463105,0.7852786837968048,0.7862126314892286,0.7894810379149736,0.7949467405922638,0.7960829888342273,0.09618318316204383,0.09595190428553257,0.0006932108802031133,0.1734203775739531,0.1734203775739528,0.173420377573954,0.17342037757395456,0.17342037757395656,-0.002151164157591134,-0.002914965469161001,0.0010974826520188511,0.0,1.0,1.0,1.0,0.004245965072187966,0.7879236008415942,High Phase Robustness
B_default_D20,21,21,0,0.7845938438893769,0.7840419411543877,0.0031507693052377586,0.7783131976999239,0.7789098988506536,0.7838458215643936,0.7867639906196687,0.7903524668704541,0.10094213225386703,0.1007613591124672,0.0005439755809846539,0.19208997741791542,0.19208997741791545,0.1920899774179159,0.19208997741791634,0.1920899774179169,-0.006851926033863044,-0.007394930991300461,0.0009296656501768121,0.0,1.0,1.0,1.0,0.004015791500258696,0.7824665565017689,High Phase Robustness
B_default_D22,21,21,0,0.7725280663851731,0.7726762166849684,0.003195888160888583,0.7659583737262131,0.766298538321122,0.7724070110895698,0.7732368384080224,0.7790173096697983,0.10590710524330675,0.10564363892166062,0.0004467203137741974,0.212419286371308,0.2124192863713079,0.2124192863713087,0.21241928637130947,0.21241928637131002,-0.01202137954452341,-0.012356309887573835,0.0007982568105729099,0.0,1.0,1.0,1.0,0.004136916395706403,0.7710782726045241,High Phase Robustness
A_default_D25,21,21,0,0.7483035770542941,0.748989640727597,0.0032695136193810564,0.7417777469325534,0.741816490100897,0.7472336251873191,0.7493233592055493,0.7548418943441361,0.11276874072652705,0.11276031143097365,0.00040148689064676673,0.24031942233672687,0.24031942233672676,0.24031942233672754,0.2403194223367282,0.24031942233672887,-0.018074138666685478,-0.018293742828233584,0.0006429542493257463,0.0,1.0,1.0,1.0,0.004369228412649189,0.7473548839179065,High Phase Robustness
A_Selected_50_30_20,21,21,0,0.7247017604844446,0.7250367053701979,0.0020337647953398187,0.7205623552971513,0.7205996106920776,0.7243412349759302,0.7252143696080527,0.7287289946535843,0.11293396991204853,0.11290129726648779,0.00027613298239912126,0.2413742757208594,0.24137427572085934,0.24137427572085968,0.24137427572086,0.2413742757208609,-0.01127737651546977,-0.011483581288006686,0.0004706650005420002,0.0,1.0,1.0,1.0,0.0028063433813613472,0.724019822972528,High Phase Robustness
