实验阶段,规则,ETF代码,年化收益,年化期权贡献,平均覆盖比例,期权卖出成功率,净期权贡献,被行权频率
ATM核心检验,当前保守版,159915,0.0454803469788709,-0.0209662760967211,0.2769230769230769,0.3846153846153846,-0.1056355664160828,0.2153846153846154
ATM核心检验,当前保守版,510050,-0.0517465615600775,0.0231855735250711,0.3153846153846154,0.4307692307692308,0.1159913897446026,0.2
ATM核心检验,当前保守版,510300,-0.0168167573533043,0.0176454126893131,0.3692307692307692,0.4923076923076923,0.0875985966932477,0.2153846153846154
ATM核心检验,当前保守版,510500,-0.0025272154579301,0.0091878038172115,0.2846153846153846,0.3846153846153846,0.0463921162606053,0.2
ATM核心检验,当前保守版,588000,-0.0397913940963564,-0.0261897105392509,0.2153846153846154,0.2923076923076923,-0.1341056684872875,0.1692307692307692
ATM核心检验,宽基增强版,159915,-0.0078814004631587,0.0015492926494922,0.6,0.6923076923076923,0.0073984029810002,0.3384615384615385
ATM核心检验,宽基增强版,510050,-0.017662570279896,0.0718055478346268,0.7653846153846153,1.0,0.3236167840766061,0.4461538461538462
ATM核心检验,宽基增强版,510300,-0.0063721704509996,0.0689360278403532,0.7923076923076923,1.0,0.3106842898558385,0.4615384615384615
ATM核心检验,宽基增强版,510500,-0.0363094240075121,0.0062105470374924,0.6038461538461538,0.6923076923076923,0.0296574890036965,0.3846153846153846
ATM核心检验,宽基增强版,588000,-0.0484418827547933,-0.0063717648350222,0.4923076923076923,0.5538461538461539,-0.0311430916867937,0.2153846153846154
ATM核心检验,成长防守版,159915,0.0543693952510924,-0.0103610736089014,0.1807692307692307,0.3846153846153846,-0.0522027790870403,0.2153846153846154
ATM核心检验,成长防守版,510050,-0.0602282485559906,0.014601220397707,0.2076923076923077,0.4307692307692308,0.0730461053320908,0.2
ATM核心检验,成长防守版,510300,-0.025108289995687,0.0098695518890627,0.2461538461538461,0.4923076923076923,0.0489962411588537,0.2153846153846154
ATM核心检验,成长防守版,510500,-0.0049961451612267,0.0079104108723148,0.1884615384615384,0.3846153846153846,0.0399421568155512,0.2
ATM核心检验,成长防守版,588000,-0.0260015015097937,-0.0086519728910334,0.1423076923076923,0.2923076923076923,-0.0443028420091548,0.1692307692307692
ATM核心检验,高IV-only版,159915,0.0487927194420656,0.0004730800930777,0.1692307692307692,0.1692307692307692,0.002460016484004,0.0923076923076923
ATM核心检验,高IV-only版,510050,-0.0478122494070085,0.0116078178929174,0.2,0.2,0.0602016418391579,0.0769230769230769
ATM核心检验,高IV-only版,510300,-0.0283809565306155,0.0040423742705677,0.2461538461538461,0.2461538461538461,0.0207877712489196,0.123076923076923
ATM核心检验,高IV-only版,510500,0.0178688240456461,0.0128816143732681,0.1846153846153846,0.1846153846153846,0.0669843947409944,0.1076923076923077
ATM核心检验,高IV-only版,588000,0.0485312343688009,0.0174631906742133,0.1384615384615384,0.1384615384615384,0.0909999689379555,0.0769230769230769
OTM5稳健性检查,当前保守版,159915,0.05326637651533,-0.0109061067025648,0.2769230769230769,0.3846153846153846,-0.0549488499342922,0.1538461538461538
OTM5稳健性检查,当前保守版,510050,-0.0574586330699302,0.0182109795191954,0.3153846153846154,0.4307692307692308,0.0911047906905505,0.0615384615384615
OTM5稳健性检查,当前保守版,510300,-0.0212521243464798,0.0150306054885654,0.3692307692307692,0.4923076923076923,0.0746176908089881,0.0615384615384615
OTM5稳健性检查,当前保守版,510500,-0.0141341896890315,-0.0010291936800922,0.2846153846153846,0.3846153846153846,-0.0051967231572879,0.0615384615384615
OTM5稳健性检查,当前保守版,588000,-0.0162275219919038,0.0023335563574493,0.2153846153846154,0.2923076923076923,0.0119490872111585,0.1076923076923077
OTM5稳健性检查,宽基增强版,159915,-0.0214494939481875,-0.0070423852596862,0.6,0.6923076923076923,-0.0336298013907754,0.1846153846153846
OTM5稳健性检查,宽基增强版,510050,-0.0467621866116266,0.045417773380538,0.7653846153846153,1.0,0.2046910608520138,0.0923076923076923
OTM5稳健性检查,宽基增强版,510300,-0.0431197835415776,0.0354755620064382,0.7923076923076923,1.0,0.1598830123303858,0.0769230769230769
OTM5稳健性检查,宽基增强版,510500,-0.0528317726537996,-0.0072870198256581,0.6038461538461538,0.6923076923076923,-0.0347980152222526,0.123076923076923
OTM5稳健性检查,宽基增强版,588000,-0.0489384536331226,-0.0004717971789523,0.4923076923076923,0.5538461538461539,-0.0023059894993178,0.123076923076923
OTM5稳健性检查,成长防守版,159915,0.0571814133810724,-0.0057978413319823,0.1807692307692307,0.3846153846153846,-0.0292115896151108,0.1538461538461538
OTM5稳健性检查,成长防守版,510050,-0.0630540077407989,0.012463263927442,0.2076923076923077,0.4307692307692308,0.0623504655657786,0.0615384615384615
OTM5稳健性检查,成长防守版,510300,-0.0262810821438157,0.0101552676903867,0.2461538461538461,0.4923076923076923,0.0504146439862488,0.0615384615384615
OTM5稳健性检查,成长防守版,510500,-0.0131154853794821,0.0008155521826754,0.1884615384615384,0.3846153846153846,0.0041179799251254,0.0615384615384615
OTM5稳健性检查,成长防守版,588000,-0.0103702370400244,0.0103850209388141,0.1423076923076923,0.2923076923076923,0.0531769976291607,0.1076923076923077
OTM5稳健性检查,高IV-only版,159915,0.0460370495831357,-0.0013362804984344,0.1692307692307692,0.1692307692307692,-0.006948658591859,0.0615384615384615
OTM5稳健性检查,高IV-only版,510050,-0.0471651057239488,0.0129557224098969,0.2,0.2,0.0671922808820137,0.0461538461538461
OTM5稳健性检查,高IV-only版,510300,-0.0234912904323896,0.0101941747093031,0.2461538461538461,0.2461538461538461,0.052423194327019,0.0461538461538461
OTM5稳健性检查,高IV-only版,510500,0.0095403480461031,0.005166416541361,0.1846153846153846,0.1846153846153846,0.0268653660150774,0.0307692307692307
OTM5稳健性检查,高IV-only版,588000,0.0655513624193304,0.0362332191768817,0.1384615384615384,0.1384615384615384,0.188809816094326,0.0461538461538461
