ETF代码,策略,年化收益,夏普比率,最大回撤,年化超额收益,平均权利金收益率,累计权利金贡献,累计上涨截断成本,净期权贡献,被行权频率,期权卖出成功率
510300,买入持有 (BuyHold),-0.0138058715909779,-0.0729106806439936,-0.3964031472461596,0.0,0.0,0.0,0.0,0.0,0.0,0.0
510300,ATM全覆盖月度备兑 (ATM 100%),0.0057881537231199,0.0594769656442891,-0.2433052426814806,0.0070284332105833,0.0183399616286167,1.192097505860091,0.8298334110705116,0.3616680460366493,0.4615384615384615,1.0
510300,虚值5%全覆盖月度备兑 (OTM5 100%),-0.0382752476603358,-0.276113694461793,-0.3990176669737936,-0.032904963090518,0.004538834158249,0.2950242202861913,0.1131824619073761,0.1816942462686721,0.0769230769230769,1.0
510300,IV择时ATM月度备兑 (IV Timing ATM),-0.0168167573533043,-0.101546303545085,-0.39533415357374,-0.0073210210950371,0.0072554296748631,0.471602928866106,0.3837685307084253,0.0875985966932477,0.2153846153846154,0.4923076923076923
510300,IV择时OTM5月度备兑 (IV Timing OTM5),-0.0212521243464798,-0.1200984224447136,-0.4336730293880622,-0.0099358282957848,0.0024781523283091,0.1610799013400949,0.0863816705804367,0.0746176908089881,0.0615384615384615,0.4923076923076923
510300,IV风格规则v1 (IV Style Rule v1),-0.0063721704509996,-0.060214965335737,-0.2828797257889536,0.0689360278403532,0.0149279933815107,0.9703195697982,0.6591501201574623,0.3106842898558385,0.4615384615384615,1.0
510300,IV风格规则+提前平仓v1 (IV Style Close v1),0.0494585259674764,0.3119274934776223,-0.2516744883292823,0.0714249855334878,0.0132867863307696,0.8636411115000242,0.5215339961258334,0.3416658212095064,0.2769230769230769,0.7846153846153846
510050,买入持有 (BuyHold),-0.0389098012964768,-0.2167607506453358,-0.3876569596580286,0.0,0.0,0.0,0.0,0.0,0.0,0.0
510050,ATM全覆盖月度备兑 (ATM 100%),-0.0008106866283019,-0.008536458357134,-0.2384777829858849,0.0323677133169205,0.0186069777696877,1.2094535550297028,0.813527648127646,0.395321180124542,0.4461538461538462,1.0
510050,虚值5%全覆盖月度备兑 (OTM5 100%),-0.0389959306276976,-0.2903556378141148,-0.3626445742156704,-0.0020825147026507,0.0052750841832905,0.3428804719138844,0.1026498381073436,0.2400591935705837,0.0923076923076923,1.0
510050,IV择时ATM月度备兑 (IV Timing ATM),-0.0517465615600775,-0.3187306144854441,-0.4608299415642966,-0.0144404684158612,0.006407190892729,0.4164674080273898,0.3002677845787734,0.1159913897446026,0.2,0.4307692307692308
510050,IV择时OTM5月度备兑 (IV Timing OTM5),-0.0574586330699302,-0.3402360582664346,-0.4716123594811708,-0.0194150624217369,0.0025501083448467,0.1657570424150397,0.0745693732032816,0.0911047906905505,0.0615384615384615,0.4307692307692308
510050,IV风格规则v1 (IV Style Rule v1),-0.017662570279896,-0.1668645161648907,-0.2863999266216038,0.0718055478346268,0.0148728515876946,0.9667353532001504,0.6426352014469443,0.3236167840766061,0.4461538461538462,1.0
510050,IV风格规则+提前平仓v1 (IV Style Close v1),0.0126578019009866,0.0862801476733682,-0.2739926079770985,0.0664499984332625,0.0130682104005053,0.8494336760328449,0.5304065247455835,0.3185958828992039,0.3076923076923077,0.7538461538461538
588000,买入持有 (BuyHold),0.0414838957916787,0.127004308431255,-0.5626892792247122,0.0,0.0,0.0,0.0,0.0,0.0,0.0
588000,ATM全覆盖月度备兑 (ATM 100%),-0.0644224915566971,-0.3095544853309042,-0.5580809775903853,-0.1439170280576127,0.0188625662287907,1.2260668048714018,1.3477003482394352,-0.1222465767704689,0.2153846153846154,0.5538461538461539
588000,虚值5%全覆盖月度备兑 (OTM5 100%),-0.0621361488408023,-0.2608841368430329,-0.6152603948699157,-0.1351430137493242,0.0100138841717548,0.6509024711640636,0.7299390993674801,-0.0793620794389985,0.123076923076923,0.5538461538461539
588000,IV择时ATM月度备兑 (IV Timing ATM),-0.0397913940963564,-0.1559795283894755,-0.5735627044215625,-0.1026298487170806,0.0100231247172126,0.6515031066188198,0.7852830235527979,-0.1341056684872875,0.1692307692307692,0.2923076923076923
588000,IV择时OTM5月度备兑 (IV Timing OTM5),-0.0162275219919038,-0.0593993134913317,-0.5735627044215625,-0.0741065818203804,0.00635600536758,0.4131403488927016,0.4009846915070968,0.0119490872111585,0.1076923076923077,0.2923076923076923
588000,IV风格规则v1 (IV Style Rule v1),0.0655513624193304,0.2043200386536642,-0.5626892792247122,0.0362332191768817,0.0052514335585229,0.3413431813039909,0.1523626936190128,0.188809816094326,0.0461538461538461,0.1384615384615384
588000,IV风格规则+提前平仓v1 (IV Style Close v1),0.06402074048095,0.2002088873928429,-0.5626892792247122,0.0347451238792964,0.0052514335585229,0.3413431813039909,0.1587811981248341,0.1823881023362518,0.0461538461538461,0.1384615384615384
159915,买入持有 (BuyHold),0.0604385448809863,0.1879885660809233,-0.547253396337862,0.0,0.0,0.0,0.0,0.0,0.0,0.0
159915,ATM全覆盖月度备兑 (ATM 100%),-0.0189355356365452,-0.0989343065591924,-0.4617796865996589,-0.1185865551879307,0.0202757663584812,1.3179248133012809,1.3693452372636856,-0.0520793863690555,0.3384615384615385,0.6923076923076923
159915,虚值5%全覆盖月度备兑 (OTM5 100%),-0.0250280744501081,-0.1141600425853013,-0.5735526859951083,-0.1192198851208733,0.0089189101921482,0.5797291624896379,0.6345430516010621,-0.0551037536926689,0.1846153846153846,0.6923076923076923
159915,IV择时ATM月度备兑 (IV Timing ATM),0.0454803469788709,0.1589801620733804,-0.5271021238819487,-0.0306768537728436,0.0100853879741483,0.6555502183196459,0.7608580096265688,-0.1056355664160828,0.2153846153846154,0.3846153846153846
159915,IV择时OTM5月度备兑 (IV Timing OTM5),0.05326637651533,0.1803255632643463,-0.5544830822013804,-0.0206166843786872,0.0057891385092289,0.3762940030998792,0.4310547060326215,-0.0549488499342922,0.1538461538461538,0.3846153846153846
159915,IV风格规则v1 (IV Style Rule v1),0.0460370495831357,0.1476919992850846,-0.5964137311029171,-0.0013362804984344,0.0047546156974589,0.3090500203348328,0.3158441539165245,-0.006948658591859,0.0615384615384615,0.1692307692307692
159915,IV风格规则+提前平仓v1 (IV Style Close v1),0.0493718013483162,0.1591869399592674,-0.5964137311029171,-0.0024064344462798,0.0047546156974589,0.3090500203348328,0.3214984289030271,-0.0126057607158548,0.0615384615384615,0.1692307692307692
510500,买入持有 (BuyHold),0.0352987063620522,0.1506358705081298,-0.4294017922015021,0.0,0.0,0.0,0.0,0.0,0.0,0.0
510500,ATM全覆盖月度备兑 (ATM 100%),-0.0525047393853035,-0.3268043897486012,-0.4606753549660735,-0.1089746227876769,0.0138966670221554,0.9032833564401024,0.959948333987412,-0.0571166192255294,0.3846153846153846,0.6923076923076923
510500,虚值5%全覆盖月度备兑 (OTM5 100%),-0.0610612875348319,-0.329276164868423,-0.5247012637601076,-0.1137968960141496,0.0040521625643131,0.2633905666803526,0.3434034967423829,-0.0801446253453705,0.123076923076923,0.6923076923076923
510500,IV择时ATM月度备兑 (IV Timing ATM),-0.0025272154579301,-0.0136845616277419,-0.4596541558318615,-0.0500756601625342,0.0066575616479793,0.4327415071186551,0.3861330201044905,0.0463921162606053,0.2,0.3846153846153846
