portfolio_name,source_portfolio_name,universe_short,role,etf_code,sleeve_key,sleeve_name,weight,option_leg_annualized_pnl_contribution,attribution_method
B_v31_D20_51030070_51005014_15991516,B_v31_D20_51030070_51005014_15991516,B,3.1 主线组合（D20 回撤预算）,510300,510300__510300_DTE30_D40_Q70_Hold,510300_DTE30_D40_Q70_Hold,0.7,0.0017801413154926314,daily_weighted_net_option_leg_return
B_v31_D20_51030070_51005014_15991516,B_v31_D20_51030070_51005014_15991516,B,3.1 主线组合（D20 回撤预算）,510050,510050__510050_DTE30_D40_Q70_Hold,510050_DTE30_D40_Q70_Hold,0.14,0.0014212247756979696,daily_weighted_net_option_leg_return
B_v31_D20_51030070_51005014_15991516,B_v31_D20_51030070_51005014_15991516,B,3.1 主线组合（D20 回撤预算）,159915,159915__159915_DTE30_D20_Q10_Hold,159915_DTE30_D20_Q10_Hold,0.16,-0.0015357346917845233,daily_weighted_net_option_leg_return
B_v31_D20_51030070_51005014_15991516,B_v31_D20_51030070_51005014_15991516,B,3.1 主线组合（D20 回撤预算）,PORTFOLIO,PORTFOLIO_TOTAL,PORTFOLIO_TOTAL,1.0,0.0016656313994060797,daily_weighted_net_option_leg_return
