surface_point_id,etf_code,strategy_name,moneyness_label,target_moneyness,avg_realized_moneyness,median_realized_moneyness,coverage,coverage_label,sample_start,sample_end,n_periods,selected_periods,option_sale_success_rate,assignment_frequency,avg_selected_delta,cumulative_return,annualized_return_cagr,annualized_volatility,sharpe_daily_mean,max_drawdown,calmar_ratio,premium_contribution_annualized,upside_cost_annualized,option_leg_annualized_pnl_contribution,total_net_option_contribution,source_note
mny_0012,510300,510300_DTE30_OTM1_Q20_MonthlyHold,OTM1,0.01,0.00877001577185681,0.009023045793545403,0.2,Q20,2022-09-19,2026-05-27,44,44,1.0,0.38636363636363635,,0.29252506732998373,0.07267543198684656,0.18778083860192435,0.38702261917634123,0.2072397287841703,0.35068291400117757,0.03266162792699441,0.030648391428948533,0.001996905684082381,0.007321987508302063,ver3.0 Step A refined monthly DTE30 moneyness-target backtest from raw option chain; diagnostic layer only.
mny_0013,510300,510300_DTE30_OTM1_Q30_MonthlyHold,OTM1,0.01,0.00877001577185681,0.009023045793545403,0.3,Q30,2022-09-19,2026-05-27,44,44,1.0,0.38636363636363635,,0.3009402814095712,0.0745803729176795,0.18325758855313157,0.40697017518625994,0.1980731689857318,0.3765294072871217,0.04899244189049161,0.0459725871434228,0.002995358526123572,0.010982981262453097,ver3.0 Step A refined monthly DTE30 moneyness-target backtest from raw option chain; diagnostic layer only.
mny_0014,510300,510300_DTE30_OTM1_Q40_MonthlyHold,OTM1,0.01,0.00877001577185681,0.009023045793545403,0.4,Q40,2022-09-19,2026-05-27,44,44,1.0,0.38636363636363635,,0.30914157149652643,0.07642829275501395,0.17896526143837682,0.4270565814881931,0.1888127353688176,0.40478356825731404,0.06532325585398882,0.06129678285789707,0.003993811368164762,0.014643975016604126,ver3.0 Step A refined monthly DTE30 moneyness-target backtest from raw option chain; diagnostic layer only.
mny_0015,510300,510300_DTE30_OTM1_Q50_MonthlyHold,OTM1,0.01,0.00877001577185681,0.009023045793545403,0.5,Q50,2022-09-19,2026-05-27,44,44,1.0,0.38636363636363635,,0.31712281004349796,0.07821857203497484,0.1749208577163829,0.4471654956197312,0.18250066038951807,0.4285933643638877,0.08165406981748602,0.07662097857237132,0.0049922642102059565,0.018304968770755173,ver3.0 Step A refined monthly DTE30 moneyness-target backtest from raw option chain; diagnostic layer only.
mny_0016,510300,510300_DTE30_OTM1_Q60_MonthlyHold,OTM1,0.01,0.00877001577185681,0.009023045793545403,0.6,Q60,2022-09-19,2026-05-27,44,44,1.0,0.38636363636363635,,0.32487791247138276,0.0799505917934542,0.17114195496690573,0.46715950982863613,0.17668669968000672,0.4524992087024712,0.09798488378098322,0.0919451742868456,0.005990717052247144,0.021965962524906193,ver3.0 Step A refined monthly DTE30 moneyness-target backtest from raw option chain; diagnostic layer only.
mny_0017,510300,510300_DTE30_OTM1_Q70_MonthlyHold,OTM1,0.01,0.00877001577185681,0.009023045793545403,0.7,Q70,2022-09-19,2026-05-27,44,44,1.0,0.38636363636363635,,0.3324008427183034,0.08162373365488862,0.16764650804202422,0.4868800108525247,0.17083885366949014,0.47778202617069937,0.11431569774448042,0.10726937000131988,0.006989169894288331,0.025626956279057214,ver3.0 Step A refined monthly DTE30 moneyness-target backtest from raw option chain; diagnostic layer only.
mny_0018,510300,510300_DTE30_OTM1_Q80_MonthlyHold,OTM1,0.01,0.00877001577185681,0.009023045793545403,0.8,Q80,2022-09-19,2026-05-27,44,44,1.0,0.38636363636363635,,0.3396856188599533,0.08323737992228075,0.16445259253233246,0.5061481770554376,0.16495696713313812,0.5046005717060691,0.13064651170797764,0.12259356571579413,0.007987622736329523,0.029287950033208252,ver3.0 Step A refined monthly DTE30 moneyness-target backtest from raw option chain; diagnostic layer only.
mny_0019,510300,510300_DTE30_OTM1_Q90_MonthlyHold,OTM1,0.01,0.00877001577185681,0.009023045793545403,0.9,Q90,2022-09-19,2026-05-27,44,44,1.0,0.38636363636363635,,0.3467263187970586,0.084790913668493,0.16157809054960726,0.5247673950105305,0.1590408843227925,0.5331390983490741,0.14697732567147484,0.13791776143026838,0.008986075578370716,0.03294894378735929,ver3.0 Step A refined monthly DTE30 moneyness-target backtest from raw option chain; diagnostic layer only.
mny_0020,510300,510300_DTE30_OTM1_Q100_MonthlyHold,OTM1,0.01,0.00877001577185681,0.009023045793545403,1.0,Q100,2022-09-19,2026-05-27,44,44,1.0,0.38636363636363635,,0.35351708600542,0.08628371882881258,0.15904032232059762,0.5425273136386106,0.15309044896581547,0.5636126839505149,0.16330813963497204,0.15324195714474265,0.009984528420411913,0.036609937541510346,ver3.0 Step A refined monthly DTE30 moneyness-target backtest from raw option chain; diagnostic layer only.
mny_0021,510300,510300_DTE30_OTM2_Q10_MonthlyHold,OTM2,0.02,0.020354883291339883,0.020190145352010358,0.1,Q10,2022-09-19,2026-05-27,44,44,1.0,0.22727272727272727,,0.2905205565620992,0.07222034523790177,0.19383615951066863,0.3725844827931953,0.21640763711554856,0.3337236439550444,0.011811178599069567,0.009168407341363871,0.0026368656684061615,0.009668507450822593,ver3.0 Step A refined monthly DTE30 moneyness-target backtest from raw option chain; diagnostic layer only.
mny_0022,510300,510300_DTE30_OTM2_Q20_MonthlyHold,OTM2,0.02,0.020354883291339883,0.020190145352010358,0.2,Q20,2022-09-19,2026-05-27,44,44,1.0,0.22727272727272727,,0.3059742066593938,0.07571561980649855,0.1903607940140161,0.3977479722054725,0.207428003337221,0.3650212053741159,0.023622357198139134,0.018336814682727742,0.005273731336812323,0.019337014901645185,ver3.0 Step A refined monthly DTE30 moneyness-target backtest from raw option chain; diagnostic layer only.
