portfolio_name,universe_short,constraint_set,D_star,matched_fixed_weight_baseline,matched_fixed_weight_scheme,annualized_return_cagr,sharpe_daily_mean,max_drawdown,baseline_cagr,baseline_sharpe,baseline_mdd,delta_cagr_vs_fixed_baseline,delta_sharpe_vs_fixed_baseline,delta_mdd_vs_fixed_baseline
A_default_D22_51030070_51050009_15991521,A,default,0.22,A_Selected_70_20_10,70_20_10,0.10262279365046378,0.729757686257021,0.21938581131721213,0.1001315419338677,0.7266233760255285,0.2059452116652108,0.002491251716596088,0.0031343102314924653,0.01344059965200134
A_default_D25_51030070_51050009_15991521,A,default,0.25,A_Selected_70_20_10,70_20_10,0.10262279365046378,0.729757686257021,0.21938581131721213,0.1001315419338677,0.7266233760255285,0.2059452116652108,0.002491251716596088,0.0031343102314924653,0.01344059965200134
A_default_D30_51030070_51050009_15991521,A,default,0.3,A_Selected_70_20_10,70_20_10,0.10262279365046378,0.729757686257021,0.21938581131721213,0.1001315419338677,0.7266233760255285,0.2059452116652108,0.002491251716596088,0.0031343102314924653,0.01344059965200134
B_default_D18_51030070_51005020_15991510,B,default,0.18,B_Selected_70_20_10,70_20_10,0.0850129112825122,0.7009274325964214,0.1786789816502884,0.0850129112825119,0.7009274325964185,0.1786789816502884,3.0531133177191805e-16,2.886579864025407e-15,0.0
B_default_D20_51030070_51005012_15991518,B,default,0.2,B_Selected_70_20_10,70_20_10,0.09296578035746639,0.7169971714284774,0.199868387092341,0.0850129112825119,0.7009274325964185,0.1786789816502884,0.007952869074954488,0.016069738832058866,0.02118940544205261
B_default_D22_51030070_51005005_15991525,B,default,0.22,B_Selected_70_20_10,70_20_10,0.09975958542529706,0.7250167245928202,0.21803043702622305,0.0850129112825119,0.7009274325964185,0.1786789816502884,0.01474667414278516,0.02408929199640164,0.03935145537593465
B_default_D25_51030070_51005005_15991525,B,default,0.25,B_Selected_70_20_10,70_20_10,0.09975958542529706,0.7250167245928202,0.21803043702622305,0.0850129112825119,0.7009274325964185,0.1786789816502884,0.01474667414278516,0.02408929199640164,0.03935145537593465
B_default_D30_51030070_51005005_15991525,B,default,0.3,B_Selected_70_20_10,70_20_10,0.09975958542529706,0.7250167245928202,0.21803043702622305,0.0850129112825119,0.7009274325964185,0.1786789816502884,0.01474667414278516,0.02408929199640164,0.03935145537593465
A_relaxed_D20_51030079_51050008_15991513,A,relaxed,0.2,A_Selected_70_20_10,70_20_10,0.09657757310926085,0.7292830833707569,0.19992938552181638,0.1001315419338677,0.7266233760255285,0.2059452116652108,-0.0035539688246068457,0.002659707345228357,-0.006015826143394409
A_relaxed_D22_51030074_51050007_15991519,A,relaxed,0.22,A_Selected_70_20_10,70_20_10,0.10029925068763657,0.7300844637047412,0.2127857293903077,0.1001315419338677,0.7266233760255285,0.2059452116652108,0.0001677087537688693,0.0034610876792127154,0.006840517725096917
A_relaxed_D25_51030074_51050007_15991519,A,relaxed,0.25,A_Selected_70_20_10,70_20_10,0.10029925068763657,0.7300844637047412,0.2127857293903077,0.1001315419338677,0.7266233760255285,0.2059452116652108,0.0001677087537688693,0.0034610876792127154,0.006840517725096917
A_relaxed_D30_51030074_51050007_15991519,A,relaxed,0.3,A_Selected_70_20_10,70_20_10,0.10029925068763657,0.7300844637047412,0.2127857293903077,0.1001315419338677,0.7266233760255285,0.2059452116652108,0.0001677087537688693,0.0034610876792127154,0.006840517725096917
B_relaxed_D18_51030080_51005011_15991509,B,relaxed,0.18,B_Selected_70_20_10,70_20_10,0.08677097226815933,0.7112696604045675,0.17925534583514735,0.0850129112825119,0.7009274325964185,0.1786789816502884,0.0017580609856474305,0.010342227808148974,0.0005763641848589574
B_relaxed_D20_51030079_51005004_15991517,B,relaxed,0.2,B_Selected_70_20_10,70_20_10,0.0944338307956718,0.7247047242438088,0.1998619075156527,0.0850129112825119,0.7009274325964185,0.1786789816502884,0.009420919513159903,0.023777291647390286,0.0211829258653643
B_relaxed_D22_51030077_51005000_15991523,B,relaxed,0.22,B_Selected_70_20_10,70_20_10,0.09971927039440431,0.7293225449629017,0.214882463030727,0.0850129112825119,0.7009274325964185,0.1786789816502884,0.014706359111892414,0.028395112366483177,0.03620348138043861
B_relaxed_D25_51030077_51005000_15991523,B,relaxed,0.25,B_Selected_70_20_10,70_20_10,0.09971927039440431,0.7293225449629017,0.214882463030727,0.0850129112825119,0.7009274325964185,0.1786789816502884,0.014706359111892414,0.028395112366483177,0.03620348138043861
B_relaxed_D30_51030077_51005000_15991523,B,relaxed,0.3,B_Selected_70_20_10,70_20_10,0.09971927039440431,0.7293225449629017,0.214882463030727,0.0850129112825119,0.7009274325964185,0.1786789816502884,0.014706359111892414,0.028395112366483177,0.03620348138043861
