implementation_name,target_effective_delta,target_call_delta,coverage,coverage_label,expected_overlay_delta,expected_effective_delta,effective_delta_error_vs_target,role,interpretation,is_current_mainline,is_q100_equivalence_context
D28_Q100,0.72,0.28,1.0,Q100,0.28,0.72,0.0,main,farther OTM full overwrite,False,True
D35_Q80,0.72,0.35,0.8,Q80,0.27999999999999997,0.72,0.0,main,middle implementation,False,False
D40_Q70,0.72,0.4,0.7,Q70,0.27999999999999997,0.72,0.0,current_mainline,current mainline implementation,True,False
D50_Q56,0.72,0.5,0.56,Q56,0.28,0.72,0.0,diagnostic_only,closer-delta low-coverage implementation,False,False
